Smooth muscle cells, Pericytes, Fibroblasts
T cells, CD4+ T cells, Lymphocytes
Fibroblasts, Pericytes, Mesenchymal stem cells
Myeloid cells, Monocytes, Neutrophils
Monocytes, Macrophages, Dendritic cells
Mesothelial cells, Fibroblasts, Epithelial cells
Mast cells, Immune cells, Granulocytes
Macrophages, Monocytes, Dendritic cells
NK cells, Cytotoxic T cells, Lymphocytes
Endothelial cells, Vascular cells, Smooth muscle cells
Neurons, Neural cells, Progenitor cells
Dendritic cells, Antigen presenting cells, Macrophages
B cells, Plasma cells, Lymphocytes
Adipocytes, Fat cells, Mesenchymal cells
Lymphatic endothelial cells, Endothelial cells, Vascular cells
Platelets, Megakaryocytes, Blood cells
B cell precursors, Lymphoid progenitors, Immature B cells
Dendritic cells, Myeloid cells, Antigen presenting cells
Plasmacytoid dendritic cells, Dendritic cells, Immune cells
B cell precursors, Pro-B cells, Early B cells
Proliferating cells, T cells, Dividing lymphocytes
Stromal cells, Fibroblasts, Mesenchymal cells
B cells, Lymphoid cells, Immune cells
Neutrophils, Granulocytes, Myeloid cells
Plasma cells, B cells, Antibody-secreting cells
Platelets, Megakaryocytes, Endothelial cells
Dendritic cells, Plasmacytoid dendritic cells, Immune cells
Hematopoietic stem cells, Progenitor cells, Stem cells
NK cells, Natural killer cells, Cytotoxic lymphocytes
Hematopoietic stem cells, Progenitor cells, Early precursor cells
Cytotoxic T cells, NK cells, CD8+ T cells
Megakaryocyte-erythroid progenitors, Erythroid cells, Blood precursors
Hematopoietic stem cells, Early progenitors, Blood stem cells
Dendritic cells, Myeloid cells, Antigen presenting cells
Conventional dendritic cells, Dendritic cells, Antigen presenting cells
T cells, Memory T cells, Lymphocytes
CD8+ T cells, Cytotoxic T cells, T lymphocytes
NK cells, Cytotoxic cells, Natural killer cells
NK cells, Natural killer cells, Cytotoxic lymphocytes
CD8+ T cells, Cytotoxic T cells, NK cells
T cells, Memory T cells, CD4+ T cells
T cells, CD4+ T cells, Memory T cells
Myeloid cells, Monocytes, Macrophages
T cells, Memory T cells, CD4+ T cells
NK cells, T cells, Natural killer cells
B cells, Memory B cells, Mature B cells
B cells, Memory B cells, Mature B cells
Monocytes, Myeloid cells, Granulocytes
Macrophages, Tissue resident macrophages, Phagocytes
Hematopoietic stem cells, Progenitor cells, Early precursors
Erythroid cells, Red blood cells, Erythrocyte precursors
NK cells, Natural killer cells, Cytotoxic lymphocytes
Mast cells, Granulocytes, Immune cells
Dendritic cells, Plasmacytoid dendritic cells, Antigen presenting cells
NK cells, Natural killer cells, Cytotoxic lymphocytes
Beta cells, Endocrine cells, Pancreatic cells
Neurons, Neural progenitors, Brain cells
Neurons, Neural cells, Brain cells
Pancreatic cells, Acinar cells, Exocrine cells
Kidney progenitors, Nephron precursors, Renal cells
Epithelial cells, Ductal cells, Secretory cells
Neurons, Neural cells, Brain cells
Neurons, Neural progenitors, Brain cells
Mesenchymal cells, Fibroblasts, Stromal cells
Retinal pigment epithelium, Melanocytes, Eye cells
Mesenchymal cells, Stromal cells, Fibroblasts
Blood vessels, Endothelial cells, Vascular cells
Hepatocytes, Liver cells, Epithelial cells
Neurons, Neural cells, Brain cells
Cardiomyocytes, Heart muscle cells, Cardiac cells
Myeloid cells, Hematopoietic cells, Blood cells
Epithelial cells, Secretory cells, Ductal cells
Immune cells, T cells, Lymphoid cells
Thymic epithelial cells, Thymus cells, Immune cells
Placental cells, Trophoblasts, Syncytiotrophoblasts
Lens cells, Eye cells, Crystallin-expressing cells
Neurons, Neural cells, Brain cells
Epithelial cells, Mucosal cells, Barrier cells
Neuroendocrine cells, Endocrine cells, Neural cells
Neurons, Neural cells, Brain cells
Mesenchymal cells, Fibroblasts, Stromal cells
Gastric cells, Stomach cells, Epithelial cells
Mesothelial cells, Epithelial cells, Lining cells
Ciliated cells, Epithelial cells, Airway cells
Neurons, Neural cells, Brain cells
Neurons, Neural cells, Brain cells
Placental cells, Trophoblasts, Stromal cells
Epithelial cells, Keratinocytes, Skin cells
T cells, Lymphoid cells, Immune cells
Schwann cells, Neural crest cells, Glial cells
Retinal cells, Neurons, Eye cells
Hepatocytes, Liver cells, Blood cells
Platelets, Megakaryocytes, Blood cells
Neurons, Neural cells, Brain cells
Fibroblasts, Stromal cells, Connective tissue cells
Steroid-producing cells, Endocrine cells, Hormone-producing cells
Immune cells, Macrophages, Antigen presenting cells
Lung epithelial cells, Pneumocytes, Airway cells
Endothelial cells, Blood vessel cells, Vascular cells
Muscle cells, Skeletal muscle, Myocytes
Neurons, Neural cells, Brain cells
Sympathetic neurons, Neural cells, Adrenergic cells
Kidney cells, Renal cells, Epithelial cells
Lymphatic cells, Endothelial cells, Vascular cells
Neurons, Neural cells, Brain cells
Mesenchymal cells, Fibroblasts, Stromal cells
Mesothelial cells, Epithelial cells, Lining cells
Muscle cells, Skeletal muscle, Myocytes
Schwann cells, Glial cells, Neural cells
Neurons, Neural cells, Brain cells
Immune cells, Lymphocytes, T cells
Neurons, Neural cells, Brain cells
Blood vessels, Endothelial cells, Vascular cells
Neurons, Neural cells, Brain cells
Neurons, Sympathetic neurons, Neural cells
Neurons, Neural cells, Brain cells
Red blood cells, Erythroid cells, Blood cells
Mast cells, Immune cells, Granulocytes
Fibroblasts, Stromal cells, Connective tissue cells
Mast cells, Immune cells, Granulocytes
Lymphatic endothelial cells, Endothelial cells, Vascular cells
Macrophages, Tissue-resident macrophages, Phagocytes
Mesothelial cells, Epithelial cells, Stromal cells
T cells, CD4+ T cells, Lymphocytes
Neurons, Neural cells, Brain cells
NK cells, Cytotoxic lymphocytes, T cells
Pericytes, Vascular smooth muscle cells, Mural cells
Smooth muscle cells, Vascular smooth muscle, Pericytes
Endothelial cells, Vascular cells, Blood vessel cells
Cardiomyocytes, Heart muscle cells, Cardiac cells
Fibroblasts, Stromal cells, Mesenchymal cells
Myeloid cells, Macrophages, Immune cells
Endothelial cells, Vascular cells, Blood vessel cells
Endothelial cells, Vascular cells, Fibroblasts
Endothelial cells, Vascular cells, Blood vessel cells
Adipocytes, Fat cells, Metabolic cells
B cells, Plasma cells, Lymphocytes
Cardiomyocytes, Heart muscle cells, Cardiac cells
Epithelial cells, Keratinocytes, Barrier cells
Tubular cells, Epithelial cells, Kidney cells
Kidney cells, Renal tubular cells, Epithelial cells
Kidney cells, Renal cells, Epithelial cells
Endothelial cells, Vascular cells, Blood vessel cells
Kidney cells, Renal cells, Epithelial cells
Proximal tubule cells, Kidney cells, Epithelial cells
Neural cells, Neurons, Brain cells
Distal tubule cells, Kidney cells, Epithelial cells
Vascular smooth muscle cells, Pericytes, Mural cells
Fibroblasts, Stromal cells, Mesenchymal cells
Immune cells, Leukocytes, Myeloid cells
Distal tubule cells, Kidney cells, Ion transport cells
Podocytes, Glomerular cells, Kidney cells
Kidney cells, Renal cells, Epithelial cells
Collecting duct cells, Kidney cells, Epithelial cells
Liver sinusoidal endothelial cells, Endothelial cells, Kupffer cells
Proliferating cells, Dividing cells, Cycling cells
Stellate cells, Fibroblasts, Mesenchymal cells
Plasma cells, B cells, Secretory cells
Plasmacytoid dendritic cells, Dendritic cells, Immune cells
Kupffer cells, Macrophages, Tissue-resident macrophages
NK cells, Natural killer cells, Cytotoxic lymphocytes
Hepatocytes, Liver cells, Metabolic cells
