T cells, CD8+ T cells, Memory T cells
Plasmacytoid dendritic cells, Dendritic cells, Myeloid cells
B cells, Memory B cells, Plasma cells
Endothelial cells, Vascular endothelial cells, Blood vessel endothelial cells
Lymphatic endothelial cells, Endothelial cells, Blood vessel cells
NK cells, Cytotoxic T cells, CD8+ T cells
Mast cells, Granulocytes, Immune cells
Plasma cells, B cells, Memory B cells
Fibroblasts, Stromal cells, Mesenchymal cells
Smooth muscle cells, Myofibroblasts, Muscle cells
Endothelial cells, Vascular endothelial cells, Blood vessel cells
Epithelial cells, Urothelial cells, Basal cells
Fibroblasts, Stromal cells, Mesenchymal cells
Macrophages, Monocytes, Myeloid cells
Smooth muscle cells, Myofibroblasts, Pericytes
Immature cells, Progenitor cells, Stem cells
Hematopoietic stem cells, Progenitor cells, Stem cells
Immature cells, Early progenitors, Stem cells
Mast cells, Progenitor cells, Stem cells
T cells, CD4+ T cells, Memory T cells
Neutrophils, Granulocytes, Myeloid cells
Non-coding RNA expressing cells (unclear specific type)
Mast cells, Granulocytes, Immune cells
Immune cells, Antigen presenting cells, Myeloid cells
T cells, CD4+ T cells, Naive T cells
Plasma cells, B cells, Memory cells
Platelets, Megakaryocytes, Blood cells
Monocytes, Macrophages, Myeloid cells
Plasma cells, B cells, Memory B cells
Erythrocytes, Red blood cells, Reticulocytes
T cells, CD4+ T cells, Memory T cells
Monocytes, Macrophages, Myeloid cells
Neutrophils, Granulocytes, Myeloid cells
B cells, Memory B cells, Plasma cells
NK cells, Cytotoxic T cells, CD8+ T cells
B cells, Memory B cells, Plasma cells
NK cells, Cytotoxic T cells, CD8+ T cells
Hematopoietic stem cells, Progenitor cells, Stem cells
T cells, CD8+ T cells, Cytotoxic T cells
NK cells, Cytotoxic T cells, CD8+ T cells
T cells, CD4+ T cells, Helper T cells
Erythroid cells, Red blood cells, Erythroid progenitors
B cells, Memory B cells, Plasma cells
Non-coding RNA expressing cells (unclear specific type)
Neutrophils, Granulocytes, Myeloid cells
Neutrophils, Granulocytes, Myeloid cells
Neutrophils, Granulocytes, Myeloid cells
T cells, CD4+ T cells, Memory T cells
T cells, CD8+ T cells, Cytotoxic T cells
Mast cells, Progenitor cells, Stem cells
B cells, Memory B cells, Plasma cells
Myeloid progenitors, Granulocytes, Neutrophil precursors
NK cells, Cytotoxic T cells, CD8+ T cells
Erythroid cells, Red blood cells, Erythroid progenitors
Hematopoietic stem cells, Progenitor cells, Stem cells
Plasma cells, B cells, Memory B cells
Monocytes, Macrophages, Myeloid cells
Macrophages, Monocytes, Myeloid cells
T cells, NK cells, Cytotoxic cells
Plasma cells, B cells, Memory B cells
Macrophages, Monocytes, Myeloid cells
Erythrocytes, Red blood cells, Reticulocytes
Proliferating cells, Dividing cells, Cycling cells
T cells (TCR expressing), Immune cells, Lymphoid cells
Mast cells, Granulocytes, Immune cells
Neural cells, Neurons, Neural progenitors
Muscle cells, Smooth muscle cells, Myocytes
Adipocytes, Fat cells, Lipid-processing cells
Muscle cells, Skeletal muscle, Myocytes
Neural cells, Neurons, Neural progenitors
Smooth muscle cells, Myofibroblasts, Muscle cells
Melanocytes, Pigment cells, Neural crest cells
Photoreceptors, Rod cells, Retinal cells
Corneal epithelial cells, Epithelial cells, Keratinocytes
Retinal pigment epithelium, Epithelial cells, RPE cells
Epithelial cells, Squamous epithelial cells, Mucosal cells
Monocytes, Myeloid cells, Granulocytes
Macrophages, Monocytes, Myeloid cells
Fibroblasts, Stromal cells, Mesenchymal cells
T cells, CD4+ T cells, Memory T cells
Retinal pigment epithelium, Glial cells, Support cells
Endothelial cells, Vascular cells, Blood vessel cells
Secretory cells, Glandular cells, Epithelial cells
Fibroblasts, Stromal cells, Mesenchymal cells
B cells, Memory B cells, Plasma cells
Retinal pigment epithelium, RPE cells, Epithelial cells
Epithelial cells, Progenitor cells, Stem cells
Plasma cells, B cells, Memory B cells
B cells (unclear due to mostly non-coding RNAs)
Non-coding RNA expressing cells (unclear specific type)
Smooth muscle cells, Muscle cells, Myocytes
Fibroblasts, Stromal cells, Mesenchymal cells
Non-coding RNA expressing cells (unclear specific type)
Neutrophils, Granulocytes, Myeloid cells
NK cells, Cytotoxic T cells, CD8+ T cells
Macrophages, Monocytes, Myeloid cells
T cells, CD4+ T cells, Memory T cells
Endothelial cells, Vascular cells, Blood vessel cells
Fibroblasts, Stromal cells, Mesenchymal cells
Smooth muscle cells, Myofibroblasts, Pericytes
Endothelial cells, Vascular cells, Blood vessel cells
Cardiomyocytes, Muscle cells, Cardiac muscle cells
Epithelial cells, Secretory cells, Endothelial cells
Pericytes, Smooth muscle cells, Vascular cells
Fibroblasts, Stromal cells, Mesenchymal cells
Macrophages, Monocytes, Myeloid cells
T cells, CD4+ T cells, Memory T cells
NK cells, Cytotoxic T cells, CD8+ T cells
Macrophages, Monocytes, Myeloid cells
T cells, CD8+ T cells, Cytotoxic T cells
B cells, Memory B cells, Plasma cells
Proximal tubule cells, Epithelial cells, Kidney tubular cells
Endothelial cells, Vascular cells, Blood vessel cells
Endothelial cells, Vascular cells, Blood vessel cells
Non-coding RNA expressing cells (unclear specific type)
Epithelial cells, Colonocytes, Intestinal cells
Intestinal stem cells, Progenitor cells, Epithelial cells
Epithelial cells, Colonocytes, Intestinal cells
Tuft cells, Secretory cells, Epithelial cells
Macrophages, Monocytes, Myeloid cells
Enteroendocrine cells, Neuroendocrine cells, Secretory cells
Non-coding RNA expressing cells (unclear specific type)
Mast cells, Granulocytes, Immune cells
T cells, CD8+ T cells, Cytotoxic T cells
B cells, Antigen presenting cells, Dendritic cells
Enterocytes, Epithelial cells, Intestinal cells
Goblet cells, Secretory cells, Mucus-producing cells
Fibroblasts, Stromal cells, Mesenchymal cells
Proliferating cells, Dividing cells, Cycling cells
Plasma cells, B cells, Memory B cells
Glial cells, Schwann cells, Neural support cells
Epithelial cells, Colonocytes, Intestinal cells
T cells, CD4+ T cells, Memory T cells
Macrophages, Kupffer cells, Myeloid cells
