"[['smooth muscle cell'], ['pericyte'], ['myofibroblast']]"
"[['t cell'], ['cd4+ t cell'], ['t memory cell']]"
"[['fibroblast'], ['pericyte'], ['smooth muscle cell']]"
"[['neutrophil'], ['myeloid cell'], ['monocyte']]"
"[['monocyte'], ['macrophage'], ['dendritic cell']]"
"[['mesothelial cell'], ['endothelial cell'], ['fibroblast']]"
"[['mast cell'], ['basophil'], ['myeloid progenitor']]"
"[['macrophage'], ['dendritic cell'], ['kupffer cell']]"
"[['nk cell'], ['cytotoxic t cell'], ['gamma-delta t cell']]"
"[['endothelial cell'], ['hematopoietic stem cell'], ['smooth muscle cell']]"
"[['neuron'], ['adipocyte progenitor'], ['smooth muscle cell']]"
"[['dendritic cell'], ['b cell'], ['macrophage']]"
"[['b cell'], ['plasma cell'], ['memory b cell']]"
"[['mature adipocyte'], ['preadipocyte'], ['stromal cell']]"
"[['lymphatic endothelial cell'], ['blood endothelial cell'], ['fibroblast']]"
"[['megakaryocyte'], ['platelet'], ['hematopoietic progenitor']]"
"[['early lymphoid progenitor'], ['pro-b cell'], ['t-cell progenitor']]"
"[['dendritic cell'], ['eosinophil'], ['mast cell']]"
"[['plasmacytoid dendritic cell'], ['b cell'], ['monocyte']]"
"[['pro-b cell'], ['pre-b cell'], ['b-cell progenitor']]"
"[['proliferating cell'], ['hematopoietic stem cell'], ['cycling t/b cell']]"
"[['bone marrow stromal cell'], ['fibroblast'], ['osteoblast']]"
"[['plasma cell'], ['osteoblast'], ['b cell']]"
"[['neutrophil'], ['myeloid cell'], ['granulocyte']]"
"[['plasma cell'], ['memory b cell'], ['b cell']]"
"[['megakaryocyte'], ['platelet'], ['activated platelet']]"
"[['plasmacytoid dendritic cell'], ['monocyte'], ['b cell']]"
"[['hematopoietic stem cell'], ['progenitor'], ['early myeloid cell']]"
"[['nk cell'], ['cytotoxic t cell'], ['effector lymphocyte']]"
"[['megakaryocyte progenitor'], ['hematopoietic stem cell'], ['erythroid cell']]"
"[['cytotoxic t cell'], ['nk cell'], ['effector t cell']]"
"[['erythroblast'], ['erythroid progenitor'], ['megakaryocyte-erythroid progenitor']]"
"[['hematopoietic stem cell'], ['myeloid progenitor'], ['early lymphoid cell']]"
"[['myeloid dendritic cell'], ['monocyte'], ['macrophage']]"
"[['cross-presenting dendritic cell (cdc1)'], ['monocyte'], ['macrophage']]"
"[['cd8+ t cell'], ['naive t cell'], ['effector t cell']]"
"[['cd8+ t cell'], ['cytotoxic t cell'], ['effector t cell']]"
"[['effector memory cd8+ t cell'], ['nk cell'], ['cytotoxic t cell']]"
"[['tissue-resident memory t cell'], ['gamma-delta t cell'], ['mait cell']]"
"[['activated cd8+ t cell'], ['effector t cell'], ['cytotoxic t cell']]"
"[['memory t cell'], ['naive t cell'], ['central memory t cell']]"
"[['memory t cell'], ['regulatory t cell'], ['effector t cell']]"
"[['monocyte'], ['macrophage'], ['microglia-like cell']]"
"[['central memory t cell'], ['naive t cell'], ['effector t cell']]"
"[['mait cell'], ['nkt cell'], ['effector t cell']]"
"[['b cell'], ['plasma cell'], ['memory b cell']]"
"[['b cell'], ['plasma cell'], ['memory b cell']]"
"[['monocyte'], ['neutrophil'], ['myeloid cell']]"
"[['macrophage'], ['monocyte'], ['foam cell']]"
"[['granulocyte progenitor'], ['hematopoietic stem cell'], ['myeloid cell']]"
"[['erythrocyte'], ['erythroblast'], ['red blood cell']]"
"[['gamma-delta t cell'], ['nk cell'], ['cytotoxic t cell']]"
"[['mast cell'], ['basophil'], ['myeloid progenitor']]"
"[['dendritic cell'], ['monocyte'], ['macrophage']]"
"[['nk cell'], ['cytotoxic t cell'], ['effector lymphocyte']]"
"[['pancreatic beta cell'], ['enteroendocrine cell'], ['neuroendocrine cell']]"
"[['neuron'], ['glial cell'], ['cortical progenitor']]"
"[['neuron'], ['developing brain cell'], ['synaptic cell']]"
"[['pancreatic acinar cell'], ['exocrine cell'], ['digestive enzymatic cell']]"
"[['kidney progenitor'], ['nephron cell'], ['renal epithelial cell']]"
"[['hepatocyte'], ['epithelial cell'], ['pancreatic ductal cell']]"
"[['neuron'], ['cortical neuron'], ['synaptic cell']]"
"[['hepatoblast'], ['liver progenitor'], ['hepatic cell']]"
"[['fibroblast'], ['mesenchymal cell'], ['connective tissue cell']]"
"[['melanocyte'], ['retinal pigment epithelial cell'], ['skin cell']]"
"[['hepatoblast'], ['liver progenitor'], ['hepatic stellate cell']]"
"[['pericyte'], ['fibroblast'], ['vascular smooth muscle cell']]"
"[['hepatocyte'], ['liver cell'], ['metabolic cell']]"
"[['neuron'], ['synaptic cell'], ['cortical neuron']]"
"[['cardiomyocyte'], ['heart muscle cell'], ['cardiac progenitor']]"
"[['hepatocyte'], ['hematopoietic stem cell'], ['liver progenitor']]"
"[['gastric cell'], ['parietal cell'], ['stomach epithelial cell']]"
