"[['adipocyte'], ['luminal epithelial cell'], ['fibroblast']]"
"[['endothelial cell'], ['pericyte'], ['fibroblast']]"
"[['fibroblast'], ['myoepithelial cell'], ['mesenchymal stem cell']]"
"[['smooth muscle cell'], ['myoepithelial cell'], ['pericyte']]"
"[['endothelial cell'], ['stromal cell'], ['fibroblast']]"
"[['luminal epithelial cell'], ['basal epithelial cell'], ['stromal cell']]"
"[['macrophage'], ['fibroblast'], ['endothelial cell']]"
"[['smooth muscle cell'], ['fibroblast'], ['pericyte']]"
"[['smooth muscle cell'], ['fibroblast'], ['pericyte']]"
"[['epithelial cell'], ['stromal cell'], ['neuroendocrine cell']]"
"[['fibroblast'], ['smooth muscle cell'], ['stromal cell']]"
"[['basal epithelial cell'], ['squamous epithelial cell'], ['keratinocyte']]"
"[['endothelial cell'], ['stromal cell'], ['fibroblast']]"
"[['neuron'], ['neuroendocrine cell'], ['schwann cell']]"
"[['neuroendocrine cell'], ['neuron'], ['stromal cell']]"
"[['smooth muscle cell'], ['myofibroblast'], ['pericyte']]"
"[['smooth muscle cell'], ['endothelial cell'], ['fibroblast']]"
"[['t cell'], ['immune cell'], ['b cell']]"
"[['t cell'], ['immune cell'], ['natural killer cell']]"
"[['macrophage'], ['dendritic cell'], ['b cell']]"
"[['b cell'], ['immune cell'], ['t cell']]"
"[['squamous epithelial cell'], ['keratinocyte'], ['basal epithelial cell']]"
"[['keratinocyte'], ['cornified epithelial cell'], ['squamous epithelial cell']]"
"[['fibroblast'], ['endothelial cell'], ['smooth muscle cell']]"
"[['mast cell'], ['immune cell'], ['basal cell']]"
"[['pericyte'], ['fibroblast'], ['smooth muscle cell']]"
"[['fibroblast'], ['stromal cell'], ['smooth muscle cell']]"
"[['endothelial cell'], ['vascular smooth muscle cell'], ['pericyte']]"
"[['neuron'], ['cardiac neuron'], ['neuroendocrine cell']]"
"[['cardiomyocyte'], ['cardiac muscle cell'], ['myocyte']]"
"[['cardiomyocyte'], ['cardiac muscle cell'], ['myocyte']]"
"[['t cell'], ['immune cell'], ['natural killer cell']]"
"[['natural killer cell'], ['t cell'], ['immune cell']]"
"[['fibroblast'], ['endothelial cell'], ['stromal cell']]"
"[['endothelial cell'], ['immune cell'], ['b cell']]"
"[['lymphatic endothelial cell'], ['fibroblast'], ['stromal cell']]"
"[['adipocyte'], ['stromal cell'], ['fibroblast']]"
"[['mast cell'], ['immune cell'], ['basophil']]"
"[['t cell'], ['immune cell'], ['natural killer cell']]"
"[['fibroblast'], ['endothelial cell'], ['alveolar macrophage']]"
"[['smooth muscle cell'], ['fibroblast'], ['pericyte']]"
"[['endothelial cell'], ['vascular smooth muscle cell'], ['stromal cell']]"
"[['mast cell'], ['immune cell'], ['basophil']]"
"[['alveolar macrophage'], ['macrophage'], ['dendritic cell']]"
"[['natural killer cell'], ['t cell'], ['immune cell']]"
"[['smooth muscle cell'], ['myofibroblast'], ['pericyte']]"
"[['type ii pneumocyte'], ['alveolar epithelial cell'], ['secretory cell']]"
"[['ciliated epithelial cell'], ['respiratory epithelial cell'], ['secretory cell']]"
"[['basal cell'], ['epithelial progenitor cell'], ['keratinocyte']]"
"[['b cell'], ['immune cell'], ['stromal cell']]"
"[['type ii pneumocyte'], ['alveolar epithelial cell'], ['secretory cell']]"
"[['epithelial cell'], ['fibroblast'], ['stromal cell']]"
"[['fibroblast'], ['stromal cell'], ['smooth muscle cell']]"
"[['fibroblast'], ['stromal cell'], ['smooth muscle cell']]"
"[['stromal cell'], ['fibroblast'], ['smooth muscle cell']]"
"[['endothelial cell'], ['vascular smooth muscle cell'], ['pericyte']]"
"[['neuron'], ['neuroendocrine cell'], ['schwann cell']]"
"[['smooth muscle cell'], ['fibroblast'], ['pericyte']]"
"[['neuroendocrine cell'], ['neuron'], ['secretory cell']]"
"[['smooth muscle cell'], ['myofibroblast'], ['pericyte']]"
"[['mast cell'], ['immune cell'], ['basophil']]"
"[['t cell'], ['immune cell'], ['natural killer cell']]"
"[['t cell'], ['natural killer cell'], ['immune cell']]"
"[['b cell'], ['immune cell'], ['stromal cell']]"
"[['fibroblast'], ['stromal cell'], ['smooth muscle cell']]"
"[['prostate epithelial cell'], ['secretory epithelial cell'], ['luminal cell']]"
"[['epithelial cell'], ['stromal cell'], ['neuroendocrine cell']]"
"[['luminal epithelial cell'], ['basal epithelial cell'], ['secretory cell']]"
"[['endothelial cell'], ['fibroblast'], ['stromal cell']]"
"[['skeletal muscle cell'], ['myocyte'], ['muscle satellite cell']]"
"[['endothelial cell'], ['fibroblast'], ['stromal cell']]"
"[['fibroblast'], ['stromal cell'], ['smooth muscle cell']]"
"[['smooth muscle cell'], ['fibroblast'], ['pericyte']]"
"[['neuron'], ['schwann cell'], ['neuroendocrine cell']]"
"[['muscle satellite cell'], ['myocyte'], ['fibroblast']]"
"[['skeletal muscle cell'], ['myocyte'], ['muscle satellite cell']]"
"[['fibroblast'], ['stromal cell'], ['endothelial cell']]"
"[['t cell'], ['immune cell'], ['natural killer cell']]"
"[['natural killer cell'], ['t cell'], ['immune cell']]"
"[['fibroblast'], ['stromal cell'], ['smooth muscle cell']]"
"[['fibroblast'], ['stromal cell'], ['endothelial cell']]"
"[['adipocyte'], ['stromal cell'], ['fibroblast']]"
"[['mast cell'], ['immune cell'], ['basophil']]"
"[['endothelial cell'], ['fibroblast'], ['stromal cell']]"
"[['sweat gland cell'], ['epithelial cell'], ['keratinocyte']]"
"[['melanocyte'], ['epithelial cell'], ['keratinocyte']]"
"[['mast cell'], ['immune cell'], ['basophil']]"
"[['t cell'], ['immune cell'], ['natural killer cell']]"
"[['langerhans cell'], ['macrophage'], ['dendritic cell']]"
"[['macrophage'], ['dendritic cell'], ['immune cell']]"
"[['keratinocyte'], ['cornified epithelial cell'], ['basal cell']]"
"[['keratinocyte'], ['cornified epithelial cell'], ['merkel cell']]"
"[['cornified epithelial cell'], ['keratinocyte'], ['epidermal cell']]"
