"[['neural progenitor cell'], ['adipocyte'], ['proliferating cell']]"
"[['smooth muscle cell'], ['mesenchymal stem cell'], ['myofibroblast']]"
"[['cd8+ t cell'], ['t cell'], ['gamma delta t cell']]"
"[['neuron'], ['neuroblast'], ['neural progenitor cell']]"
"[['fibroblast'], ['macrophage'], ['epithelial cell']]"
"[['embryonic stem cell'], ['primordial germ cell'], ['germ cell']]"
"[['spermatid'], ['spermatozoon'], ['germ cell']]"
"[['germ cell'], ['spermatogonia'], ['embryonic stem cell']]"
"[['pancreatic acinar cell'], ['paneth cell'], ['goblet cell']]"
"[['chondrocyte'], ['cartilage cell'], ['osteoblast']]"
"[['neutrophil'], ['myeloid cell'], ['granulocyte']]"
"[['neutrophil'], ['myeloid progenitor'], ['granulocyte']]"
"[['erythroid cell'], ['red blood cell'], ['erythroblast']]"
"[['gastric epithelial cell'], ['stomach cell'], ['goblet cell']]"
"[['endothelial cell'], ['adipocyte'], ['pericyte']]"
"[['mammary epithelial cell'], ['alveolar cell'], ['lactating cell']]"
"[['oligodendrocyte'], ['schwann cell'], ['myelinating cell']]"
"[['astrocyte'], ['neural progenitor cell'], ['neuron']]"
"[['fibroblast'], ['mesenchymal stem cell'], ['osteoblast']]"
"[['b cell'], ['plasma cell'], ['memory b cell']]"
"[['macrophage'], ['dendritic cell'], ['megakaryocyte']]"
"[['spermatocyte'], ['germ cell'], ['meiotic cell']]"
"[['enterocyte'], ['paneth cell'], ['goblet cell']]"
"[['dendritic cell'], ['b cell'], ['macrophage']]"
"[['erythrocyte'], ['red blood cell'], ['erythroid progenitor']]"
"[['type ii pneumocyte'], ['alveolar cell'], ['club cell']]"
"[['hepatocyte'], ['liver cell'], ['kidney cell']]"
"[['neutrophil'], ['myeloid cell'], ['granulocyte']]"
"[['granulosa cell'], ['steroidogenic cell'], ['theca cell']]"
"[['fibroblast'], ['osteoblast'], ['chondrocyte']]"
"[['adipocyte'], ['white adipocyte'], ['brown adipocyte']]"
"[['keratinocyte'], ['urothelial cell'], ['epithelial cell']]"
"[['epithelial cell'], ['ovarian epithelial cell'], ['glandular cell']]"
"[['prostate cell'], ['oligodendrocyte'], ['retinal pigment epithelium']]"
"[['liver sinusoidal endothelial cell'], ['hepatocyte'], ['immune cell']]"
"[['fibroblast'], ['mesenchymal stem cell'], ['smooth muscle cell']]"
"[['enteroendocrine cell'], ['germ cell'], ['pancreatic cell']]"
"[['osteoblast'], ['osteocyte'], ['bone cell']]"
"[['smooth muscle cell'], ['myofibroblast'], ['vascular smooth muscle']]"
"[['adrenal cell'], ['leydig cell'], ['steroidogenic cell']]"
"[['kidney cell'], ['distal tubule cell'], ['loop of henle cells']]"
"[['germ cell'], ['primordial germ cell'], ['embryonic stem cell']]"
"[['cytotoxic t cell'], ['cd8+ t cell'], ['nk cell']]"
"[['keratinocyte'], ['hepatocyte'], ['epithelial cell']]"
"[['nk cell'], ['cytotoxic t cell'], ['nkt cell']]"
"[['cardiomyocyte'], ['atrial cardiomyocyte'], ['ventricular cardiomyocyte']]"
"[['microglia'], ['macrophage'], ['cns macrophage']]"
"[['gastric chief cell'], ['parietal cell'], ['stomach cell']]"
"[['pancreatic acinar cell'], ['exocrine cell'], ['digestive enzyme cell']]"
"[['adrenal cortex cell'], ['leydig cell'], ['theca cell']]"
"[['renal epithelial cell'], ['ovarian cell'], ['epithelial cell']]"
"[['enteroendocrine cell'], ['pancreatic alpha cell'], ['neuroendocrine cell']]"
"[['mast cell'], ['basophil'], ['allergic cell']]"
"[['podocyte'], ['glomerular cell'], ['mesangial cell']]"
"[['placental trophoblast'], ['giant cell'], ['spongiotrophoblast']]"
"[['club cell'], ['clara cell'], ['respiratory epithelial cell']]"
"[['kidney cell'], ['distal tubule cell'], ['intercalated cell']]"
"[['squamous epithelial cell'], ['neutrophil'], ['salivary gland cell']]"
"[['macrophage'], ['dendritic cell'], ['monocyte']]"
"[['choroid plexus cell'], ['kidney proximal tubule cell'], ['hepatocyte']]"
"[['astrocyte'], ['glial cell'], ['neural cell']]"
"[['hepatocyte'], ['liver cell'], ['pancreatic cell']]"
"[['chondrocyte'], ['cartilage cell'], ['osteoblast']]"
"[['t cell'], ['activated t cell'], ['stress-response cell']]"
