"[['adipocyte'], ['preadipocyte'], ['stromal cell']]"
"[['endothelial cell'], ['lymphatic endothelial cell'], ['vascular endothelial cell']]"
"[['t cell'], ['nk cell'], ['gamma-delta t cell']]"
"[['smooth muscle cell'], ['myofibroblast'], ['vascular smooth muscle cell']]"
"[['myoepithelial cell'], ['basal epithelial cell'], ['luminal epithelial cell']]"
"[['mast cell'], ['basophil'], ['myeloid cell']]"
"[['pericyte'], ['vascular smooth muscle cell'], ['myofibroblast']]"
"[['lymphatic endothelial cell'], ['lymphatic cell'], ['endothelial cell']]"
"[['luminal epithelial cell'], ['glandular epithelial cell'], ['breast epithelial cell']]"
"[['fibroblast'], ['stromal cell'], ['myofibroblast']]"
"[['b cell'], ['dendritic cell'], ['follicular dendritic cell']]"
"[['macrophage'], ['m2 macrophage'], ['monocyte']]"
"[['mast cell'], ['basophil'], ['myeloid cell']]"
"[['endothelial cell'], ['vascular endothelial cell'], ['lymphatic endothelial cell']]"
"[['t cell'], ['nk cell'], ['gamma-delta t cell']]"
"[['mucous-secreting cell'], ['goblet cell'], ['epithelial cell']]"
"[['macrophage'], ['m2 macrophage'], ['monocyte']]"
"[['smooth muscle cell'], ['myofibroblast'], ['vascular smooth muscle cell']]"
"[['interstitial cell of cajal'], ['enteric glial cell'], ['neuronal cell']]"
"[['fibroblast'], ['stromal cell'], ['myofibroblast']]"
"[['basal epithelial cell'], ['squamous epithelial cell'], ['keratinocyte']]"
"[['b cell'], ['dendritic cell'], ['follicular dendritic cell']]"
"[['adipocyte'], ['preadipocyte'], ['stromal cell']]"
"[['lymphatic endothelial cell'], ['endothelial cell'], ['lymphatic cell']]"
"[['cardiomyocyte'], ['cardiac muscle cell'], ['myocyte']]"
"[['endothelial cell'], ['vascular endothelial cell'], ['lymphatic endothelial cell']]"
"[['t cell'], ['nk cell'], ['gamma-delta t cell']]"
"[['smooth muscle cell'], ['myofibroblast'], ['vascular smooth muscle cell']]"
"[['pericyte'], ['vascular smooth muscle cell'], ['myofibroblast']]"
"[['mast cell'], ['basophil'], ['myeloid cell']]"
"[['lymphatic endothelial cell'], ['lymphatic cell'], ['endothelial cell']]"
"[['fibroblast'], ['stromal cell'], ['myofibroblast']]"
"[['b cell'], ['dendritic cell'], ['follicular dendritic cell']]"
"[['adipocyte'], ['preadipocyte'], ['stromal cell']]"
"[['macrophage'], ['m2 macrophage'], ['monocyte']]"
"[['macrophage'], ['alveolar macrophage'], ['monocyte']]"
"[['endothelial cell'], ['vascular endothelial cell'], ['lymphatic endothelial cell']]"
