"[['t cell'], ['nk cell'], ['gamma-delta t cell']]"
"[['plasmacytoid dendritic cell'], ['pre-t cell'], ['dendritic cell']]"
"[['b cell'], ['plasma cell'], ['memory b cell']]"
"[['endothelial cell'], ['vascular endothelial cell'], ['lymphatic endothelial cell']]"
"[['lymphatic endothelial cell'], ['fibroblast'], ['stromal cell']]"
"[['cytotoxic t cell'], ['nk cell'], ['cd8+ t cell']]"
"[['mast cell'], ['basophil'], ['myeloid cell']]"
"[['plasma cell'], ['b cell'], ['plasmablast']]"
"[['fibroblast'], ['stromal cell'], ['myofibroblast']]"
"[['smooth muscle cell'], ['myofibroblast'], ['pericyte']]"
"[['endothelial cell'], ['vascular endothelial cell'], ['lymphatic endothelial cell']]"
"[['urothelial cell'], ['epithelial cell'], ['transitional epithelial cell']]"
"[['fibroblast'], ['myofibroblast'], ['stromal cell']]"
"[['macrophage'], ['monocyte'], ['dendritic cell']]"
"[['smooth muscle cell'], ['pericyte'], ['myofibroblast']]"
"[['hematopoietic stem cell'], ['erythroid progenitor'], ['progenitor cell']]"
"[['megakaryocyte progenitor'], ['erythroid progenitor'], ['hematopoietic stem cell']]"
"[['neutrophil'], ['granulocyte'], ['eosinophil']]"
"[['mast cell'], ['basophil'], ['megakaryocyte']]"
"[['t cell'], ['naive t cell'], ['memory t cell']]"
"[['neutrophil'], ['granulocyte'], ['monocyte']]"
"[['erythrocyte'], ['reticulocyte'], ['red blood cell']]"
"[['mast cell'], ['basophil'], ['myeloid progenitor']]"
"[['monocyte'], ['dendritic cell'], ['b cell']]"
"[['naive t cell'], ['central memory t cell'], ['t cell']]"
"[['endothelial progenitor'], ['progenitor cell'], ['stromal cell']]"
"[['platelet'], ['megakaryocyte'], ['proplatelet']]"
"[['monocyte'], ['macrophage'], ['dendritic cell']]"
"[['plasma cell'], ['plasmablast'], ['b cell']]"
"[['erythrocyte'], ['red blood cell'], ['reticulocyte']]"
"[['t cell'], ['activated t cell'], ['memory t cell']]"
"[['monocyte'], ['macrophage'], ['dendritic cell']]"
"[['neutrophil'], ['granulocyte'], ['myeloid cell']]"
"[['b cell'], ['naive b cell'], ['memory b cell']]"
"[['nk cell'], ['cytotoxic t cell'], ['lymphocyte']]"
"[['b cell'], ['plasma cell'], ['memory b cell']]"
"[['nk cell'], ['cytotoxic t cell'], ['lymphocyte']]"
"[['hematopoietic stem cell'], ['dendritic cell'], ['progenitor cell']]"
"[['cd8+ t cell'], ['cytotoxic t cell'], ['memory t cell']]"
"[['nk cell'], ['cytotoxic t cell'], ['lymphocyte']]"
"[['t cell'], ['central memory t cell'], ['th2 cell']]"
"[['erythroblast'], ['erythrocyte'], ['red blood cell']]"
"[['b cell'], ['plasma cell'], ['memory b cell']]"
"[['hematopoietic stem cell'], ['progenitor cell'], ['platelet']]"
"[['neutrophil'], ['granulocyte'], ['myeloid cell']]"
"[['neutrophil'], ['granulocyte'], ['myeloid progenitor']]"
"[['neutrophil'], ['granulocyte'], ['myeloid cell']]"
"[['t cell'], ['naive t cell'], ['memory t cell']]"
"[['cytotoxic t cell'], ['cd8+ t cell'], ['nk cell']]"
"[['megakaryocyte'], ['mast cell'], ['progenitor cell']]"
"[['b cell'], ['plasma cell'], ['memory b cell']]"
"[['neutrophil'], ['myeloid progenitor'], ['promyelocyte']]"
"[['nk cell'], ['cytotoxic t cell'], ['γδ t cell']]"
"[['erythroblast'], ['erythrocyte'], ['megakaryocyte']]"
"[['hematopoietic stem cell'], ['progenitor cell'], ['erythroid progenitor']]"
"[['plasma cell'], ['plasmablast'], ['memory b cell']]"
"[['monocyte'], ['macrophage'], ['dendritic cell']]"
"[['macrophage'], ['monocyte'], ['dendritic cell']]"
"[['activated t cell'], ['nk cell'], ['nkt cell']]"
"[['plasma cell'], ['b cell'], ['memory b cell']]"
"[['macrophages (m2)'], ['dendritic cell'], ['microglia']]"
"[['erythroblast'], ['erythrocyte'], ['red blood cell']]"
"[['proliferating cell'], ['stem cell'], ['retinal progenitor']]"
"[['t cell'], ['γδ t cell'], ['immature t cell']]"
"[['mast cell'], ['basophil'], ['eosinophil']]"
"[['retinal neuron'], ['amacrine cell'], ['ganglion cell']]"
"[['fibroblast'], ['myofibroblast'], ['activated t cell']]"
"[['adipocyte'], ['lipid-rich cell'], ['hepatocyte']]"
"[['muscle cell'], ['myocyte'], ['satellite cell']]"
"[['neuron'], ['neuroprogenitor'], ['retinal neuron']]"
"[['smooth muscle cell'], ['myofibroblast'], ['pericyte']]"
"[['melanocyte'], ['retinal pigment epithelium'], ['schwann cell']]"
"[['photoreceptor cell (rods)'], ['retinal cell'], ['cone']]"
"[['corneal epithelial cell'], ['keratinocyte'], ['epithelial cell']]"
"[['retinal pigment epithelium'], ['müller cell'], ['epithelial cell']]"
"[['conjunctival epithelial cell'], ['goblet cell'], ['ductal cell']]"
"[['monocyte'], ['macrophage'], ['neutrophil']]"
"[['microglia'], ['macrophage'], ['dendritic cell']]"
"[['corneal stromal cell'], ['fibroblast'], ['stromal cell']]"
"[['t cell'], ['memory t cell'], ['naive t cell']]"
"[['müller cell'], ['retinal pigment epithelium'], ['astrocyte']]"
"[['endothelial cell'], ['vascular endothelial cell'], ['pericyte']]"
"[['lacrimal gland cell'], ['acinar cell'], ['epithelial cell']]"
"[['fibroblast'], ['stromal cell'], ['chondrocyte']]"
"[['b cell'], ['plasma cell'], ['memory b cell']]"
"[['retinal pigment epithelium'], ['epithelial cell'], ['müller cell']]"
"[['epithelial cell'], ['basal cell'], ['keratinocyte']]"
"[['plasma cell'], ['b cell'], ['memory b cell']]"
"[['b cell'], ['plasma cell'], ['low-quality cell']]"
"[['erythroid cell'], ['megakaryocyte'], ['contaminated cell']]"
"[['smooth muscle cell'], ['myofibroblast'], ['stromal cell']]"
"[['adipocyte'], ['fibroblast'], ['preadipocyte']]"
"[['ribosomal protein-rich cell'], ['low-quality cell'], ['stressed cell']]"
"[['neutrophil'], ['myeloid cell'], ['granulocyte']]"
"[['nk cell'], ['cytotoxic t cell'], ['γδ t cell']]"
"[['macrophages (m2)'], ['dendritic cell'], ['monocyte']]"
"[['t cell'], ['memory t cell'], ['naive t cell']]"
"[['endothelial cell'], ['vascular cell'], ['pericyte']]"
"[['fibroblast'], ['stromal cell'], ['adipocyte']]"
"[['smooth muscle cell'], ['pericyte'], ['myofibroblast']]"
"[['endothelial cell'], ['adipocyte'], ['fibroblast']]"
"[['cardiomyocyte'], ['cardiac muscle cell'], ['striated muscle cell']]"
"[['epicardial cell'], ['mesothelial cell'], ['epithelial cell']]"
"[['pericyte'], ['fibroblast'], ['smooth muscle cell']]"
"[['fibroblast'], ['stromal cell'], ['myofibroblast']]"
