Smooth Muscle Cell, Vascular Smooth Muscle Cell, Adipocyte
T Cell, CD4+ T Cell, Naive T Cell
Pericyte, Endothelial Cell, Fibroblast
Neutrophil, Monocyte, Macrophage
Macrophage, Dendritic Cell, Monocyte
Unknown Cell Type 1, Unknown Cell Type 2, Unknown Cell Type 3
Mast Cell, Basophil, Eosinophil
Macrophage, M2 Macrophage, Dendritic Cell
Natural Killer Cell, Cytotoxic T Cell, Memory T Cell
Endothelial Cell, Platelet, Vascular Smooth Muscle Cell
Neuron, Astrocyte, Oligodendrocyte
Dendritic Cell, B Cell, T Cell
B Cell, Plasma Cell, Memory B Cell
Adipocyte, Pre-adipocyte, Adipose Stem Cell
Lymphatic Endothelial Cell, Fibroblast, Macrophage
Megakaryocyte, Platelet, Erythroid Cell
T Cell, B Cell, Hematopoietic Stem Cell
Dendritic Cell, Monocyte, Macrophage
T Cell, B Cell, Hematopoietic Stem Cell
B Cell, Plasma Cell, Memory B Cell
Progenitor Cell, Lymphoid Cell, Hematopoietic Stem Cell
Fibroblast, Mesenchymal Stem Cell, Adipocyte
B Cell, Plasma Cell, Memory B Cell
Neutrophil, Eosinophil, Basophil
B Cell, Plasma Cell, Memory B Cell
Megakaryocyte, Erythroid Cell, Myeloid Cell
Unknown Cell Type 1, Unknown Cell Type 2, Unknown Cell Type 3
Neuron, Astrocyte, Oligodendrocyte
Natural Killer Cell, Cytotoxic T Cell, Memory T Cell
T Cell, B Cell, Dendritic Cell
Cytotoxic T Cell, Natural Killer Cell, Memory T Cell
Platelet, Megakaryocyte, Erythroid Cell
Hematopoietic Stem Cell, Progenitor Cell, Lymphoid Cell
Dendritic Cell, Monocyte, Macrophage
Dendritic Cell, T Cell, B Cell
T Cell, Cytotoxic T Cell, Memory T Cell
Cytotoxic T Cell, Memory T Cell, CD8+ T Cell
Cytotoxic T Cell, Memory T Cell, Natural Killer Cell
Cytotoxic T Cell, Memory T Cell, CD8+ T Cell
Cytotoxic T Cell, Memory T Cell, Natural Killer Cell
T Cell, B Cell, Dendritic Cell
T Cell, B Cell, Dendritic Cell
Dendritic Cell, Macrophage, Monocyte
T Cell, B Cell, Dendritic Cell
T Cell, Memory T Cell, Natural Killer Cell
B Cell, Plasma Cell, Memory B Cell
B Cell, Plasma Cell, Memory B Cell
Monocyte, Macrophage, Dendritic Cell
Macrophage, Dendritic Cell, Neutrophil
Monocyte, Macrophage, Dendritic Cell
Epithelial Cell, Endothelial Cell, Fibroblast
T Cell, B Cell, Dendritic Cell
Mast Cell, Basophil, Eosinophil
Dendritic Cell, Macrophage, Monocyte
Dendritic Cell, T Cell, B Cell
Pancreatic Beta Cell, Endocrine Cell, Neural Crest Cell
Neuron, Glial Cell, Epithelial Cell
Neuron, Astrocyte, Oligodendrocyte
Exocrine Cell, Pancreatic Acinar Cell, Ductal Cell
Mesenchymal Stem Cell, Endothelial Cell, Fibroblast
Pancreatic Beta Cell, Endocrine Cell, Neural Crest Cell
Neuron, Glial Cell, Epithelial Cell
Neuron, Glial Cell, Epithelial Cell
Neuron, Glial Cell, Epithelial Cell
Retinal Pigment Epithelium, Melanocyte, Neuron
Endothelial Cell, Fibroblast, Neural Crest Cell
Fibroblast, Endothelial Cell, Smooth Muscle Cell
Hepatocyte, Endothelial Cell, Epithelial Cell
Neuron, Glial Cell, Epithelial Cell
Cardiac Muscle Cell, Skeletal Muscle Cell, Smooth Muscle Cell
Hepatocyte, Endothelial Cell, Epithelial Cell
Epithelial Cell, Goblet Cell, Mucous Cell
T Cell, B Cell, Dendritic Cell
Epithelial Cell, Endothelial Cell, Fibroblast
Trophoblast, Endothelial Cell, Epithelial Cell
Lens Fiber Cell, Epithelial Cell, Retinal Cell
Neuron, Glial Cell, Epithelial Cell
Epithelial Cell, Goblet Cell, Mucous Cell
Neuroendocrine Cell, Enteroendocrine Cell, Neuron
Neuron, Glial Cell, Epithelial Cell
Pancreatic Alpha Cell, Endocrine Cell, Neural Crest Cell
Hepatocyte, Endothelial Cell, Epithelial Cell
Epithelial Cell, Goblet Cell, Mucous Cell
Epithelial Cell, Goblet Cell, Mucous Cell
Neuron, Glial Cell, Epithelial Cell
Neuron, Glial Cell, Epithelial Cell
Fibroblast, Endothelial Cell, Smooth Muscle Cell
Epithelial Cell, Keratinocyte, Goblet Cell
T Cell, B Cell, Dendritic Cell
Oligodendrocyte, Neuron, Astrocyte
Neuron, Glial Cell, Epithelial Cell
Hepatocyte, Endothelial Cell, Epithelial Cell
Endothelial Cell, Fibroblast, Smooth Muscle Cell
Neuron, Glial Cell, Epithelial Cell
Fibroblast, Endothelial Cell, Smooth Muscle Cell
Endothelial Cell, Fibroblast, Smooth Muscle Cell
Dendritic Cell, Macrophage, Monocyte
Epithelial Cell, Endothelial Cell, Fibroblast
Epithelial Cell, Endothelial Cell, Fibroblast
Epithelial Cell, Endothelial Cell, Fibroblast
Neuron, Glial Cell, Epithelial Cell
Neuroendocrine Cell, Endocrine Cell, Neuron
Epithelial Cell, Endothelial Cell, Fibroblast
Lymphatic Endothelial Cell, Fibroblast, Macrophage
Neuron, Glial Cell, Epithelial Cell
Fibroblast, Endothelial Cell, Smooth Muscle Cell
Fibroblast, Endothelial Cell, Smooth Muscle Cell
Cardiac Muscle Cell, Skeletal Muscle Cell, Smooth Muscle Cell
Oligodendrocyte, Neuron, Astrocyte
Neuron, Glial Cell, Epithelial Cell
T Cell, B Cell, Dendritic Cell
Epithelial Cell, Endothelial Cell, Fibroblast
Endothelial Cell, Fibroblast, Smooth Muscle Cell
Neuron, Glial Cell, Epithelial Cell
Neuron, Glial Cell, Epithelial Cell
Neuron, Glial Cell, Epithelial Cell
Neuron, Glial Cell, Epithelial Cell
Cardiac Muscle Cell, Endothelial Cell, Fibroblast
Cardiac Muscle Cell, Endothelial Cell, Fibroblast
Cardiac Muscle Cell, Endothelial Cell, Fibroblast
Cardiac Muscle Cell, Endothelial Cell, Fibroblast
Macrophage, Dendritic Cell, Monocyte
Endothelial Cell, Fibroblast, Smooth Muscle Cell
T Cell, B Cell, Dendritic Cell
Neuron, Glial Cell, Epithelial Cell
Natural Killer Cell, Cytotoxic T Cell, Memory T Cell
Endothelial Cell, Fibroblast, Smooth Muscle Cell
Cardiac Muscle Cell, Endothelial Cell, Fibroblast
Endothelial Cell, Fibroblast, Smooth Muscle Cell
Cardiac Muscle Cell, Endothelial Cell, Fibroblast
Neuron, Glial Cell, Epithelial Cell
Macrophage, Dendritic Cell, Monocyte
Endothelial Cell, Fibroblast, Smooth Muscle Cell
Cardiac Muscle Cell, Endothelial Cell, Fibroblast
Cardiac Muscle Cell, Endothelial Cell, Fibroblast
Adipocyte, Cardiac Muscle Cell, Endothelial Cell
B Cell, Plasma Cell, Memory B Cell
Cardiac Muscle Cell, Endothelial Cell, Fibroblast
Epithelial Cell, Renal Proximal Tubule Cell, Podocyte
Epithelial Cell, Renal Proximal Tubule Cell, Podocyte
Epithelial Cell, Renal Proximal Tubule Cell, Podocyte
Epithelial Cell, Renal Proximal Tubule Cell, Podocyte
Endothelial Cell, Epithelial Cell, Fibroblast
Epithelial Cell, Renal Proximal Tubule Cell, Podocyte
Epithelial Cell, Renal Proximal Tubule Cell, Podocyte
Epithelial Cell, Renal Proximal Tubule Cell, Podocyte
Epithelial Cell, Renal Proximal Tubule Cell, Podocyte
Epithelial Cell, Renal Proximal Tubule Cell, Podocyte
Fibroblast, Endothelial Cell, Smooth Muscle Cell
Epithelial Cell, Renal Proximal Tubule Cell, Podocyte
Epithelial Cell, Renal Proximal Tubule Cell, Podocyte
Epithelial Cell, Renal Proximal Tubule Cell, Podocyte
Epithelial Cell, Renal Proximal Tubule Cell, Podocyte
Epithelial Cell, Renal Proximal Tubule Cell, Podocyte
Kupffer Cell, Hepatocyte, Endothelial Cell
Hepatocyte, Endothelial Cell, Epithelial Cell
Hepatocyte, Endothelial Cell, Epithelial Cell
B Cell, Plasma Cell, Memory B Cell
T Cell, B Cell, Dendritic Cell
Macrophage, Dendritic Cell, Monocyte
T Cell, B Cell, Dendritic Cell
Hepatocyte, Endothelial Cell, Epithelial Cell
Hepatocyte, Endothelial Cell, Epithelial Cell
Macrophage, Dendritic Cell, Monocyte
Mast Cell, Basophil, Eosinophil
Macrophage, Dendritic Cell, Monocyte
Hepatocyte, Endothelial Cell, Epithelial Cell
Dendritic Cell, Macrophage, Monocyte
Dendritic Cell, Macrophage, Monocyte
Erythrocyte, Megakaryocyte, Platelet
Natural Killer Cell, Cytotoxic T Cell, Memory T Cell
Endothelial Cell, Fibroblast, Smooth Muscle Cell
Epithelial Cell, Goblet Cell, Mucous Cell
Dendritic Cell, Macrophage, Monocyte
Cytotoxic T Cell, Memory T Cell, CD8+ T Cell
Cytotoxic T Cell, Memory T Cell, CD8+ T Cell
B Cell, Plasma Cell, Memory B Cell
Epithelial Cell, Alveolar Cell, Endothelial Cell
T Cell, B Cell, Dendritic Cell
Endothelial Cell, Alveolar Cell, Epithelial Cell
Alveolar Cell, Epithelial Cell, Endothelial Cell
Natural Killer Cell, Cytotoxic T Cell, Memory T Cell
Macrophage, Dendritic Cell, Monocyte
Epithelial Cell, Goblet Cell, Mucous Cell
