Smooth Muscle Cells, Myofibroblasts, Pericytes
T Cells, Thymic Stromal Cells, Natural Killer Cells
Adipocytes, Fibroblasts, Pericytes
Monocytes, Macrophages, Dendritic Cells
Monocytes, Macrophages, Dendritic Cells
Mesothelial Cells, Fibroblasts, Endothelial Cells
Mast Cells, Basophils, Eosinophils
Macrophages, Monocytes, Dendritic Cells
Natural Killer Cells, Cytotoxic T Cells, T Cells
Endothelial Cells, Smooth Muscle Cells, Pericytes
Neurons, Astrocytes, Oligodendrocytes
Antigen Presenting Cells, Dendritic Cells, B Cells
B Cells, Plasma Cells, T Cells
Adipocytes, Preadipocytes, Fibroblasts
Lymphatic Endothelial Cells, Fibroblasts, Endothelial Cells
Platelets, Megakaryocytes, Erythrocytes
B Cells, T Cells, Natural Killer Cells
Monocytes, Macrophages, Dendritic Cells
Dendritic Cells, Monocytes, Macrophages
B Cells, Plasma Cells, T Cells
T Cells, Natural Killer Cells, B Cells
Osteoblasts, Fibroblasts, Endothelial Cells
Plasma Cells, B Cells, Monocytes
Neutrophils, Eosinophils, Basophils
Plasma Cells, B Cells, T Cells
Platelets, Megakaryocytes, Endothelial Cells
Dendritic Cells, Monocytes, Macrophages
Erythrocytes, Megakaryocytes, Platelets
Natural Killer Cells, T Cells, Cytotoxic T Cells
Erythrocytes, Megakaryocytes, Platelets
Cytotoxic T Cells, Natural Killer Cells, T Cells
Erythroblasts, Megakaryocytes, Platelets
Stem Cells, B Cells, T Cells
Monocytes, Macrophages, Dendritic Cells
Dendritic Cells, Monocytes, Macrophages
T Cells, Natural Killer Cells, Dendritic Cells
Cytotoxic T Cells, T Cells, Natural Killer Cells
Cytotoxic T Cells, T Cells, Natural Killer Cells
Natural Killer Cells, Cytotoxic T Cells, T Cells
Cytotoxic T Cells, T Cells, Natural Killer Cells
T Cells, Natural Killer Cells, Dendritic Cells
T Cells, Natural Killer Cells, Dendritic Cells
Monocytes, Macrophages, Dendritic Cells
T Cells, Natural Killer Cells, Dendritic Cells
T Cells, Natural Killer Cells, Dendritic Cells
B Cells, Plasma Cells, T Cells
B Cells, Plasma Cells, T Cells
Monocytes, Macrophages, Dendritic Cells
Monocytes, Macrophages, Dendritic Cells
Erythrocytes, Megakaryocytes, Platelets
Erythrocytes, Megakaryocytes, Platelets
Natural Killer Cells, Cytotoxic T Cells, T Cells
Mast Cells, Basophils, Eosinophils
Dendritic Cells, Monocytes, Macrophages
Natural Killer Cells, T Cells, Cytotoxic T Cells
Endocrine Cells, Neurons, Epithelial Cells
Neurons, Glial Cells, Epithelial Cells
Neurons, Glial Cells, Epithelial Cells
Exocrine Pancreatic Cells, Epithelial Cells, Endocrine Pancreatic Cells
Renal Cells, Epithelial Cells, Mesenchymal Cells
Trophoblasts, Epithelial Cells, Endothelial Cells
Neurons, Glial Cells, Epithelial Cells
Neurons, Glial Cells, Epithelial Cells
Neurons, Glial Cells, Epithelial Cells
Retinal Cells, Pigment Cells, Neurons
Hepatic Cells, Mesenchymal Cells, Epithelial Cells
Fibroblasts, Smooth Muscle Cells, Endothelial Cells
Hepatic Cells, Endocrine Cells, Epithelial Cells
Neurons, Glial Cells, Epithelial Cells
Cardiac Muscle Cells, Smooth Muscle Cells, Endothelial Cells
Hepatic Cells, Endothelial Cells, Epithelial Cells
Gastrointestinal Cells, Epithelial Cells, Endocrine Cells
Immune Cells, Antigen Presenting Cells, Lymphocytes
Thymic Cells, Immune Cells, Epithelial Cells
Placental Cells, Endocrine Cells, Trophoblasts
Lens Cells, Epithelial Cells, Eye Cells
Neurons, Glial Cells, Epithelial Cells
Epithelial Cells, Glandular Cells, Immune Cells
Gastrointestinal Cells, Endocrine Cells, Neurons
Neurons, Glial Cells, Epithelial Cells
Hepatic Cells, Fibroblasts, Endothelial Cells
Endocrine Cells, Epithelial Cells, Hepatic Cells
Immune Cells, Fibroblasts, Endothelial Cells
Respiratory Cells, Epithelial Cells, Immune Cells
Neurons, Glial Cells, Epithelial Cells
Neurons, Glial Cells, Epithelial Cells
Fibroblasts, Smooth Muscle Cells, Endothelial Cells
Epithelial Cells, Immune Cells, Glandular Cells
Immune Cells, Lymphocytes, Antigen Presenting Cells
Neurons, Glial Cells, Epithelial Cells
Hepatic Cells, Endocrine Cells, Epithelial Cells
Hepatic Cells, Endocrine Cells, Epithelial Cells
Platelets, Megakaryocytes, Erythrocytes
Neurons, Glial Cells, Epithelial Cells
Fibroblasts, Smooth Muscle Cells, Endothelial Cells
Endocrine Cells, Hepatic Cells, Adrenal Cells
Immune Cells, Antigen Presenting Cells, Monocytes
Lung Cells, Epithelial Cells, Endothelial Cells
Endothelial Cells, Fibroblasts, Smooth Muscle Cells
Skeletal Muscle Cells, Epithelial Cells, Neurons
Neurons, Astrocytes, Oligodendrocytes
Adrenal gland chromaffin cells, Sympathetic neurons, Enteric neurons
Kidney cells, Thyroid cells, Urothelial cells
Lymphatic endothelial cells, Blood endothelial cells, Fibroblasts
Neurons, Astrocytes, Oligodendrocytes
Astrocytes, Neurons, Oligodendrocytes
Mesothelial cells, Fibroblasts, Epithelial cells
Muscle cells, Cardiomyocytes, Skeletal muscle cells
Schwann cells, Oligodendrocytes, Neurons
Neurons, Astrocytes, Oligodendrocytes
T cells, B cells, NK cells
Neurons, Retinal cells, Astrocytes
Fibroblasts, Smooth muscle cells, Endothelial cells
Neurons, Astrocytes, Oligodendrocytes
Adrenal gland chromaffin cells, Sympathetic neurons, Enteric neurons
Neurons, Astrocytes, Oligodendrocytes
Erythrocytes, Megakaryocytes, Myeloid cells
Heart endothelial cells, Cardiomyocytes, Heart fibroblasts
Cardiac fibroblasts, Smooth muscle cells, Endothelial cells
Heart mast cells, Cardiomyocytes, Endothelial cells
Lymphatic endothelial cells, Blood endothelial cells, Fibroblasts
Macrophages, Dendritic cells, Monocytes
Adipocytes, Fibroblasts, Endothelial cells
T cells, NK cells, B cells
Neurons, Astrocytes, Oligodendrocytes
NK cells, T cells, Macrophages
Smooth muscle cells, Pericytes, Endothelial cells
Smooth muscle cells, Myofibroblasts, Fibroblasts
Thyroid cells, Endothelial cells, Fibroblasts
Cardiomyocytes, Cardiac fibroblasts, Smooth muscle cells
Endothelial cells, Pericytes, Smooth muscle cells
Macrophages, Dendritic cells, Monocytes
Adipocytes, Fibroblasts, Endothelial cells
Platelets, Endothelial cells, Smooth muscle cells
Endothelial cells, Fibroblasts, Smooth muscle cells
Adipocytes, Hepatocytes, Endothelial cells
B cells, Plasma cells, T cells
Cardiomyocytes, Cardiac muscle cells, Smooth muscle cells
Epithelial cells, Fibroblasts, Endothelial cells
Neurons, Kidney cells, Endothelial cells
Kidney cells, Neurons, Endothelial cells
Kidney cells, Epithelial cells, Endothelial cells
Endothelial cells, Fibroblasts, Smooth muscle cells
Kidney cells, Thyroid cells, Endothelial cells
Kidney cells, Epithelial cells, Endothelial cells
Neurons, Astrocytes, Oligodendrocytes
Kidney cells, Epithelial cells, Endothelial cells
Smooth muscle cells, Pericytes, Endothelial cells
Fibroblasts, Smooth muscle cells, Endothelial cells
Macrophages, Dendritic cells, Monocytes
Kidney cells, Epithelial cells, Endothelial cells
Kidney cells, Epithelial cells, Endothelial cells
Kidney cells, Neurons, Endothelial cells
Kidney cells, Endothelial cells, Epithelial cells
Lymphatic endothelial cells, Blood endothelial cells, Fibroblasts
Hepatocytes, Liver progenitor cells, Endothelial cells
Hepatic stellate cells, Fibroblasts, Endothelial cells
Plasma cells, B cells, T cells
NK cells, T cells, B cells
Macrophages, Dendritic cells, Monocytes
NK cells, T cells, Macrophages
Hepatocytes, Liver cells, Endothelial cells
Smooth muscle cells, Myofibroblasts, Fibroblasts
Neutrophils, Macrophages, Monocytes
Mast cells, Eosinophils, Neutrophils
Macrophages, Dendritic cells, Monocytes
Endothelial cells, Fibroblasts, Smooth muscle cells
B cells, T cells, NK cells
B cells, T cells, NK cells
Erythrocytes, Megakaryocytes, Myeloid cells
NK cells, T cells, Macrophages
Endothelial cells, Smooth muscle cells, Fibroblasts
Epithelial cells, Fibroblasts, Endothelial cells
Endothelial cells, Fibroblasts, Smooth muscle cells
T cells, NK cells, B cells
T cells, NK cells, B cells
B cells, Plasma cells, T cells
Endothelial cells, Fibroblasts, Smooth muscle cells
T cells, NK cells, B cells
Endothelial cells, Smooth muscle cells, Fibroblasts
Alveolar cells, Epithelial cells, Endothelial cells
NK cells, T cells, Macrophages
Macrophages, Dendritic cells, Monocytes
Epithelial cells, Endothelial cells, Fibroblasts
B cells, Plasma cells, T cells
Epithelial cells, Endothelial cells, Fibroblasts
Endothelial cells, Fibroblasts, Smooth muscle cells
Epithelial cells, Endothelial cells, Fibroblasts
Alveolar cells, Epithelial cells, Endothelial cells
Endothelial cells, Smooth muscle cells, Fibroblasts
Endothelial cells, Smooth muscle cells, Fibroblasts
B cells, T cells, NK cells
Epithelial cells, Endothelial cells, Fibroblasts
Smooth muscle cells, Endothelial cells, Fibroblasts
Mast cells, Eosinophils, Endothelial cells
Smooth muscle cells, Fibroblasts, Endothelial cells
Macrophages, Neutrophils, Monocytes
Fibroblasts, Smooth muscle cells, Endothelial cells
Endocrine cells, Neurons, Epithelial cells
Epithelial cells, Endothelial cells, Neurons
Endothelial cells, Alveolar cells, Fibroblasts
Macrophages, Dendritic cells, Monocytes
Mast cells, Basophils, Eosinophils
Alveolar cells, Type II pneumocytes, Macrophages
Plasma cells, B cells, Endoplasmic reticulum-associated cells
Cytotoxic T cells, NK cells, T lymphocytes
Endothelial cells, Fibroblasts, Lymphatic cells
Fibroblasts, Hepatic stellate cells, Smooth muscle cells
Dendritic cells, B cells, Monocytes
Ciliated epithelial cells, Respiratory epithelial cells, Fibroblasts
T cells, Thymocytes, Helper T cells
Neutrophils, Monocytes, Macrophages
Epithelial cells, Keratinocytes, Basal cells
B cells, Plasma cells, Follicular B cells
Epithelial cells, Fibroblasts, Endothelial cells
Cytotoxic T cells, NK cells, T lymphocytes
Alveolar cells, Type II pneumocytes, Mucous cells
Macrophages, Dendritic cells, Monocytes
NK cells, Dendritic cells, T cells
Fibroblasts, Osteoblasts, Smooth muscle cells
Goblet cells, Epithelial cells, Mucous cells
Tendon cells, Smooth muscle cells, Fibroblasts
Cytotoxic T cells, NK cells, T lymphocytes
Platelets, Megakaryocytes, Endothelial cells
Mesothelial cells, Fibroblasts, Epithelial cells
Mesothelial cells, Epithelial cells, Fibroblasts
Endothelial cells, Smooth muscle cells, Fibroblasts
Endothelial cells, Pericytes, Smooth muscle cells
Salivary gland cells, Epithelial cells, Immune cells
Smooth muscle cells, Myofibroblasts, Fibroblasts
Pericytes, Fibroblasts, Endothelial cells
Endothelial cells, Platelets, Smooth muscle cells
Secretory cells, Mucous cells, Epithelial cells
Endothelial cells, Fibroblasts, Pericytes
Mitotic cells, Proliferating cells, Cancer cells
Mitotic cells, Proliferating cells, Cancer cells
Endothelial cells, Smooth muscle cells, Fibroblasts
Astrocytes, Neurons, Oligodendrocytes
Endothelial cells, Smooth muscle cells, Pericytes
Neurons, Astrocytes, Oligodendrocytes
Neurons, Astrocytes, Oligodendrocytes
Neurons, Astrocytes, Oligodendrocytes
Neurons, Astrocytes, Oligodendrocytes
Fibroblasts, Endothelial cells, Smooth muscle cells
Neurons, Astrocytes, Oligodendrocytes
Oligodendrocytes, Astrocytes, Neurons
Neurons, Astrocytes, Oligodendrocytes
Neurons, Astrocytes, Oligodendrocytes
Neurons, Astrocytes, Oligodendrocytes
Oligodendrocytes, Neurons, Astrocytes
Microglia, Immune cells, Neurons
Neurons, Astrocytes, Oligodendrocytes
Neurons, Astrocytes, Oligodendrocytes
Neurons, Astrocytes, Oligodendrocytes
Neurons, Astrocytes, Oligodendrocytes
Neurons, Astrocytes, Oligodendrocytes
Neurons, Astrocytes, Oligodendrocytes
Proliferating cells, NK cells, T cells
B cells, Plasma cells, Monocytes
B cells, Plasma cells, T cells
Plasma cells, B cells, Monocytes
Cytotoxic T cells, Helper T cells, NK cells
Helper T cells, T cells, Lymphocytes
Proliferating cells, T cells, Mitotic cells
T cells, Cytotoxic T cells, Helper T cells
T regulatory cells, Helper T cells, T cells
Cytotoxic T cells, T cells, Helper T cells
Proliferating cells, Cytotoxic T cells, T cells
Cytotoxic T cells, T cells, Helper T cells
Cytotoxic T cells, NK cells, T cells
Dendritic cells, Monocytes, Macrophages
Dendritic cells, Monocytes, Macrophages
Dendritic cells, B cells, Monocytes
Plasma cells, B cells, Monocytes
Neutrophils, Monocytes, Macrophages
NK cells, T cells, Cytotoxic T cells
T cells, NK cells, Gamma-delta T cells
NK cells, T cells, Monocytes
Platelets, Megakaryocytes, Endothelial cells
Mast cells, NK cells, T cells
Monocytes, Macrophages, Dendritic cells
Hematopoietic stem cells, Progenitor cells, Endothelial cells
Red blood cells, Erythrocytes, Hematopoietic cells
NK cells, Cytotoxic T cells, T cells
Cytotoxic T cells, NK cells, T cells
Helper T cells, T cells, Lymphocytes
B cells, Plasma cells, Monocytes
Smooth muscle cells, Endothelial cells, Fibroblasts
Macrophages, Dendritic cells, Monocytes
Exocrine cells, Acinar cells, Ductal cells
Beta cells, Endocrine cells, Pancreatic cells
Alpha cells, Endocrine cells, Pancreatic cells
Delta cells, Endocrine cells, Pancreatic cells
Ductal cells, Epithelial cells, Fibroblasts
Hepatic cells, Biliary cells, Epithelial cells
Fibroblasts, Osteoblasts, Smooth muscle cells
Neurons, Neural crest cells, Schwann cells
Endothelial cells, Pericytes, Smooth muscle cells
Endocrine cells, Neurons, Pancreatic cells
Dendritic cells, Monocytes, Macrophages
B cells, T follicular helper cells, Macrophages
T follicular helper cells, T regulatory cells, T helper cells
Cytotoxic T cells, NK cells, T helper cells
Proliferating cells, Cancer cells, Endothelial cells
Epithelial cells, Dendritic cells, Neutrophils
Cancer cells, Proliferating cells, Monocytes
T regulatory cells, T follicular helper cells, T helper cells
T cells, Dendritic cells, Epithelial cells
Neutrophils, Monocytes, Macrophages
Neurons, Glial cells, Epithelial cells
B cells, T cells, Monocytes
Th17 cells, T helper cells, NK cells
Mast cells, Eosinophils, Neutrophils
B cells, Dendritic cells, T cells
Macrophages, Monocytes, Dendritic cells
B cells, Plasma cells, T cells
Epithelial cells, Fibroblasts, Endothelial cells
Cytotoxic T cells, T helper cells, Dendritic cells
B cells, Plasma cells, T cells
Neurons, Endothelial cells, Epithelial cells
B cells, T cells, NK cells
Epithelial cells, Dendritic cells, T cells
NK cells, T cells, Dendritic cells
