Smooth muscle cells, Myofibroblasts, Pericytes
T cells, Helper T cells, Thymocytes
Fibroblasts, Myofibroblasts, Mesenchymal stem cells
Neutrophils, Granulocytes, Myeloid progenitor cells
Monocytes, Macrophages, Dendritic cells
Mesothelial cells, Fibroblasts, Mesenchymal stem cells
Mast cells, Basophils, Eosinophils
Macrophages, Monocytes, Kupffer cells
Natural killer cells, Cytotoxic T cells, Lymphocytes
Endothelial cells, Vascular smooth muscle cells, Pericytes
Neurons, Neural progenitor cells, Neuroendocrine cells
Dendritic cells, B cells, Monocytes
B cells, Plasma cells, Memory B cells
Adipocytes, Preadipocytes, Lipid-laden macrophages
Lymphatic endothelial cells, Dendritic cells, Macrophages
Megakaryocytes, Platelets, Hematopoietic stem cells
Neurons, Neuroendocrine cells, Neural progenitor cells
Dendritic cells, Monocytes, Macrophages
Plasmacytoid dendritic cells, Myeloid dendritic cells, Monocytes
B cell precursors, Pre-B cells, Lymphoid progenitor cells
T cell precursors, Lymphoid progenitor cells, Thymocytes
Osteoblasts, Mesenchymal stem cells, Fibroblasts
Plasma cells, B cells, Memory B cells
Neutrophils, Eosinophils, Granulocytes
Plasma cells, B cells, Memory B cells
Megakaryocytes, Platelets, Endothelial cells
Plasmacytoid dendritic cells, Myeloid dendritic cells, Monocytes
Neural progenitor cells, Neurons, Neuroendocrine cells
Natural killer cells, Cytotoxic T cells, Lymphocytes
Neurons, Neural progenitor cells, Neuroendocrine cells
Cytotoxic T cells, Natural killer cells, Lymphocytes
Erythrocytes, Erythroid progenitor cells, Megakaryocytes
Hematopoietic stem cells, Lymphoid progenitor cells, Myeloid progenitor cells
Dendritic cells, Monocytes, Macrophages
Dendritic cells, Monocytes, Macrophages
T cells, Helper T cells, Thymocytes
Cytotoxic T cells, Helper T cells, T cells
Natural killer T cells, Cytotoxic T cells, Natural killer cells
Natural killer cells, Cytotoxic T cells, Lymphocytes
Cytotoxic T cells, Natural killer T cells, Helper T cells
T cells, Helper T cells, Thymocytes
Helper T cells, T cells, Thymocytes
Macrophages, Monocytes, Dendritic cells
T cells, Helper T cells, Thymocytes
Natural killer T cells, Cytotoxic T cells, Natural killer cells
B cells, Memory B cells, Plasma cells
B cells, Memory B cells, Plasma cells
Macrophages, Monocytes, Dendritic cells
Macrophages, Monocytes, Dendritic cells
Neural progenitor cells, Neurons, Neuroendocrine cells
Erythrocytes, Erythroid progenitor cells, Megakaryocytes
Natural killer T cells, Cytotoxic T cells, Natural killer cells
Mast cells, Basophils, Eosinophils
Plasmacytoid dendritic cells, Myeloid dendritic cells, Monocytes
Natural killer cells, Cytotoxic T cells, Natural killer T cells
Neuroendocrine cells, Pancreatic beta cells, Neurons
Neurons, Neural progenitor cells, Interneurons
Neurons, Neural progenitor cells, Synaptic cells
Pancreatic acinar cells, Exocrine pancreas cells, Pancreatic ductal cells
Kidney progenitor cells, Nephron progenitor cells, Mesonephric cells
Pancreatic acinar cells, Exocrine pancreas cells, Pancreatic ductal cells
Neurons, Neural progenitor cells, Synaptic cells
Neurons, Neural progenitor cells, Interneurons
Fibroblasts, Mesenchymal stem cells, Smooth muscle cells
Retinal pigment epithelial cells, Melanocytes, Photoreceptor cells
Mesenchymal stem cells, Fibroblasts, Neural crest cells
Fibroblasts, Mesenchymal stem cells, Smooth muscle cells
Hepatocytes, Cholangiocytes, Endothelial cells
Neurons, Neural progenitor cells, Synaptic cells
Cardiomyocytes, Cardiac progenitor cells, Smooth muscle cells
Myeloid progenitor cells, Hematopoietic stem cells, Endothelial cells
Gastric epithelial cells, Mucous cells, Enterocytes
T cells, Helper T cells, Thymocytes
Thymic epithelial cells, Thymocytes, T cells
Placental trophoblasts, Syncytiotrophoblasts, Cytotrophoblasts
Lens fiber cells, Lens epithelial cells, Corneal epithelial cells
Neurons, Neural progenitor cells, Synaptic cells
Epithelial cells, Goblet cells, Mucous cells
Enteroendocrine cells, Gastric epithelial cells, Neuroendocrine cells
Neurons, Neural progenitor cells, Synaptic cells
Hepatocytes, Cholangiocytes, Endothelial cells
Gastric epithelial cells, Enterocytes, Parietal cells
Mesothelial cells, Fibroblasts, Mesenchymal stem cells
Ciliated epithelial cells, Goblet cells, Mucous cells
Neurons, Neural progenitor cells, Synaptic cells
Neurons, Neural progenitor cells, Synaptic cells
Fibroblasts, Mesenchymal stem cells, Smooth muscle cells
Epithelial cells, Keratinocytes, Goblet cells
T cells, Helper T cells, Thymocytes
Schwann cells, Neural crest cells, Oligodendrocytes
Neurons, Neural progenitor cells, Synaptic cells
Hepatocytes, Cholangiocytes, Endothelial cells
Megakaryocytes, Platelets, Hematopoietic stem cells
Neurons, Neural progenitor cells, Synaptic cells
Fibroblasts, Mesenchymal stem cells, Smooth muscle cells
Adrenal cortex cells, Steroidogenic cells, Endocrine cells
Macrophages, Monocytes, Dendritic cells
Alveolar epithelial cells, Type II pneumocytes, Type I pneumocytes
Endothelial cells, Vascular smooth muscle cells, Pericytes
Muscle cells, Myoblasts, Myocytes
Neurons, Astrocytes, Oligodendrocytes
Chromaffin cells, Neurons, Adrenal medulla cells
Renal tubular cells, Parafollicular cells, Thyroid follicular cells
Lymphatic endothelial cells, Dendritic cells, Macrophages
