"T cells, Natural Killer (NK) cells, Cytotoxic T cells"
"Plasmacytoid dendritic cells, Precursor T cells, Neurons"
"B cells, Memory B cells, Plasma cells"
"Endothelial cells, Microvascular endothelial cells, Lymphatic endothelial cells"
"Lymphatic endothelial cells, Microvascular endothelial cells, Endothelial cells"
"Cytotoxic T cells, Natural Killer (NK) cells, T cells"
"Mast cells, Basophils, Eosinophils"
"Plasma cells, B cells, Memory B cells"
"Fibroblasts, Smooth muscle cells, Mesenchymal stromal cells"
"Smooth muscle cells, Myofibroblasts, Vascular smooth muscle cells"
"Endothelial cells, Microvascular endothelial cells, Lymphatic endothelial cells"
"Epithelial cells, Keratinocytes, Luminal epithelial cells"
"Fibroblasts, Mesenchymal stromal cells, Myofibroblasts"
"Macrophages, Monocytes, Dendritic cells"
"Vascular smooth muscle cells, Smooth muscle cells, Myofibroblasts"
"Unknown, Unknown, Unknown"
"Erythroid precursors, Megakaryocytes, Hematopoietic stem cells"
"Unknown, Unknown, Unknown"
"Erythroid precursors, Megakaryocytes, Hematopoietic stem cells"
"T cells, Cytotoxic T cells, Helper T cells"
"Unknown, Unknown, Unknown"
"Unknown, Unknown, Unknown"
"Mast cells, Basophils, Eosinophils"
"Monocytes, Macrophages, Dendritic cells"
"Helper T cells, T cells, Cytotoxic T cells"
"Unknown, Unknown, Unknown"
"Platelets, Megakaryocytes, Hematopoietic stem cells"
"Monocytes, Macrophages, Dendritic cells"
"Plasma cells, B cells, Memory B cells"
"Erythrocytes, Erythroid precursors, Hematopoietic stem cells"
"T cells, Cytotoxic T cells, Helper T cells"
"Monocytes, Macrophages, Dendritic cells"
"Neutrophils, Granulocytes, Myeloid cells"
"B cells, Plasma cells, Memory B cells"
"Natural Killer (NK) cells, Cytotoxic T cells, T cells"
"B cells, Plasma cells, Memory B cells"
"Natural Killer (NK) cells, Cytotoxic T cells, T cells"
"Unknown, Unknown, Unknown"
"T cells, Cytotoxic T cells, Helper T cells"
"Natural Killer (NK) cells, Cytotoxic T cells, T cells"
"T cells, Helper T cells, Cytotoxic T cells"
"Erythrocytes, Erythroid precursors, Hematopoietic stem cells"
"B cells, Plasma cells, Memory B cells"
"Unknown, Unknown, Unknown"
"Neutrophils, Granulocytes, Myeloid cells"
"Neutrophils, Granulocytes, Myeloid cells"
"Neutrophils, Granulocytes, Myeloid cells"
"T cells, Helper T cells, Cytotoxic T cells"
"Cytotoxic T cells, Natural Killer (NK) cells, T cells"
"Megakaryocytes, Platelets, Hematopoietic stem cells"
"B cells, Plasma cells, Memory B cells"
"Neutrophils, Granulocytes, Myeloid cells"
"Natural Killer (NK) cells, Cytotoxic T cells, T cells"
"Erythrocytes, Erythroid precursors, Hematopoietic stem cells"
"Erythroid precursors, Megakaryocytes, Hematopoietic stem cells"
"Plasma cells, B cells, Memory B cells"
"Monocytes, Macrophages, Dendritic cells"
"Macrophages, Monocytes, Dendritic cells"
"T cells, Natural Killer (NK) cells, Cytotoxic T cells"
"Plasma cells, B cells, Memory B cells"
"Macrophages, Monocytes, Dendritic cells"
"Erythrocytes, Erythroid precursors, Hematopoietic stem cells"
"Proliferating cells, Stem cells, Precursor cells"
"Unknown, Unknown, Unknown"
"Mast cells, Basophils, Eosinophils"
"Neurons, Neural progenitor cells, Unknown"
"Unknown, Unknown, Unknown"
"Adipocytes, Lipid-storing cells, Unknown"
"Muscle cells, Myocytes, Skeletal muscle cells"
"Neurons, Neural progenitor cells, Unknown"
"Smooth muscle cells, Vascular smooth muscle cells, Myofibroblasts"
"Melanocytes, Pigment cells, Unknown"
"Photoreceptor cells, Rod cells, Cone cells"
"Corneal epithelial cells, Keratinocytes, Epithelial cells"
"Secretory cells, Glandular epithelial cells, Unknown"
"Epithelial cells, Keratinocytes, Luminal epithelial cells"
"Monocytes, Macrophages, Dendritic cells"
"Macrophages, Monocytes, Dendritic cells"
"Corneal stromal cells, Fibroblasts, Myofibroblasts"
"T cells, Natural Killer (NK) cells, Cytotoxic T cells"
"Retinal pigment epithelial cells, Unknown, Unknown"
"Endothelial cells, Microvascular endothelial cells, Lymphatic endothelial cells"
"Secretory cells, Glandular epithelial cells, Unknown"
"Fibroblasts, Mesenchymal stromal cells, Myofibroblasts"
"B cells, Plasma cells, Memory B cells"
"Retinal pigment epithelial cells, Unknown, Unknown"
"Unknown, Unknown, Unknown"
"Plasma cells, B cells, Memory B cells"
"Unknown, Unknown, Unknown"
"Unknown, Unknown, Unknown"
"Smooth muscle cells, Myofibroblasts, Vascular smooth muscle cells"
"Fibroblasts, Mesenchymal stromal cells, Myofibroblasts"
"Unknown, Unknown, Unknown"
"Neutrophils, Granulocytes, Myeloid cells"
"Natural Killer (NK) cells, Cytotoxic T cells, T cells"
"Macrophages, Monocytes, Dendritic cells"
"T cells, Natural Killer (NK) cells, Cytotoxic T cells"
"Endothelial cells, Microvascular endothelial cells, Lymphatic endothelial cells"
"Fibroblasts, Mesenchymal stromal cells, Myofibroblasts"
"Vascular smooth muscle cells, Smooth muscle cells, Myofibroblasts"
"Endothelial cells, Vascular smooth muscle cells, Macrophages"
"Cardiomyocytes, Cardiac muscle cells, Myofibroblasts"
"Epithelial cells, Goblet cells, Pancreatic ductal cells"
"Pericytes, Smooth muscle cells, Fibroblasts"
"Fibroblasts, Myofibroblasts, Chondrocytes"
"Macrophages, Monocytes, Dendritic cells"
"T cells, Thymocytes, Natural killer cells"
"Natural killer cells, Cytotoxic T cells, CD8+ T cells"
"Monocytes, Macrophages, Neutrophils"
"T cells, Thymocytes, Natural killer cells"
"B cells, Plasma cells, Memory B cells"
"Proximal tubule cells, Distal convoluted tubule cells, Collecting duct cells"
"Endothelial cells, Fibroblasts, Mesangial cells"
"Endothelial cells, Vascular smooth muscle cells, Pericytes"
"Ribosomal RNA, Mitochondrial RNA, Non-coding RNA"
"Goblet cells, Enterocytes, Epithelial cells"
"Intestinal stem cells, Paneth cells, Enteroendocrine cells"
"Enterocytes, Goblet cells, Paneth cells"
"Tuft cells, Enteroendocrine cells, Brush cells"
"Macrophages, Monocytes, Neutrophils"
"Enteroendocrine cells, Pancreatic beta cells, Neuroendocrine cells"
"Non-coding RNA, MicroRNA, Long non-coding RNA"
"Mast cells, Basophils, Eosinophils"
"Cytotoxic T cells, Natural killer cells, CD8+ T cells"
"B cells, Plasma cells, Memory B cells"
"Enterocytes, Goblet cells, Epithelial cells"
