Smooth Muscle Cell, Vascular Smooth Muscle Cell, Pericyte
T Cell, Naive T Cell, Memory T Cell
Endothelial Cell, Pericyte, Fibroblast
Neuron, Astrocyte, Microglia
Macrophage, Dendritic Cell, Monocyte
Unknown, Unknown, Unknown
Mast Cell, Basophil, Eosinophil
Macrophage, Dendritic Cell, Monocyte
Natural Killer Cell, Cytotoxic T Cell, Memory T Cell
Endothelial Cell, Platelet, Megakaryocyte
Neuron, Neuroendocrine Cell, Glial Cell
Dendritic Cell, B Cell, T Cell
B Cell, Plasma Cell, Memory B Cell
Adipocyte, Pre-adipocyte, Brown Adipocyte
Unknown, Unknown, Unknown
Megakaryocyte, Platelet, Erythrocyte
T Cell, B Cell, Natural Killer Cell
Neutrophil, Eosinophil, Basophil
T Cell, B Cell, Natural Killer Cell
B Cell, Plasma Cell, Memory B Cell
Progenitor Cell, Hematopoietic Stem Cell, Lymphocyte
Fibroblast, Osteoblast, Chondrocyte
B Cell, T Cell, Natural Killer Cell
Neutrophil, Eosinophil, Basophil
B Cell, Plasma Cell, Memory B Cell
Platelet, Megakaryocyte, Erythrocyte
Dendritic Cell, Macrophage, Monocyte
Neuron, Glial Cell, Endothelial Cell
T Cell, Natural Killer Cell, Cytotoxic T Cell
Neuron, Endothelial Cell, Glial Cell
Cytotoxic T Cell, Natural Killer Cell, Memory T Cell
Platelet, Megakaryocyte, Erythrocyte
Neutrophil, Eosinophil, Basophil
Dendritic Cell, T Cell, B Cell
Dendritic Cell, T Cell, B Cell
T Cell, Memory T Cell, Cytotoxic T Cell
Cytotoxic T Cell, Memory T Cell, Naive T Cell
Cytotoxic T Cell, Memory T Cell, Naive T Cell
Cytotoxic T Cell, Memory T Cell, Naive T Cell
Cytotoxic T Cell, Memory T Cell, Naive T Cell
T Cell, Memory T Cell, Naive T Cell
T Cell, Memory T Cell, Naive T Cell
Macrophage, Dendritic Cell, Monocyte
T Cell, Memory T Cell, Naive T Cell
T Cell, Memory T Cell, Naive T Cell
B Cell, Plasma Cell, Memory B Cell
B Cell, Plasma Cell, Memory B Cell
Dendritic Cell, Macrophage, Monocyte
Macrophage, Dendritic Cell, Monocyte
Neuron, Glial Cell, Endothelial Cell
Unknown, Unknown, Unknown
Cytotoxic T Cell, Natural Killer Cell, Memory T Cell
Mast Cell, Basophil, Eosinophil
Dendritic Cell, Macrophage, Monocyte
T Cell, B Cell, Natural Killer Cell
Endocrine Cell, Pancreatic Cell, Neuroendocrine Cell
Neuron, Glial Cell, Endothelial Cell
Neuron, Glial Cell, Endothelial Cell
Exocrine Cell, Pancreatic Cell, Endocrine Cell
Unknown, Unknown, Unknown
Endocrine Cell, Pancreatic Cell, Exocrine Cell
Neuron, Glial Cell, Endothelial Cell
Neuron, Glial Cell, Endothelial Cell
Unknown, Unknown, Unknown
Pigment Cell, Melanocyte, Retinal Cell
Unknown, Unknown, Unknown
Fibroblast, Chondrocyte, Osteoblast
