T cell, Memory T cell, Cytotoxic T cell
T cell, Memory T cell, Naive T cell
B cell, Memory B cell, Plasma cell
Endothelial cell, Vascular endothelial cell, Blood vessel endothelial cell
Endothelial cell, Blood vessel endothelial cell, Lymphatic endothelial cell
Cytotoxic T cell, Natural killer cell, Memory T cell
Mast cell, Basophil, Eosinophil
B cell, Plasma cell, Memory B cell
Secretory cell, Goblet cell, Mucous cell
Smooth muscle cell, Vascular smooth muscle cell, Myofibroblast
Endothelial cell, Blood vessel endothelial cell, Lymphatic endothelial cell
Epithelial cell, Stem cell, Tumor cell
Fibroblast, Mesenchymal stem cell, Endothelial cell
Macrophage, M2 macrophage, Dendritic cell
Smooth muscle cell, Vascular smooth muscle cell, Myofibroblast
Erythroid progenitor, Hematopoietic stem cell, Erythrocyte
Endothelial cell, Vascular endothelial cell, Hematopoietic stem cell
Erythroid progenitor, Hematopoietic stem cell, Endothelial cell
Erythrocyte, Basophil, Eosinophil
T cell, Helper T cell, Cytotoxic T cell
Erythrocyte, Hematopoietic stem cell, Progenitor cell
B cell, T cell, Hematopoietic stem cell
Mast cell, Basophil, Eosinophil
Erythrocyte, Endothelial cell, Fibroblast
T cell, Helper T cell, Cytotoxic T cell
Epithelial cell, Endothelial cell, Fibroblast
Platelet, Megakaryocyte, Erythrocyte
Macrophage, M2 macrophage, Dendritic cell
B cell, Plasma cell, Memory B cell
Erythrocyte, Hematopoietic stem cell, Progenitor cell
T cell, Helper T cell, Cytotoxic T cell
Macrophage, M2 macrophage, Dendritic cell
Neutrophil, Myeloid cell, Immune cell
B cell, Memory B cell, Plasma cell
Cytotoxic T cell, Natural killer cell, Memory T cell
B cell, Memory B cell, Plasma cell
Cytotoxic T cell, Natural killer cell, Memory T cell
Neuronal progenitor, Endothelial cell, Hematopoietic stem cell
Cytotoxic T cell, Natural killer cell, Memory T cell
Cytotoxic T cell, Natural killer cell, Memory T cell
T cell, Helper T cell, Cytotoxic T cell
Erythrocyte, Hematopoietic stem cell, Progenitor cell
B cell, Plasma cell, Memory B cell
Immune cell, Stem cell, Progenitor cell
Fibroblast, Endothelial cell, Immune cell
Neutrophil, Eosinophil, Basophil
Neutrophil, Eosinophil, Basophil
T cell, Helper T cell, Cytotoxic T cell
Cytotoxic T cell, Natural killer cell, Memory T cell
Erythroid progenitor, Hematopoietic stem cell, Endothelial cell
B cell, Plasma cell, Memory B cell
Neutrophil, Myeloid cell, Immune cell
