T cells, NK cells, Gamma delta T cells
Plasmacytoid dendritic cells, Conventional dendritic cells, Monocytes
B cells, Plasma cells, Memory B cells
Endothelial cells, Pericytes, Fibroblasts
Lymphatic endothelial cells, Fibroblasts, Neural cells
CD8+ T cells, NK cells, Cytotoxic T lymphocytes
Mast cells, Basophils, Eosinophils
Plasma cells, B cells, Memory B cells
Fibroblasts, Adipocytes, Myofibroblasts
Smooth muscle cells, Myofibroblasts, Pericytes
Endothelial cells, Vascular endothelial cells, Lymphatic endothelial cells
Epithelial cells, Keratinocytes, Luminal cells
Fibroblasts, Pericytes, Adipocytes
Macrophages, Monocytes, Dendritic cells
Smooth muscle cells, Myofibroblasts, Pericytes
Renal epithelial cells, Epithelial cells, Podocytes
Erythroblasts, Megakaryocytes, Neutrophils
Neurons, Neuronal cells, Glial cells
Mast cells, Basophils, Eosinophils
T cells, NK cells, Gamma delta T cells
Adipocytes, Hepatocytes, Hepatic stellate cells
Ribosomal RNA cells, Non-coding RNA cells, Stem cells
Mast cells, Basophils, Eosinophils
B cells, Plasma cells, Memory B cells
T cells, NK cells, Gamma delta T cells
Epithelial cells, Fibroblasts, Endothelial cells
Platelets, Megakaryocytes, Platelet progenitors
Monocytes, Macrophages, Dendritic cells
Plasma cells, B cells, Memory B cells
Erythrocytes, Red blood cells, Erythroblasts
T cells, NK cells, Gamma delta T cells
Macrophages, Monocytes, Dendritic cells
Neutrophils, Granulocytes, Myeloid cells
B cells, Plasma cells, Memory B cells
NK cells, Cytotoxic T cells, Gamma delta T cells
B cells, Plasma cells, Memory B cells
NK cells, Cytotoxic T cells, Gamma delta T cells
Hematopoietic stem cells, Endothelial progenitor cells, Erythroid progenitors
T cells, NK cells, Cytotoxic T lymphocytes
NK cells, Cytotoxic T cells, Gamma delta T cells
Th17 cells, T helper cells, Regulatory T cells
Erythroblasts, Red blood cells, Megakaryocytes
B cells, Plasma cells, Memory B cells
Epithelial progenitor cells, Stem cells, Transitional cells
Neutrophils, Granulocytes, Macrophages
Neutrophils, Granulocytes, Myeloid cells
Neutrophils, Granulocytes, Myeloid cells
T cells, NK cells, Gamma delta T cells
T cells, NK cells, Cytotoxic T lymphocytes
Mast cells, Basophils, Eosinophils
B cells, Plasma cells, Memory B cells
Neutrophils, Granulocytes, Myeloid cells
NK cells, Cytotoxic T cells, Gamma delta T cells
Erythrocytes, Red blood cells, Erythroblasts
Mast cells, Basophils, Eosinophils
Plasma cells, B cells, Memory B cells
Macrophages, Monocytes, Dendritic cells
Macrophages, Monocytes, Dendritic cells
T cells, NK cells, Gamma delta T cells
Plasma cells, B cells, Memory B cells
Macrophages, Monocytes, Dendritic cells
Erythrocytes, Red blood cells, Erythroblasts
Epithelial cells, Proliferating cells, Stem cells
T helper cells, T regulatory cells, T effector cells
Mast cells, Basophils, Eosinophils
Neuronal progenitor cells, Neural stem cells, Neurons
Keratinocytes, Epithelial cells, Fibroblasts
Adipocytes, Brown fat cells, Lipocytes
Muscle cells, Myocytes, Skeletal muscle cells
Neurons, Neuronal cells, Glial cells
Smooth muscle cells, Myofibroblasts, Pericytes
Melanocytes, Schwann cells, Oligodendrocytes
Photoreceptor cells, Retinal cells, Bipolar cells
Corneal epithelial cells, Keratinocytes, Fibroblasts
Ionocytes, Secretory cells, Epithelial cells
Epithelial cells, Keratinocytes, Goblet cells
Myeloid cells, Neutrophils, Mast cells
Macrophages, Monocytes, Dendritic cells
Corneal fibroblasts, Keratocytes, Epithelial cells
T cells, NK cells, Gamma delta T cells
Neural crest cells, Glial cells, Neurons
Endothelial cells, Pericytes, Fibroblasts
Keratinocytes, Epithelial cells, Fibroblasts
Fibroblasts, Adipocytes, Myofibroblasts
B cells, Plasma cells, Memory B cells
Retinal ganglion cells, Photoreceptor cells, Bipolar cells
Neuronal progenitor cells, Neural stem cells, Neurons
Plasma cells, B cells, Memory B cells
Plasma cells, B cells, Memory B cells
Lens epithelial cells, Corneal cells, Fiber cells
Neuronal cells, Smooth muscle cells, Myocytes
Adipocytes, Fibroblasts, Endothelial cells
Ribosomal RNA cells, Non-coding RNA cells, Stem cells
Neutrophils, Granulocytes, Myeloid cells
NK cells, Cytotoxic T cells, Gamma delta T cells
Macrophages, Monocytes, Dendritic cells
T cells, NK cells, Gamma delta T cells
Endothelial cells, Vascular endothelial cells, Lymphatic endothelial cells
Fibroblasts, Adipocytes, Myofibroblasts
Smooth muscle cells, Myofibroblasts, Pericytes
Endothelial cells, Fibroblasts, Macrophages
Cardiomyocytes, Fibroblasts, Smooth Muscle Cells
Epithelial cells, Endothelial cells, Fibroblasts
Pericytes, Fibroblasts, Endothelial cells
Fibroblasts, Immune cells, Endothelial cells
Macrophages, NK cells, Dendritic Cells
T cells, NK cells, NKT cells
NK cells, Cytotoxic T cells, Gamma-delta T cells
Macrophages, Monocytes, Dendritic Cells
T cells, NK cells, Cytotoxic T cells
B cells, Plasma cells, Memory B cells
Proximal Tubule cells, Epithelial cells, Fibroblasts
Endothelial cells, Pericytes, Fibroblasts
Endothelial cells, Pericytes, Fibroblasts
Epithelial cells, Unknown, Non-specific cells
Enterocytes, Epithelial cells, Goblet cells
Intestinal Stem Cells, Epithelial cells, Paneth cells
Plasma cells, B cells, Epithelial cells
Tuft cells, Mast cells, NK cells
