"Adipocytes, Mammary fat cells, Lipid-storing cells"
"Endothelial cells, Fibroblasts, Smooth muscle cells"
"Fibroblasts, Mesenchymal stem cells, Stromal cells"
"Basal epithelial cells, Keratinocytes, Proliferating epithelial cells"
"Epithelial cells, Endothelial cells, Stem cells"
"Mammary epithelial cells, Epithelial progenitor cells, Myoepithelial cells"
"Endothelial cells, Vascular endothelial cells, Smooth muscle cells"
"Smooth muscle cells, Myofibroblasts, Vascular smooth muscle cells"
"Smooth muscle cells, Esophageal muscle cells, Myofibroblasts"
"Muscle cells, Smooth muscle cells, Esophageal muscle cells"
"Muscle cells, Smooth muscle cells, Basal epithelial cells"
"Basal epithelial cells, Keratinocytes, Esophageal epithelial cells"
"Endothelial cells, Neuronal cells, Epithelial cells"
"Enteric neurons, Neuronal cells, Nerve fibers"
"Neurons, Enteric neurons, Neural cells"
"Smooth muscle cells, Vascular smooth muscle cells, Myofibroblasts"
"Immune cells, Monocytes, Macrophages"
"T cells, Immune cells, Lymphocytes"
"T cells, Lymphocytes, Immune cells"
"B cells, Antigen-presenting cells, Macrophages"
"B cells, Lymphocytes, Immune cells"
"Squamous epithelial cells, Esophageal epithelial cells, Keratinocytes"
"Squamous epithelial cells, Keratinocytes, Esophageal epithelial cells"
"Epithelial cells, Mesenchymal cells, Progenitor cells"
"Mast cells, Basophils, Hematopoietic stem cells"
"Smooth muscle cells, Vascular smooth muscle cells, Myocytes"
"Cardiac fibroblasts, Fibroblasts, Extracellular matrix-producing cells"
"Endothelial cells, Vascular endothelial cells, Epithelial cells"
"Cardiac neurons, Neurons, Neural crest cells"
"Cardiac muscle cells, Cardiomyocytes, Heart muscle cells"
"Cardiac muscle cells, Cardiomyocytes, Heart muscle cells"
"T cells, Immune cells, Lymphocytes"
"T cells, Lymphocytes, Immune cells"
"Fibroblasts, Mesenchymal cells, Immune cells"
"B cells, Lymphocytes, Immune cells"
"Endothelial cells, Lymphatic endothelial cells, Immune cells"
"Adipocytes, Fat cells, Lipid-storing cells"
"Mast cells, Basophils, Immune cells"
"T cells, Immune cells, Lymphocytes"
"Epithelial cells, Smooth muscle cells, Endothelial cells"
"Neurons, Smooth muscle cells, Endothelial cells"
"Endothelial cells, Vascular endothelial cells, Epithelial cells"
"Mast cells, Basophils, Immune cells"
"Macrophages, Monocytes, Adipocytes"
"T cells, Macrophages, Immune cells"
"Smooth muscle cells, Vascular smooth muscle cells, Myofibroblasts"
"Alveolar type II cells, Pneumocytes type II, Pulmonary epithelial cells"
"Airway epithelial cells, Respiratory epithelial cells, Epithelial progenitor cells"
"Airway epithelial cells, Epithelial progenitor cells, Lung epithelial cells"
"Muscle cells, Myocytes, Neurons"
"Neurons, Neural cells, Glial cells"
"Epithelial cells, Neuronal cells, Airway epithelial cells"
"Neurons, Neural crest cells, Epithelial cells"
"Epithelial cells, Fibroblasts, Smooth muscle cells"
"Smooth muscle cells, Fibroblasts, Mesenchymal cells"
"Endothelial cells, Vascular endothelial cells, Blood vessel endothelial cells"
"Neurons, Neural cells, Nerve fibers"
"Smooth muscle cells, Vascular smooth muscle cells, Myofibroblasts"
"Neurons, Neural cells, Neuroendocrine cells"
"Smooth muscle cells, Vascular smooth muscle cells, Myofibroblasts"
"Mast cells, Basophils, Immune cells"
"T cells, Immune cells, Lymphocytes"
"T cells, Macrophages, Immune cells"
"B cells, Lymphocytes, Immune cells"
"Fibroblasts, Stromal cells, Mesenchymal stem cells"
"Prostate epithelial cells, Secretory epithelial cells, Luminal epithelial cells"
"Epithelial cells, Prostate basal cells, Progenitor cells"
"Epithelial cells, Prostate epithelial cells, Luminal epithelial cells"
"Endothelial cells, Vascular endothelial cells, Lymphatic endothelial cells"
"Skeletal muscle cells, Myocytes, Muscle fiber cells"
"Fibroblasts, Mesenchymal cells, Satellite cells"
"Muscle cells, Myocytes, Muscle progenitor cells"
"Smooth muscle cells, Myofibroblasts, Vascular smooth muscle cells"
"Neurons, Neural cells, Schwann cells"
"Muscle cells, Myocytes, Satellite cells"
"Skeletal muscle cells, Myocytes, Muscle fiber cells"
"T cells, Immune cells, Lymphocytes"
"T cells, Immune cells, Lymphocytes"
"Natural killer cells, T cells, Lymphocytes"
"Muscle cells, Myocytes, Fibroblasts"
"Endothelial cells, Lymphatic endothelial cells, Stromal cells"
"Adipocytes, Fat cells, Lipid-storing cells"
"Mast cells, Basophils, Immune cells"
"Neurons, Neural cells, Sensory neurons"
"Keratinocytes, Skin epithelial cells, Basal epithelial cells"
"Fibroblasts, Melanocytes, Dermal cells"
"Mast cells, Basophils, Immune cells"
"T cells, Immune cells, Lymphocytes"
"Macrophages, Monocytes, Dendritic cells"
"T cells, Immune cells, Lymphocytes"
"Keratinocytes, Skin epithelial cells, Epidermal cells"
"Keratinocytes, Basal epithelial cells, Skin epithelial cells"
"Sebaceous gland cells, Epithelial cells, Skin adenocytes"
"Basal epithelial cells, Keratinocytes, Skin epithelial cells"
"Endothelial cells, Vascular endothelial cells, Lymphatic endothelial cells"
"Adipocytes, Fat cells, Lipid-storing cells"
"Smooth muscle cells, Myofibroblasts, Vascular smooth muscle cells"
"Muscle cells, Myocytes, Mesenchymal stem cells"
"Keratinocytes, Skin epithelial cells, Basal epithelial cells"
