"Adipocytes, Lipid-synthesizing epithelial cells, Mammary adipose cells"
"Neurons, Schwann cells, Neuroendocrine cells"
"Fibroblasts, Mesenchymal stem cells, Myofibroblasts"
"Myoepithelial cells, Basal epithelial cells, Smooth muscle cells"
"Neural progenitor cells, Endothelial cells, Stem cells"
"Luminal epithelial cells, Glandular epithelial cells, Mammary progenitor cells"
"Melanocytes, Fibroblasts, Mesenchymal stem cells"
"Smooth muscle cells, Myoepithelial cells, Pericytes"
"Smooth muscle cells, Myofibroblasts, Vascular smooth muscle cells"
"Fibroblasts, Smooth muscle cells, Endothelial cells"
"Fibroblasts, Mesenchymal stem cells, Smooth muscle cells"
"Basal epithelial cells, Stem cells, Keratinocytes"
"Endothelial cells, Vascular endothelial cells, Hematopoietic progenitor cells"
"Neurons, Schwann cells, Neural crest cells"
"Neurons, Neuroendocrine cells, Glial cells"
"Smooth muscle cells, Vascular smooth muscle cells, Myofibroblasts"
"Macrophages, Monocytes, Dendritic cells"
"T cells, Lymphocytes, Hematopoietic cells"
"T cells, NK cells, Lymphocytes"
"Monocytes, Macrophages, Dendritic cells"
"B cells, Lymphocytes, Hematopoietic cells"
"Esophageal epithelial cells, Squamous epithelial cells, Keratinocytes"
"Squamous epithelial cells, Keratinocytes, Esophageal epithelial cells"
"Neurons, Schwann cells, Neural progenitor cells"
"Mast cells, Basophils, Eosinophils"
"Fibroblasts, Smooth muscle cells, Mesenchymal stem cells"
"Fibroblasts, Mesenchymal cells, Smooth muscle cells"
"Endothelial cells, Vascular endothelial cells, Hematopoietic cells"
"Neurons, Glial cells, Neural cells"
"Cardiomyocytes, Cardiac muscle cells, Heart muscle cells"
"Cardiomyocytes, Conducting system cells, Cardiac muscle cells"
"T cells, Hematopoietic cells, Immune cells"
"NK cells, Cytotoxic lymphocytes, T cells"
"Macrophages, Monocytes, Dendritic cells"
"B cells, Lymphocytes, Hematopoietic cells"
"Endothelial cells, Lymphatic endothelial cells, Vascular endothelial cells"
"Adipocytes, Lipid metabolism cells, Fat cells"
"Mast cells, Basophils, Eosinophils"
"T cells, Lymphocytes, Hematopoietic cells"
"Monocytes, Macrophages, Dendritic cells"
"Fibroblasts, Mesenchymal stem cells, Smooth muscle cells"
"Endothelial cells, Vascular endothelial cells, Hematopoietic cells"
"Mast cells, Basophils, Eosinophils"
"Monocytes, Macrophages, Dendritic cells"
"T cells, Lymphocytes, Hematopoietic cells"
"Smooth muscle cells, Vascular smooth muscle cells, Myofibroblasts"
"Alveolar type II cells, Pneumocytes type II, Pulmonary epithelial cells"
"Ciliated epithelial cells, Airway epithelial cells, Respiratory epithelial cells"
"Club cells, Pulmonary epithelial cells, Airway epithelial cells"
"B cells, Lymphocytes, Hematopoietic cells"
"Alveolar type II cells, Pneumocytes type II, Lung epithelial cells"
"Fibroblasts, Mesenchymal cells, Stromal cells"
"Neurons, Schwann cells, Neural progenitor cells"
"Monocytes, Macrophages, Dendritic cells"
"Fibroblasts, Mesenchymal cells, Stromal cells"
"Endothelial cells, Vascular endothelial cells, Lymphatic endothelial cells"
"Neurons, Neuroendocrine cells, Neural cells"
"Smooth muscle cells, Myofibroblasts, Stromal cells"
"Neurons, Neuroendocrine cells, Schwann cells"
"Smooth muscle cells, Myofibroblasts, Stromal cells"
"Mast cells, Basophils, Eosinophils"
"T cells, Lymphocytes, Hematopoietic cells"
"Monocytes, Macrophages, Dendritic cells"
"B cells, Lymphocytes, Hematopoietic cells"
"Fibroblasts, Mesenchymal stem cells, Stromal cells"
"Prostate epithelial cells, Glandular epithelial cells, Secretory epithelial cells"
"Basal epithelial cells, Progenitor epithelial cells, Stem cells"
"Luminal epithelial cells, Glandular epithelial cells, Secretory epithelial cells"
"Endothelial cells, Vascular endothelial cells, Lymphatic endothelial cells"
"Skeletal muscle cells, Myocytes, Muscle fibers"
"Endothelial cells, Vascular endothelial cells, Stromal cells"
"Fibroblasts, Mesenchymal cells, Satellite cells"
"Smooth muscle cells, Myofibroblasts, Vascular smooth muscle cells"
"Neurons, Neural cells, Schwann cells"
"Fibroblasts, Mesenchymal stem cells, Stromal cells"
"Skeletal muscle cells, Muscle fibers, Myocytes"
"Macrophages, Monocytes, Dendritic cells"
"T cells, Lymphocytes, Hematopoietic cells"
"NK cells, Cytotoxic lymphocytes, T cells"
"Fibroblasts, Mesenchymal stem cells, Stromal cells"
"Endothelial cells, Lymphatic endothelial cells, Vascular endothelial cells"
"Adipocytes, Lipid metabolism cells, Fat cells"
"Mast cells, Basophils, Eosinophils"
"Endothelial cells, Vascular endothelial cells, Stromal cells"
"Keratinocytes, Basal epithelial cells, Epithelial cells"
"Melanocytes, Pigment cells, Melanocyte progenitor cells"
"Mast cells, Basophils, Eosinophils"
"T cells, Lymphocytes, Hematopoietic cells"
"Monocytes, Macrophages, Dendritic cells"
"Monocytes, Macrophages, Dendritic cells"
"Keratinocytes, Squamous epithelial cells, Differentiated epithelial cells"
"Keratinocytes, Basal epithelial cells, Stem cells"
"Epithelial cells, Keratinocytes, Skin epithelial cells"
"Basal keratinocytes, Epithelial stem cells, Basal cells"
"Neurons, Neural progenitor cells, Schwann cells"
"Adipocytes, Fat cells, Lipid metabolism cells"
"Smooth muscle cells, Myofibroblasts, Pericytes"
"Fibroblasts, Mesenchymal stem cells, Stromal cells"
"Keratinocytes, Skin epithelial cells, Epidermal cells"
