"Adipocytes, Fibroblasts, Epithelial cells"
"Endothelial cells, Fibroblasts, Epithelial cells"
"Fibroblasts, Endothelial cells, Epithelial cells"
"Smooth muscle cells, Myoepithelial cells, Fibroblasts"
"Endothelial cells, Fibroblasts, Epithelial cells"
"Epithelial cells, Luminal epithelial cells, Basal epithelial cells"
"Macrophages, Endothelial cells, Fibroblasts"
"Smooth muscle cells, Pericytes, Endothelial cells"
"Smooth muscle cells, Pericytes, Vascular smooth muscle cells"
"Epithelial cells, Smooth muscle cells, Fibroblasts"
"Fibroblasts, Smooth muscle cells, Myofibroblasts"
"Basal epithelial cells, Squamous epithelial cells, Keratinocytes"
"Endothelial cells, Smooth muscle cells, Pericytes"
"Neurons, Glial cells, Neural crest-derived cells"
"Neurons, Glial cells, Neural cells"
"Smooth muscle cells, Vascular smooth muscle cells, Pericytes"
"Macrophages, Monocytes, Dendritic cells"
"T cells, Lymphocytes, Leukocytes"
"T cells, Lymphocytes, Leukocytes"
"Macrophages, Dendritic cells, Monocytes"
"B cells, Lymphocytes, Leukocytes"
"Squamous epithelial cells, Keratinocytes, Epithelial cells"
"Squamous epithelial cells, Keratinocytes, Epithelial cells"
"Endothelial cells, Macrophages, Smooth muscle cells"
"Mast cells, Basophils, Immune cells"
"Smooth muscle cells, Endothelial cells, Fibroblasts"
"Fibroblasts, Cardiomyocytes, Smooth muscle cells"
"Endothelial cells, Fibroblasts, Pericytes"
"Neurons, Glial cells, Neural cells"
"Cardiomyocytes, Heart muscle cells, Striated muscle cells"
"Cardiomyocytes, Heart muscle cells, Striated muscle cells"
"T cells, Leukocytes, Lymphocytes"
"Natural killer cells, Cytotoxic T cells, Lymphocytes"
"Macrophages, Dendritic cells, Monocytes"
"B cells, Lymphocytes, Plasma cells"
"Endothelial cells, Lymphatic endothelial cells, Lymphocytes"
"Adipocytes, Fat cells, Lipid cells"
"Mast cells, Basophils, Immune cells"
"T cells, Lymphocytes, Leukocytes"
"Macrophages, Dendritic cells, Monocytes"
"Neurons, Smooth muscle cells, Neural cells"
"Endothelial cells, Vascular endothelial cells, Lymphatic endothelial cells"
"Mast cells, Basophils, Immune cells"
"Macrophages, Monocytes, Dendritic cells"
"Natural killer cells, T cells, Cytotoxic lymphocytes"
"Smooth muscle cells, Vascular smooth muscle cells, Myocytes"
"Alveolar type II epithelial cells, Lung epithelial cells, Type II pneumocytes"
"Ciliated epithelial cells, Airway epithelial cells, Respiratory epithelial cells"
"Basal epithelial cells, Epithelial progenitor cells, Respiratory epithelial cells"
"B cells, Lymphocytes, Leukocytes"
"Alveolar type II epithelial cells, Lung epithelial cells, Type II pneumocytes"
"Epithelial cells, Basal epithelial cells, Type I pneumocytes"
"Endothelial cells, Macrophages, Smooth muscle cells"
"Macrophages, Epithelial cells, Fibroblasts"
"Epithelial cells, Basal epithelial cells, Luminal epithelial cells"
"Endothelial cells, Vascular endothelial cells, Lymphatic endothelial cells"
"Neurons, Glial cells, Neural cells"
"Smooth muscle cells, Vascular smooth muscle cells, Myofibroblasts"
"Neurons, Neural cells, Neuronal progenitors"
"Smooth muscle cells, Myocytes, Vascular smooth muscle cells"
"Mast cells, Basophils, Immune cells"
"T cells, Lymphocytes, Leukocytes"
"Natural killer cells, T cells, Lymphocytes"
"B cells, Lymphocytes, Plasma cells"
"Fibroblasts, Myofibroblasts, Smooth muscle cells"
"Prostate epithelial cells, Luminal epithelial cells, Secretory epithelial cells"
"Epithelial cells, Basal epithelial cells, Luminal epithelial cells"
"Epithelial cells, Luminal epithelial cells, Basal epithelial cells"
"Endothelial cells, Neurons, Neural cells"
"Skeletal muscle fibers, Myocytes, Muscle cells"
"Endothelial cells, Fibroblasts, Pericytes"
"Muscle cells, Neurons, Smooth muscle cells"
"Smooth muscle cells, Vascular smooth muscle cells, Myocytes"
"Neurons, Neural cells, Glial cells"
"Skeletal muscle cells, Myocytes, Muscle satellite cells"
"Skeletal muscle cells, Myocytes, Atrophying muscle cells"
"Skeletal muscle cells, Neurons, Fibroblasts"
"T cells, Lymphocytes, Leukocytes"
"Natural killer cells, Cytotoxic T cells, Lymphocytes"
"Fibroblasts, Muscle cells, Extracellular matrix-producing cells"
"Endothelial cells, Fibroblasts, Smooth muscle cells"
"Adipocytes, Fat cells, Lipid cells"
"Mast cells, Basophils, Immune cells"
"Endothelial cells, Vascular endothelial cells, Lymphatic endothelial cells"
"Epithelial cells, Keratinocytes, Basal cells"
"Melanocytes, Pigment cells, Neural crest-derived cells"
"Mast cells, Basophils, Immune cells"
"T cells, Lymphocytes, Leukocytes"
"Dendritic cells, Macrophages, Monocytes"
"Dendritic cells, Macrophages, Monocytes"
"Keratinocytes, Squamous epithelial cells, Skin epithelial cells"
"Keratinocytes, Squamous epithelial cells, Skin epithelial cells"
"Keratinocytes, Epithelial cells, Skin barrier cells"
"Basal keratinocytes, Skin epithelial cells, Basement membrane cells"
"Endothelial cells, Vascular endothelial cells, Lymphatic endothelial cells"
"Adipocytes, Fat cells, Lipid cells"
"Smooth muscle cells, Myoepithelial cells, Pericytes"
"Neurons, Schwann cells, Hair follicle cells"
"Hair follicle cells, Keratinocytes, Epithelial cells"
