
Adipocytes, Preadipocytes, Fibroblasts
Endothelial cells, Vascular endothelial cells, Lymphatic endothelial cells
Fibroblasts, Mesenchymal cells, Stromal cells
Smooth muscle cells, Myoepithelial cells, Pericytes
Endothelial cells, Vascular endothelial cells, Lymphatic endothelial cells
Epithelial cells, Ductal epithelial cells, Luminal epithelial cells
Endothelial cells, Macrophages, Mesenchymal stem cells
Smooth muscle cells, Vascular smooth muscle cells, Pericytes
Smooth muscle cells, Vascular smooth muscle cells, Pericytes
Epithelial cells, Squamous epithelial cells, Basal cells
Fibroblasts, Mesenchymal cells, Stromal cells
Basal epithelial cells, Squamous epithelial cells, Keratinocytes
Endothelial cells, Vascular endothelial cells, Lymphatic endothelial cells
Neurons, Neuroendocrine cells, Schwann cells
Neurons, Neuroendocrine cells, Schwann cells
Smooth muscle cells, Vascular smooth muscle cells, Pericytes
Monocytes, Macrophages, Dendritic cells
T cells, Lymphocytes, Thymocytes
T cells, Lymphocytes, Thymocytes
Monocytes, Macrophages, Dendritic cells
B cells, Lymphocytes, Plasma cells
Squamous epithelial cells, Keratinocytes, Basal cells
Squamous epithelial cells, Keratinocytes, Basal cells
Endothelial cells, Vascular endothelial cells, Lymphatic endothelial cells
Mast cells, Basophils, Eosinophils
Fibroblasts, Mesenchymal cells, Stromal cells
Fibroblasts, Mesenchymal cells, Stromal cells
Endothelial cells, Vascular endothelial cells, Lymphatic endothelial cells
Neurons, Neuroendocrine cells, Schwann cells
Cardiomyocytes, Cardiac muscle cells, Myocytes
Cardiomyocytes, Cardiac muscle cells, Myocytes
T cells, Lymphocytes, Thymocytes
Natural killer cells, Cytotoxic T cells, Lymphocytes
Macrophages, Monocytes, Dendritic cells
B cells, Lymphocytes, Plasma cells
Endothelial cells, Vascular endothelial cells, Lymphatic endothelial cells
Adipocytes, Preadipocytes, Fibroblasts
Mast cells, Basophils, Eosinophils
T cells, Lymphocytes, Thymocytes
Monocytes, Macrophages, Dendritic cells
Fibroblasts, Mesenchymal cells, Stromal cells
Endothelial cells, Vascular endothelial cells, Lymphatic endothelial cells
Mast cells, Basophils, Eosinophils
Macrophages, Monocytes, Dendritic cells
T cells, Lymphocytes, Thymocytes
Smooth muscle cells, Vascular smooth muscle cells, Pericytes
Alveolar type II cells, Club cells, Pneumocytes
Ciliated epithelial cells, Airway epithelial cells, Multiciliated cells
Basal epithelial cells, Airway epithelial cells, Club cells
B cells, Lymphocytes, Plasma cells
Alveolar type II cells, Club cells, Pneumocytes
Epithelial cells, Airway epithelial cells, Basal cells
Endothelial cells, Vascular endothelial cells, Lymphatic endothelial cells
Monocytes, Macrophages, Dendritic cells
Fibroblasts, Mesenchymal cells, Stromal cells
Endothelial cells, Vascular endothelial cells, Lymphatic endothelial cells
Neurons, Neuroendocrine cells, Schwann cells
Fibroblasts, Mesenchymal cells, Stromal cells
Neurons, Neuroendocrine cells, Schwann cells
Smooth muscle cells, Vascular smooth muscle cells, Pericytes
Mast cells, Basophils, Eosinophils
T cells, Lymphocytes, Thymocytes
Natural killer cells, Cytotoxic T cells, Lymphocytes
B cells, Lymphocytes, Plasma cells
Fibroblasts, Mesenchymal cells, Stromal cells
Prostate epithelial cells, Luminal epithelial cells, Basal epithelial cells
Epithelial cells, Basal epithelial cells, Luminal epithelial cells
Epithelial cells, Basal epithelial cells, Luminal epithelial cells
Endothelial cells, Vascular endothelial cells, Lymphatic endothelial cells
Skeletal muscle cells, Myocytes, Muscle fibers
Endothelial cells, Vascular endothelial cells, Lymphatic endothelial cells
Satellite cells, Muscle stem cells, Myoblasts
Smooth muscle cells, Vascular smooth muscle cells, Pericytes
Schwann cells, Fibroblasts, Mesenchymal cells
Fibroblasts, Mesenchymal cells, Stromal cells
Muscle cells, Myocytes, Cardiomyocytes
Monocytes, Macrophages, Dendritic cells
T cells, Lymphocytes, Thymocytes
Natural killer cells, Cytotoxic T cells, Lymphocytes
Fibroblasts, Mesenchymal cells, Stromal cells
Endothelial cells, Vascular endothelial cells, Lymphatic endothelial cells
Adipocytes, Preadipocytes, Fibroblasts
Mast cells, Basophils, Eosinophils
Endothelial cells, Vascular endothelial cells, Lymphatic endothelial cells
Epithelial cells, Keratinocytes, Basal cells
Melanocytes, Pigmented cells, Melanocytic cells
Mast cells, Basophils, Eosinophils
T cells, Lymphocytes, Thymocytes
Monocytes, Macrophages, Dendritic cells
Monocytes, Macrophages, Dendritic cells
Keratinocytes, Squamous epithelial cells, Basal cells
Keratinocytes, Squamous epithelial cells, Basal cells
Epithelial cells, Keratinocytes, Basal cells
Basal cells, Keratinocytes, Epithelial cells
Endothelial cells, Vascular endothelial cells, Lymphatic endothelial cells
Adipocytes, Preadipocytes, Fibroblasts
Smooth muscle cells, Vascular smooth muscle cells, Pericytes
Fibroblasts, Mesenchymal cells, Stromal cells
Keratinocytes, Epidermal cells, Basal cells
