"Adipocytes, Mammary epithelial cells, Myoepithelial cells, Lipid-storing cells"
"Endothelial cells, Neurons, Smooth muscle cells, Fibroblasts"
"Fibroblasts, Neurons, Smooth muscle cells, Epithelial cells"
"Smooth muscle cells, Myoepithelial cells, Keratinocytes, Fibroblasts"
"Endothelial cells, Hematopoietic cells, Vascular smooth muscle cells, Fibroblasts"
"Mammary epithelial cells, Luminal epithelial cells, Keratinocytes, Myoepithelial cells"
"Endothelial cells, Macrophages, Fibroblasts, Epithelial cells"
"Smooth muscle cells, Vascular smooth muscle cells, Myoepithelial cells, Fibroblasts"
"Smooth muscle cells, Skeletal muscle cells, Myocytes, Fibroblasts"
"Epithelial cells, Muscle cells, Fibroblasts, Neurons"
"Fibroblasts, Smooth muscle cells, Myocytes, Endothelial cells"
"Basal epithelial cells, Keratinocytes, Squamous epithelial cells, Stem cells"
"Endothelial cells, Vascular cells, Hematopoietic progenitor cells, Smooth muscle cells"
"Neurons, Neural cells, Schwann cells, Glial cells"
"Neurons, Neural cells, Glial cells, Interneurons"
"Smooth muscle cells, Vascular smooth muscle cells, Myocytes, Fibroblasts"
"Macrophages, Monocytes, Immune cells, Dendritic cells"
"T cells, Lymphocytes, Immune cells, Leukocytes"
"T cells, Cytotoxic T cells, Lymphocytes, CD8+ T cells"
"B cells, Antigen-presenting cells, Dendritic cells, Monocytes"
"B cells, Plasma cells, Lymphocytes, Memory B cells"
"Squamous epithelial cells, Esophageal epithelial cells, Keratinocytes, Mucosal epithelial cells"
"Squamous epithelial cells, Keratinocytes, Stratified squamous epithelial cells, Esophageal epithelial cells"
"Endothelial cells, Vascular endothelial cells, Capillary endothelial cells, Platelets"
"Mast cells, Basophils, Hematopoietic progenitor cells, Immune cells"
"Smooth muscle cells, Vascular smooth muscle cells, Pericytes, Fibroblasts"
"Cardiac fibroblasts, Fibroblasts, Extracellular matrix cells, Smooth muscle cells"
"Endothelial cells, Vascular endothelial cells, Capillary endothelial cells, Venous endothelial cells"
"Neurons, Cardiac nerve fibers, Purkinje fibers, Neural cells"
"Cardiomyocytes, Heart muscle cells, Cardiac muscle cells, Ventricular myocytes"
"Cardiomyocytes, Cardiac muscle cells, Ventricular myocytes, Atrial myocytes"
"T cells, Lymphocytes, Immune cells, Leukocytes"
"Natural Killer cells, Cytotoxic T cells, CD8+ T cells, Lymphocytes"
"Monocytes, Macrophages, Dendritic cells, Myeloid cells"
"B cells, Plasma cells, Memory B cells, Lymphocytes"
"Endothelial cells, Lymphatic endothelial cells, Vascular cells, High endothelial venules"
"Adipocytes, Fat cells, Lipid-storing cells, Brown adipocytes"
"Mast cells, Basophils, Hematopoietic progenitor cells, Immune cells"
"T cells, Lymphocytes, CD4+ T cells, Immune cells"
"Monocytes, Macrophages, Dendritic cells, Myeloid cells"
"Fibroblasts, Smooth muscle cells, Mesenchymal cells, Endothelial cells"
"Endothelial cells, Vascular endothelial cells, Capillary endothelial cells, Venous endothelial cells"
"Mast cells, Basophils, Hematopoietic progenitor cells, Immune cells"
"Macrophages, Monocytes, Dendritic cells, Myeloid cells"
"T cells, Cytotoxic T cells, Natural Killer cells, Lymphocytes"
"Smooth muscle cells, Vascular smooth muscle cells, Myocytes, Fibroblasts"
"Alveolar type II cells, Club cells, Goblet cells, Epithelial cells"
"Ciliated epithelial cells, Airway epithelial cells, Respiratory epithelial cells, Mucociliary cells"
"Basal epithelial cells, Club cells, Airway epithelial cells, Progenitor epithelial cells"
"B cells, Plasma cells, Memory B cells, Lymphocytes"
"Alveolar type II cells, Surfactant-producing cells, Pneumocytes type II, Epithelial cells"
"Epithelial cells, Club cells, Airway epithelial cells, Basal epithelial cells"
"Endothelial cells, Vascular endothelial cells, Capillary endothelial cells, Lymphatic endothelial cells"
"Monocytes, Macrophages, Dendritic cells, Myeloid cells"
"Fibroblasts, Stromal cells, Smooth muscle cells, Myofibroblasts"
"Endothelial cells, Vascular endothelial cells, Capillary endothelial cells, Venous endothelial cells"
"Neurons, Nerve fibers, Neural cells, Glial cells"
