"Neural progenitor cells, Neurons"
"Macrophages, Microglia"
"Plasma cells, B cells"
"Fibroblasts, Smooth muscle cells"
"Adrenal cortical cells, Leydig cells"
"T cells, T lymphocytes"
"Fibroblasts, Mesenchymal stem cells"
"Endothelial cells, Stromal cells"
"Intestinal epithelial cells, Epithelial cells"
"Fibroblasts, Mesenchymal stem cells"
"Neurons, Neural progenitor cells"
"Erythroblasts, Reticulocytes"
"Monocytes, Macrophages"
"Hepatocytes, Intestinal epithelial cells"
"Hepatocytes, Intestinal epithelial cells"
"Activated T cells, Activated macrophages"
"Endothelial cells, Vascular smooth muscle cells"
"Dendritic cells, B cells"
"Epithelial cells, Kidney tubular epithelial cells"
"Erythroblasts, Reticulocytes"
"Fibroblasts, Osteoblasts"
"Oligodendrocytes, Schwann cells"
"Type II pneumocytes, Alveolar epithelial cells"
"Thyroid follicular cells, Thyrocytes"
"Lens epithelial cells, Cardiomyocytes"
"B cells, Memory B cells"
"Adipocytes, Fibroblasts"
"Intestinal epithelial cells, Hepatocytes"
"Proliferating cells, Erythroblasts"
"Monocytes, Macrophages"
"Chondrocytes, Cartilage cells"
"Pancreatic acinar cells, Exocrine pancreatic cells"
"Neutrophils, Granulocytes"
"Macrophages, Microglia"
"Gastric chief cells, Stomach epithelial cells"
"Dendritic cells, Gamma-delta T cells"
"Gastric mucous cells, Mucous neck cells"
"Kidney tubular epithelial cells, Intercalated cells"
"Epithelial cells, Glandular epithelial cells"
"Epithelial cells, Pancreatic acinar cells"
"T cells, Natural Killer cells"
"Proliferating cells, Erythroblasts"
"Proliferating cells, Cancer cells"
"Endothelial cells, Fibroblasts"
"Keratinocytes, Squamous epithelial cells"
"Astrocytes, Neurons"
"Pancreatic acinar cells, Stellate cells"
"Cardiomyocytes, Cardiac muscle cells"
"Goblet cells, Pancreatic acinar cells"
"Kidney tubular epithelial cells, Loop of Henle epithelial cells"
"Hepatocytes, Proximal tubule epithelial cells"
"Prostate epithelial cells, Prostatic luminal epithelial cells"
"Mast cells, Basophils"
"Spermatogonia, Testicular germ cells"
"Neuroendocrine cells, Enteroendocrine cells"
"Sertoli cells, Testicular cells"
"Cytotoxic T cells, Natural Killer cells"
"Oligodendrocytes, Astrocytes"
"Chondrocytes, Fibroblasts"
"Osteoclasts, Bone-resorbing cells"
"Adipocytes, Brown adipocytes"
