"Neural progenitor cells, Neurons, Neuroblastoma cells"
"Microglia, Macrophages, Monocytes"
"Plasma cells, B cells, Marginal zone B cells"
"Fibroblasts, Smooth muscle cells, Mesenchymal stem cells"
"Adipocytes, Steroid-producing cells, Leydig cells"
"T cells, Cytotoxic T lymphocytes, Helper T cells"
"Fibroblasts, Mesenchymal stem cells, Smooth muscle cells"
"Epithelial cells, Cancer cells, Fibroblasts"
"Goblet cells, Enterocytes, Colon epithelial cells"
"Fibroblasts, Mesenchymal stem cells, Adipocytes"
"Neurons, Neuroblasts, Neural stem cells"
"Ribosomal-rich cells, Protein-synthesizing cells, Hepatocytes"
"Monocytes, Macrophages, Dendritic cells"
"Goblet cells, Mucin-producing cells, Epithelial cells"
"Hepatocytes, Liver cells, Intestinal epithelial cells"
"Activated T cells, Proliferating cells, Lymphocytes"
"Endothelial cells, Platelets, Plasma cells"
"Antigen-presenting cells, Dendritic cells, B cells"
"Airway epithelial cells, Clara cells, Club cells"
"Erythrocytes, Red blood cells, Erythroid precursors"
"Fibroblasts, Smooth muscle cells, Mesenchymal stem cells"
"Oligodendrocytes, Schwann cells, Myelinating glia"
"Alveolar type II cells, Pneumocytes, Lung epithelial cells"
"Thyroid follicular cells, Chief cells (stomach), Parathyroid cells"
"Lens epithelial cells, Crystallin-rich cells, Muscle cells"
"B cells, Antigen-presenting cells, Dendritic cells"
"Adipocytes, Epithelial cells, Hepatocytes"
"Enterocytes, Intestinal epithelial cells, Absorptive cells"
"Proliferating cells, Ribosomal-rich cells, Cancer cells"
"Proliferating keratinocytes, Ribosomal-rich cells, Basal epithelial cells"
"Chondrocytes, Cartilage cells, Mesenchymal stem cells"
"Acinar cells (pancreas), Exocrine pancreatic cells, Digestive enzyme-secreting cells"
"Neutrophils, Eosinophils, Granulocytes"
"Macrophages, Microglia, Monocytes"
"Gastric chief cells, Stomach epithelial cells, Pepsinogen-secreting cells"
"Dendritic cells, Langerhans cells, Antigen-presenting cells"
"Goblet cells, Mucin-producing cells, Epithelial cells"
"Intercalated cells (kidney), Acid-secreting cells, Renal epithelial cells"
"Secretory epithelial cells, Serous cells, Glandular cells"
"Keratinocytes, Squamous epithelial cells, Skin cells"
"NK cells, T cells, Cytotoxic lymphocytes"
"Proliferating cells, Ribosomal-rich cells, Cancer cells"
"Proliferating cells, Stem cells, Cancer cells"
"Fibroblasts, Endothelial cells, Mesenchymal stem cells"
"Basal epithelial cells, Keratinocytes, Skin stem cells"
"Neurons, Neural progenitor cells, Neuroglial cells"
"Acinar cells (pancreas), Islet cells, Exocrine pancreatic cells"
"Cardiomyocytes, Heart muscle cells, Cardiac myocytes"
"Goblet cells, Secretory epithelial cells, Mucosal cells"
"Urothelial cells, Bladder epithelial cells, Transitional epithelial cells"
"Hepatocytes, Yolk sac cells, Fetal liver cells"
"Prostate epithelial cells, Secretory cells, Prostate cancer cells"
"Mast cells, Basophils, Allergy-related cells"
"Spermatogonia, Germ cells, Testicular cells"
"Chromaffin cells, Neuroendocrine cells, Adrenal medulla cells"
"Sertoli cells, Testicular supporting cells, Gonadal cells"
"Cytotoxic T cells, NK cells, Lymphocytes"
"Oligodendrocytes, Schwann cells, Myelinating glia"
"Fibroblasts, Chondrocytes, Mesenchymal stem cells"
"Osteoclasts, Bone resorbing cells, Monocyte-derived cells"
"Adipocytes, Fat cells, Lipid-storing cells"
