"Neural progenitor cells, neural stem cells, progenitor cells"
"Macrophages, monocytes, dendritic cells"
"Plasma cells, B cells, marginal zone B cells"
"Fibroblasts, smooth muscle cells, endothelial cells"
"Adrenal cortex cells, Leydig cells, theca cells"
"T cells, CD4+ T cells, CD8+ T cells"
"Fibroblasts, myofibroblasts, smooth muscle cells"
"Endothelial cells, epithelial cells, monocytes"
"Intestinal epithelial cells, colonic epithelial cells, mucosal epithelial cells"
"Fibroblasts, osteoblasts, mesenchymal stem cells"
"Neurons, neural progenitor cells, oligodendrocytes"
"Erythrocytes, erythroid precursors, reticulocytes"
"Monocytes, macrophages, neutrophils"
"Goblet cells, hepatocytes, intestinal epithelial cells"
"Hepatocytes, intestinal epithelial cells, pancreatic acinar cells"
"Activated T cells, proliferating cells, epithelial cells"
"Endothelial cells, epithelial cells, monocytes"
"Dendritic cells, B cells, monocytes/macrophages"
"Epithelial cells, renal tubular cells, distal tubule cells"
"Erythrocytes, erythroblasts, reticulocytes"
"Fibroblasts, osteoblasts, chondrocytes"
"Oligodendrocytes, Schwann cells, glial cells"
"Alveolar type II cells, respiratory epithelial cells, pulmonary epithelial cells"
"Thyroid follicular cells, thyroid epithelial cells, follicular cells"
"Lens epithelial cells, skeletal muscle cells, cardiac muscle cells"
"B cells, antigen-presenting cells, dendritic cells"
"Hepatocytes, pancreatic acinar cells, epithelial cells"
"Enterocytes, intestinal epithelial cells, absorptive epithelial cells"
"Proliferating cells, erythroblasts, activated lymphocytes"
"Monocytes, dendritic cells, macrophages"
"Chondrocytes, cartilage cells, mesenchymal stem cells"
"Pancreatic acinar cells, exocrine pancreas cells, acinar cells"
"Neutrophils, myeloid cells, granulocytes"
"Macrophages, monocytes, dendritic cells"
"Gastric chief cells, stomach epithelial cells, gastric mucosal cells"
"Dendritic cells, gamma delta T cells, Langerhans cells"
"Gastric mucous cells, mucosal epithelial cells, goblet cells"
"Intercalated cells (kidney), osteoclasts, proton-secreting epithelial cells"
"Epithelial cells, glandular epithelial cells, respiratory epithelial cells"
"Pancreatic acinar cells, epithelial cells, ductal epithelial cells"
"Natural killer cells, T cells, monocytes"
"Proliferating cells, erythroblasts, activated lymphocytes"
"Proliferating cells, stem cells, precursor cells"
"Endothelial cells, fibroblasts, mesenchymal stem cells"
"Basal keratinocytes, squamous epithelial cells, epidermal stem cells"
"Neurons, astrocytes, glial cells"
"Pancreatic acinar cells, hepatic stellate cells, epithelial cells"
"Cardiomyocytes, cardiac muscle cells, heart muscle cells"
"Adipocytes, pancreatic acinar cells, epithelial cells"
"Renal tubular cells, loop of Henle cells, distal tubule cells"
"Fetal hepatocytes, hepatocytes, yolk sac cells"
"Prostate epithelial cells, prostatic acinar cells, prostate gland cells"
"Mast cells, basophils, eosinophils"
"Neuroendocrine cells, epithelial cells, neurons"
"Neuroendocrine cells, chromaffin cells, pancreatic islet cells"
"Sertoli cells, hepatocytes, granulosa cells"
"Cytotoxic T cells, natural killer cells, CD8+ T cells"
"Oligodendrocytes, Schwann cells, neurons"
"Chondrocytes, fibroblasts, osteoblasts"
"Osteoclasts, bone-resorbing cells, macrophages"
"Adipocytes, fat cells, lipid-storing cells"
