"Neural progenitor cells, Neural stem cells, Immature neurons, Neuroblasts"
"Macrophages, Monocytes, Dendritic cells, Microglia"
"Plasma cells, Activated B cells, Antibody-secreting cells, Immunoglobulin-producing cells"
"Fibroblasts, Mesenchymal cells, Stromal cells, Smooth muscle cells"
"Steroidogenic cells, Adrenal cortex cells, Leydig cells, Ovarian theca cells"
"T cells, T lymphocytes, CD3+ cells, Helper T cells"
"Fibroblasts, Mesenchymal cells, Stromal cells, Smooth muscle cells"
"Endothelial cells, Epithelial cells, Interferon-responsive cells, Mesenchymal stem cells"
"Intestinal epithelial cells, Colonic epithelial cells, Mucosal epithelial cells, Epithelial cells"
"Fibroblasts, Mesenchymal stem cells, Stromal cells, Osteoblasts"
"Neurons, Neural progenitor cells, Neuroblasts, Neuronal stem cells"
"Erythroblasts, Erythroid cells, Reticulocytes, Red blood cell precursors"
"Monocytes, Macrophages, Dendritic cells, Microglia"
"Hepatocytes, Pancreatic acinar cells, Small intestinal epithelial cells, Liver cells"
"Hepatocytes, Small intestinal enterocytes, Liver cells, Intestinal epithelial cells"
"Activated cells, Proliferating cells, Lymphocytes, Early response cells"
"Endothelial cells, Vascular endothelial cells, Capillary endothelial cells, Blood vessel endothelial cells"
"Dendritic cells, B cells, Macrophages, Antigen-presenting cells"
"Renal tubular epithelial cells, Airway epithelial cells, Collecting duct cells, Ovarian epithelial cells"
"Erythroblasts, Red blood cells, Reticulocytes, Erythroid precursors"
"Fibroblasts, Mesenchymal cells, Stromal cells, Extracellular matrix-secreting cells"
"Oligodendrocytes, Myelinating glial cells, CNS glial cells, Myelin-forming cells"
"Alveolar Type II cells, Pneumocytes Type II, Surfactant-secreting cells, Lung epithelial cells"
"Thyroid follicular cells, Thyroid epithelial cells, Thyroid gland cells, Thyrocytes"
"Epithelial cells, Fibroblasts, Stress-responsive cells, Various cell types"
"B cells, B lymphocytes, Antigen-presenting B cells, CD20+ cells"
"Hepatocytes, Adipocytes, Preadipocytes, Epithelial cells"
"Enterocytes, Small intestinal epithelial cells, Intestinal absorptive cells, Gut epithelial cells"
"Proliferating cells, Rapidly dividing cells, Ribosome-rich cells, Actively synthesizing cells"
"Dendritic cells, Monocytes, Langerhans cells, Antigen-presenting cells"
"Chondrocytes, Cartilage cells, Articular chondrocytes, Hyaline cartilage cells"
"Pancreatic acinar cells, Exocrine pancreas cells, Digestive enzyme-secreting cells, Pancreatic gland cells"
"Neutrophils, Polymorphonuclear leukocytes, Granulocytes, Myeloid cells"
"Macrophages, Monocytes, Antigen-presenting cells, Dendritic cells"
"Gastric chief cells, Stomach mucosal cells, Pepsinogen-secreting cells, Gastric epithelial cells"
"Dendritic cells, Langerhans cells, Gamma-delta T cells, Antigen-presenting cells"
"Gastric mucous neck cells, Gastric epithelial cells, Mucus-secreting cells, Stomach mucous cells"
"Renal intercalated cells, Kidney tubular epithelial cells, Collecting duct cells, Kidney epithelial cells"
"Ovarian epithelial cells, Fallopian tube epithelial cells, Glandular epithelial cells, Epithelial cells"
"Pancreatic ductal cells, Pancreatic acinar cells, Glandular epithelial cells, Epithelial cells"
"T cells, Natural killer cells, Lymphocytes, Inflammatory cells"
"Proliferating cells, Actively metabolizing cells, Rapidly dividing cells, Non-specific cells"
"Proliferating cells, Hematopoietic stem cells, Rapidly dividing cells, Non-specific cells"
"Endothelial cells, Fibroblasts, Mesenchymal cells, Vascular smooth muscle cells"
"Basal keratinocytes, Epidermal basal cells, Skin basal cells, Squamous epithelial basal cells"
"Astrocytes, Glial cells, CNS support cells, Neuroglia"
"Pancreatic acinar cells, Hepatocytes, Epithelial cells, Endocrine pancreas cells"
"Cardiomyocytes, Cardiac muscle cells, Heart muscle cells, Ventricular myocytes"
"Goblet cells, Pancreatic acinar cells, Mucus-secreting cells, Intestinal secretory cells"
"Renal tubular epithelial cells, Kidney cells, Nephron cells, Loop of Henle cells"
"Fetal hepatocytes, Yolk sac cells, Embryonic liver cells, Hepatocellular carcinoma cells"
"Prostate epithelial cells, Prostate gland cells, Prostatic acinar cells, Prostate luminal cells"
"Mast cells, Basophils, Allergy-related cells, Histamine-secreting cells"
"Neurons, Neuroendocrine cells, Epithelial cells, Neuronal progenitor cells"
"Neuroendocrine cells, Enteroendocrine cells, Hormone-secreting cells, Endocrine pancreas cells"
"Sertoli cells, Granulosa cells, Gonadal supporting cells, Testicular cells"
"Cytotoxic T cells, CD8+ T lymphocytes, Natural killer cells, Killer lymphocytes"
"Schwann cells, Oligodendrocytes, Glial cells, Peripheral nerve cells"
"Chondrocytes, Mesenchymal stem cells, Cartilage cells, Osteoblasts"
"Osteoclasts, Bone-resorbing cells, Multinucleated giant cells, Macrophage lineage cells"
"Adipocytes, Fat cells, White adipose cells, Lipid-storing cells"
