"Neural stem/progenitor cells, neurons, embryonic stem cells, mesenchymal stem cells, cancer cells"
"Macrophages, microglia, dendritic cells, monocytes, Kupffer cells"
"Plasma cells, B cells, marginal zone B cells, secretory B cells, mature B lymphocytes"
"Fibroblasts, smooth muscle cells, mesenchymal stem cells, osteoblasts, chondrocytes"
"Adrenal cortical cells, Leydig cells, theca cells, granulosa cells, placental trophoblasts"
"T cells, CD4+ T cells, CD8+ T cells, cytotoxic T cells, helper T cells"
"Fibroblasts, mesenchymal stem cells, smooth muscle cells, osteoblasts, myofibroblasts"
"Endothelial cells, alveolar epithelial cells, epithelial cells, dendritic cells, macrophages"
"Epithelial cells, intestinal epithelial cells, colon epithelial cells, enterocytes, goblet cells"
"Fibroblasts, mesenchymal stem cells, osteoblasts, chondrocytes, myofibroblasts"
"Neurons, neural stem/progenitor cells, astrocytes, glial cells, oligodendrocyte progenitor cells"
"Erythroblasts, reticulocytes, erythroid precursors, normoblasts, red blood cells"
"Monocytes, macrophages, neutrophils, dendritic cells, microglia"
"Pancreatic acinar cells, goblet cells, mucus-secreting cells, hepatocytes, intestinal epithelial cells"
"Hepatocytes, enterocytes, cholangiocytes, pancreatic acinar cells, adipocytes"
"Activated T cells, activated neurons, activated macrophages, proliferating cells, cancer cells"
"Endothelial cells, smooth muscle cells, fibroblasts, hepatocytes, mesangial cells"
"Dendritic cells, B cells, macrophages, monocytes, Langerhans cells"
"Kidney epithelial cells, uroepithelial cells, respiratory epithelial cells, epithelial cells, mucosal epithelial cells"
"Erythrocytes, erythroblasts, reticulocytes, red blood cells, normoblasts"
"Fibroblasts, mesenchymal stem cells, osteoblasts, chondrocytes, endothelial cells"
"Oligodendrocytes, Schwann cells, myelinating glial cells, central nervous system glia, neural cells"
"Alveolar type II pneumocytes, lung epithelial cells, respiratory epithelial cells, Clara cells, alveolar epithelial cells"
"Thyroid follicular cells, thyroid epithelial cells, thyrocytes, endocrine cells, follicular cells"
"Lens epithelial cells, proliferating cells, macrophages, stressed cells, cancer cells"
"B cells, memory B cells, naive B cells, activated B cells, plasma cells"
"Hepatocytes, epithelial cells, monocytes, endothelial cells, Kupffer cells"
"Enterocytes, intestinal epithelial cells, absorptive cells, small intestine epithelial cells, colonocytes"
"Proliferating cells, cancer cells, stem cells, activated cells, highly metabolic cells"
"Monocytes, macrophages, dendritic cells, neutrophils, microglia"
"Chondrocytes, cartilage cells, mesenchymal stem cells, osteoblasts, synoviocytes"
"Pancreatic acinar cells, exocrine pancreas cells, pancreatic ductal cells, intestinal Paneth cells, goblet cells"
"Neutrophils, granulocytes, myeloid cells, promyelocytes, myelocytes"
"Macrophages, dendritic cells, microglia, B cells, monocytes"
"Gastric chief cells, stomach epithelial cells, pepsinogen-secreting cells, mucous neck cells, enteroendocrine cells"
"Dendritic cells, Langerhans cells, gamma-delta T cells, monocytes, T cells"
"Gastric mucous cells, mucous neck cells, gastric epithelial cells, goblet cells, Paneth cells"
"Kidney collecting duct cells, intercalated cells, distal tubule cells, proximal tubule cells, duct cells"
"Epithelial cells, ovarian epithelial cells, respiratory epithelial cells, mucosal epithelial cells, glandular epithelial cells"
"Epithelial cells, pancreatic acinar cells, prostate epithelial cells, breast epithelial cells, colon epithelial cells"
"T cells, NK cells, cytotoxic T cells, fibroblasts, monocytes"
"Proliferating cells, cancer cells, stem cells, activated cells, highly metabolic cells"
"Proliferating cells, cancer cells, stem cells, activated cells, highly metabolic cells"
"Endothelial cells, fibroblasts, mesenchymal cells, smooth muscle cells, pericytes"
"Basal keratinocytes, epidermal stem cells, skin epithelial cells, squamous epithelial cells, stratified squamous epithelial cells"
"Astrocytes, neurons, glial cells, oligodendrocytes, neural stem cells"
"Pancreatic acinar cells, pancreatic ductal cells, hepatocytes, islet cells, exocrine pancreas cells"
"Cardiomyocytes, heart muscle cells, cardiac muscle cells, myocardiocytes, cardiac myocytes"
"Goblet cells, mucus-secreting cells, airway epithelial cells, intestinal epithelial cells, hepatocytes"
"Kidney cells, renal tubular epithelial cells, thick ascending limb cells, distal tubule cells, collecting duct cells"
"Hepatocytes, fetal liver cells, proximal tubule cells, yolk sac cells, endodermal cells"
"Prostate epithelial cells, prostatic acinar cells, prostate glandular cells, epithelial cells, urogenital epithelial cells"
"Mast cells, basophils, tissue-resident mast cells, granulocytes, eosinophils"
"Neurons, neuroendocrine cells, epithelial cells, enteric neurons, pancreatic beta cells"
"Neuroendocrine cells, enteroendocrine cells, pancreatic islet cells, chromaffin cells, adrenal medulla cells"
"Sertoli cells, granulosa cells, gonadal somatic cells, follicle cells, mesenchymal stem cells"
"Cytotoxic T cells, NK cells, CD8+ T cells, effector T cells, cytotoxic lymphocytes"
"Astrocytes, oligodendrocytes, Schwann cells, neural stem cells, glial cells"
"Chondrocytes, cartilage cells, mesenchymal stem cells, osteoblasts, fibroblasts"
"Osteoclasts, bone-resorbing cells, monocyte-macrophage lineage cells, multinucleated giant cells, bone marrow macrophages"
"Adipocytes, fat cells, white adipose tissue cells, lipid-storing cells, brown adipocytes"
