"Adipocytes, fat cells, adipose tissue cells"
"Endothelial cells, vascular endothelial cells, blood vessel endothelial cells"
"T cells, lymphocytes, leukocytes"
"Smooth muscle cells, vascular smooth muscle cells, myofibroblasts"
"Myoepithelial cells, basal epithelial cells, keratinocytes"
"Mast cells, basophils, allergic effector cells"
"Smooth muscle cells, myofibroblasts, pericytes"
"Lymphatic endothelial cells, lymphatic vessels, endothelial cells"
"Mammary stem/progenitor cells, stem cells, epithelial progenitor cells"
"Fibroblasts, stromal cells, mesenchymal cells"
"B cells, lymphocytes, leukocytes"
"Macrophages, monocytes, dendritic cells"
"Mast cells, basophils, allergic effector cells"
"Endothelial cells, vascular endothelial cells, blood vessel endothelial cells"
"T cells, lymphocytes, leukocytes"
"Esophageal epithelial cells, squamous epithelial cells, keratinocytes"
"Macrophages, monocytes, dendritic cells"
"Smooth muscle cells, vascular smooth muscle cells, myofibroblasts"
"Interstitial cells of Cajal, gastrointestinal pacemaker cells, KIT-positive cells"
"Fibroblasts, stromal cells, mesenchymal cells"
"Basal epithelial cells, keratinocytes, squamous epithelial cells"
"B cells, lymphocytes, leukocytes"
"Adipocytes, fat cells, adipose tissue cells"
"Lymphatic endothelial cells, lymphatic vessels, endothelial cells"
"Cardiomyocytes, cardiac muscle cells, heart muscle cells"
"Endothelial cells, vascular endothelial cells, blood vessel endothelial cells"
"T cells, lymphocytes, leukocytes"
"Smooth muscle cells, vascular smooth muscle cells, myofibroblasts"
"Smooth muscle cells, myofibroblasts, pericytes"
"Mast cells, basophils, allergic effector cells"
"Lymphatic endothelial cells, lymphatic vessels, endothelial cells"
"Fibroblasts, stromal cells, mesenchymal cells"
"B cells, lymphocytes, leukocytes"
"Adipocytes, fat cells, adipose tissue cells"
"Macrophages, monocytes, dendritic cells"
"Macrophages, monocytes, dendritic cells"
"Endothelial cells, vascular endothelial cells, blood vessel endothelial cells"
"T cells, lymphocytes, leukocytes"
"Smooth muscle cells, vascular smooth muscle cells, myofibroblasts"
"Vascular smooth muscle cells, pericytes, smooth muscle cells"
"Lymphatic endothelial cells, lymphatic vessels, endothelial cells"
"Mast cells, basophils, allergic effector cells"
"Club cells, airway secretory epithelial cells, Clara cells"
"Adipocytes, fat cells, adipose tissue cells"
"Type I alveolar epithelial cells, alveolar epithelial cells, lung epithelial cells"
"Type II alveolar epithelial cells, surfactant-producing cells, alveolar epithelial cells"
"Fibroblasts, stromal cells, mesenchymal cells"
"Ciliated epithelial cells, airway epithelial cells, multiciliated cells"
"B cells, lymphocytes, leukocytes"
"Smooth muscle cells, myofibroblasts, pericytes"
"Endothelial cells, vascular endothelial cells, blood vessel endothelial cells"
"T cells, lymphocytes, leukocytes"
"Smooth muscle cells, vascular smooth muscle cells, myofibroblasts"
"Mast cells, basophils, allergic effector cells"
"Lymphatic endothelial cells, lymphatic vessels, endothelial cells"
"Prostate luminal epithelial cells, prostate epithelial cells, secretory epithelial cells"
"Fibroblasts, stromal cells, mesenchymal cells"
"B cells, lymphocytes, leukocytes"
"Adipocytes, fat cells, adipose tissue cells"
"Macrophages, monocytes, dendritic cells"
"Skeletal muscle cells (myocytes), muscle fibers, skeletal muscle fibers"
"T cells, lymphocytes, leukocytes"
"Smooth muscle cells, vascular smooth muscle cells, myofibroblasts"
"Muscle satellite cells, muscle stem cells, myogenic progenitor cells"
"Pericytes, vascular mural cells, perivascular cells"
"Endothelial cells, vascular endothelial cells, blood vessel endothelial cells"
"Mast cells, basophils, allergic effector cells"
"Macrophages, monocytes, dendritic cells"
"Lymphatic endothelial cells, lymphatic vessels, endothelial cells"
"Fibroblasts, stromal cells, mesenchymal cells"
"B cells, lymphocytes, leukocytes"
"Adipocytes, fat cells, adipose tissue cells"
"Skeletal muscle cells (myocytes), muscle fibers, skeletal muscle fibers"
"Keratinocytes, differentiated epidermal cells, suprabasal keratinocytes"
"Smooth muscle cells, vascular smooth muscle cells, myofibroblasts"
"Secretory epithelial cells, sweat gland cells, glandular epithelial cells"
"Adipocytes, sebaceous gland cells, fat cells"
"Melanocytes, pericytes, perivascular cells"
"Melanocytes, melanocyte stem cells, pigment cells"
"Keratinocytes, epidermal cells, skin barrier cells"
"Lymphatic endothelial cells, lymphatic vessels, endothelial cells"
"Macrophages, monocytes, dendritic cells"
"Pericytes, perivascular cells, vascular mural cells"
"Fibroblasts, stromal cells, mesenchymal cells"
"Basal keratinocytes, epidermal basal cells, epithelial stem/progenitor cells"
"B cells, lymphocytes, leukocytes"
"Adipocytes, fat cells, adipose tissue cells"
"T cells, lymphocytes, leukocytes"
"Mast cells, basophils, allergic effector cells"
"Endothelial cells, vascular endothelial cells, blood vessel endothelial cells"
