"Adipocytes, Pre-adipocytes, B cells"
"Vascular endothelial cells, Endothelial cells, Angioblasts"
"T cells, Natural killer cells, Leukocytes"
"Smooth muscle cells, Vascular smooth muscle cells, Myofibroblasts"
"Myoepithelial cells, Basal epithelial cells, Smooth muscle cells"
"Mast cells, Basophils, Activated lymphocytes"
"Pericytes, Smooth muscle cells, Myoepithelial cells"
"Lymphatic endothelial cells, Endothelial cells, Dendritic cells"
"Mammary stem cells, Progenitor cells, Neural crest cells"
"Fibroblasts, Myofibroblasts, Stromal cells"
"B cells, Dendritic cells, T cells"
"Macrophages, Monocytes, Dendritic cells"
"Mast cells, Basophils, Activated lymphocytes"
"Vascular endothelial cells, Endothelial cells, Angioblasts"
"T cells, Natural killer cells, Leukocytes"
"Esophageal epithelial cells, Mucous epithelial cells, Squamous epithelial cells"
"Macrophages, Monocytes, Dendritic cells"
"Smooth muscle cells, Myofibroblasts, Vascular smooth muscle cells"
"Interstitial cells of Cajal, Gastrointestinal pacemaker cells, Mast cells"
"Fibroblasts, Myofibroblasts, Stromal cells"
"Basal keratinocytes, Squamous epithelial cells, Epidermal stem cells"
"B cells, Dendritic cells, T cells"
"Adipocytes, Pre-adipocytes, B cells"
"Lymphatic endothelial cells, Endothelial cells, Dendritic cells"
"Cardiomyocytes, Cardiac muscle cells, Heart muscle cells"
"Vascular endothelial cells, Endothelial cells, Angioblasts"
"T cells, Natural killer cells, Leukocytes"
"Smooth muscle cells, Vascular smooth muscle cells, Myofibroblasts"
"Pericytes, Smooth muscle cells, Myoepithelial cells"
"Mast cells, Basophils, Activated lymphocytes"
"Lymphatic endothelial cells, Endothelial cells, Dendritic cells"
"Cardiac fibroblasts, Fibroblasts, Myofibroblasts"
"B cells, Mature B cells, Lymphocytes"
"Adipocytes, Pre-adipocytes, B cells"
"Macrophages, Monocytes, Phagocytes"
"Macrophages, Monocytes, Dendritic cells"
"Vascular endothelial cells, Endothelial cells, Angioblasts"
"T cells, Natural killer cells, Leukocytes"
"Smooth muscle cells, Vascular smooth muscle cells, Myofibroblasts"
"Pericytes, Smooth muscle cells, Myoepithelial cells"
"Lymphatic endothelial cells, Endothelial cells, Dendritic cells"
"Mast cells, Basophils, Activated lymphocytes"
"Club cells, Airway epithelial cells, Clara cells"
"Adipocytes, Pre-adipocytes, B cells"
"Alveolar type I cells, Pulmonary epithelial cells, Pneumocytes"
"Alveolar type II cells, Pulmonary epithelial cells, Pneumocytes"
"Fibroblasts, Myofibroblasts, Stromal cells"
"Ciliated epithelial cells, Airway epithelial cells, Respiratory epithelial cells"
"B cells, Dendritic cells, T cells"
"Pericytes, Smooth muscle cells, Myoepithelial cells"
"Vascular endothelial cells, Endothelial cells, Angioblasts"
"T cells, Natural killer cells, Leukocytes"
"Smooth muscle cells, Vascular smooth muscle cells, Myofibroblasts"
"Mast cells, Basophils, Activated lymphocytes"
"Lymphatic endothelial cells, Endothelial cells, Dendritic cells"
"Prostatic epithelial cells, Secretory epithelial cells, Luminal epithelial cells"
"Fibroblasts, Myofibroblasts, Stromal cells"
"B cells, Dendritic cells, T cells"
"Adipocytes, Pre-adipocytes, B cells"
"Macrophages, Monocytes, Dendritic cells"
"Skeletal muscle fibers, Myocytes, Muscle cells"
"T cells, Natural killer cells, Leukocytes"
"Smooth muscle cells, Myofibroblasts, Vascular smooth muscle cells"
"Satellite cells, Muscle stem cells, Myogenic precursor cells"
"Pericytes, Smooth muscle cells, Myoepithelial cells"
"Vascular endothelial cells, Endothelial cells, Angioblasts"
"Mast cells, Basophils, Activated lymphocytes"
"Macrophages, Monocytes, Dendritic cells"
"Lymphatic endothelial cells, Endothelial cells, Dendritic cells"
"Fibroblasts, Myofibroblasts, Stromal cells"
"B cells, Dendritic cells, T cells"
"Adipocytes, Pre-adipocytes, B cells"
"Myoblasts, Muscle progenitor cells, Satellite cells"
"Keratinocytes, Epidermal cells, Skin epithelial cells"
"Smooth muscle cells, Myofibroblasts, Vascular smooth muscle cells"
"Sebaceous gland cells, Secretory epithelial cells, Skin glandular cells"
"Adipocytes, Pre-adipocytes, Lipid-storing cells"
"Pericytes, Smooth muscle cells, Myoepithelial cells"
"Melanocytes, Pigment cells, Neural crest cells"
"Keratinocytes, Epidermal cells, Skin epithelial cells"
"Lymphatic endothelial cells, Endothelial cells, Dendritic cells"
"Macrophages, Monocytes, Dendritic cells"
"Schwann cells, Peripheral glial cells, Neural crest cells"
"Fibroblasts, Myofibroblasts, Stromal cells"
"Basal keratinocytes, Squamous epithelial cells, Epidermal stem cells"
"B cells, Dendritic cells, T cells"
"Adipocytes, Pre-adipocytes, B cells"
"T cells, Natural killer cells, Leukocytes"
"Mast cells, Basophils, Activated lymphocytes"
"Vascular endothelial cells, Endothelial cells, Angioblasts"
