"Adipocytes, preadipocytes, brown adipocytes"
"Endothelial cells, vascular endothelial cells, lymphatic endothelial cells"
"T cells, cytotoxic T cells, NK cells"
"Smooth muscle cells, vascular smooth muscle cells, myofibroblasts"
"Myoepithelial cells, basal epithelial cells, smooth muscle cells"
"Mast cells, basophils, activated eosinophils"
"Pericytes, vascular smooth muscle cells, mesenchymal stem cells"
"Lymphatic endothelial cells, endothelial cells, lymphatic vessel cells"
"Mammary stem cells, progenitor cells, epithelial cells"
"Fibroblasts, stromal cells, mesenchymal cells"
"B cells, memory B cells, mature B cells"
"Macrophages, monocytes, dendritic cells"
"Mast cells, basophils, activated eosinophils"
"Endothelial cells, vascular endothelial cells, lymphatic endothelial cells"
"T cells, cytotoxic T cells, NK cells"
"Squamous epithelial cells, mucosal epithelial cells, epithelial cells"
"Macrophages, monocytes, dendritic cells"
"Smooth muscle cells, vascular smooth muscle cells, myofibroblasts"
"Interstitial cells of Cajal, gastrointestinal pacemaker cells, smooth muscle cells"
"Fibroblasts, stromal cells, mesenchymal cells"
"Basal epithelial cells, epithelial stem cells, squamous epithelial cells"
"B cells, memory B cells, mature B cells"
"Adipocytes, preadipocytes, brown adipocytes"
"Lymphatic endothelial cells, endothelial cells, lymphatic vessel cells"
"Cardiomyocytes, cardiac muscle cells, heart muscle cells"
"Endothelial cells, vascular endothelial cells, lymphatic endothelial cells"
"T cells, cytotoxic T cells, NK cells"
"Smooth muscle cells, vascular smooth muscle cells, myofibroblasts"
"Pericytes, vascular smooth muscle cells, mesenchymal stem cells"
"Mast cells, basophils, activated eosinophils"
"Lymphatic endothelial cells, endothelial cells, lymphatic vessel cells"
"Fibroblasts, stromal cells, mesenchymal cells"
"B cells, memory B cells, mature B cells"
"Adipocytes, preadipocytes, brown adipocytes"
"Macrophages, monocytes, dendritic cells"
"Macrophages, monocytes, dendritic cells"
"Endothelial cells, vascular endothelial cells, lymphatic endothelial cells"
"T cells, cytotoxic T cells, NK cells"
"Smooth muscle cells, vascular smooth muscle cells, myofibroblasts"
"Pericytes, vascular smooth muscle cells, mesenchymal stem cells"
"Lymphatic endothelial cells, endothelial cells, lymphatic vessel cells"
"Mast cells, basophils, activated eosinophils"
"Club cells, airway epithelial cells, mucous secreting epithelial cells"
"Adipocytes, preadipocytes, brown adipocytes"
"Type I alveolar epithelial cells, alveolar epithelial cells, lung epithelial cells"
"Type II alveolar epithelial cells, alveolar epithelial cells, lung epithelial cells"
"Fibroblasts, stromal cells, mesenchymal cells"
"Ciliated epithelial cells, airway epithelial cells, multiciliated cells"
"B cells, memory B cells, mature B cells"
"Pericytes, vascular smooth muscle cells, mesenchymal stem cells"
"Endothelial cells, vascular endothelial cells, lymphatic endothelial cells"
"T cells, cytotoxic T cells, NK cells"
"Smooth muscle cells, vascular smooth muscle cells, myofibroblasts"
"Mast cells, basophils, activated eosinophils"
"Lymphatic endothelial cells, endothelial cells, lymphatic vessel cells"
"Prostate epithelial cells, prostatic glandular cells, secretory epithelial cells"
"Fibroblasts, stromal cells, mesenchymal cells"
"B cells, memory B cells, mature B cells"
"Adipocytes, preadipocytes, brown adipocytes"
"Macrophages, monocytes, dendritic cells"
"Skeletal muscle cells, muscle fibers, myotubes"
"T cells, cytotoxic T cells, NK cells"
"Smooth muscle cells, vascular smooth muscle cells, myofibroblasts"
"Satellite cells, muscle stem cells, myogenic progenitor cells"
"Pericytes, vascular smooth muscle cells, mesenchymal stem cells"
"Endothelial cells, vascular endothelial cells, lymphatic endothelial cells"
"Mast cells, basophils, activated eosinophils"
"Macrophages, monocytes, dendritic cells"
"Lymphatic endothelial cells, endothelial cells, lymphatic vessel cells"
"Fibroblasts, stromal cells, mesenchymal cells"
"B cells, memory B cells, mature B cells"
"Adipocytes, preadipocytes, brown adipocytes"
"Myoblasts, muscle progenitor cells, developing skeletal muscle cells"
"Keratinocytes, epidermal cells, skin epithelial cells"
"Smooth muscle cells, vascular smooth muscle cells, myofibroblasts"
"Apocrine gland cells, sweat gland cells, secretory epithelial cells"
"Sebaceous gland cells, hair follicle cells, skin epithelial cells"
"Pericytes, vascular smooth muscle cells, mesenchymal stem cells"
"Melanocytes, pigment-producing cells, skin melanocytes"
"Differentiated keratinocytes, epidermal cells, skin epithelial cells"
"Lymphatic endothelial cells, endothelial cells, lymphatic vessel cells"
"Macrophages, monocytes, dendritic cells"
"Hair follicle cells, dermal papilla cells, skin fibroblasts"
"Fibroblasts, stromal cells, mesenchymal cells"
"Basal keratinocytes, epidermal stem cells, skin epithelial cells"
"B cells, memory B cells, mature B cells"
"Adipocytes, preadipocytes, brown adipocytes"
"T cells, cytotoxic T cells, NK cells"
"Mast cells, basophils, activated eosinophils"
"Endothelial cells, vascular endothelial cells, lymphatic endothelial cells"
