"Adipocytes, Preadipocytes, Mesenchymal stem cells, Fibroblasts, Mature adipocytes"
"Endothelial cells, Vascular endothelial cells, Capillary endothelial cells, Venous endothelial cells, Arterial endothelial cells"
"T cells, Cytotoxic T cells, Helper T cells, Activated T cells, NK T cells"
"Smooth muscle cells, Vascular smooth muscle cells, Myocytes, Visceral smooth muscle cells, Pericytes"
"Myoepithelial cells, Basal epithelial cells, Mammary myoepithelial cells, Epithelial cells, Smooth muscle cells"
"Mast cells, Basophils, Eosinophils, Hematopoietic stem cells, Activated immune cells"
"Pericytes, Vascular smooth muscle cells, Smooth muscle cells, Mesenchymal stem cells, Fibroblasts"
"Lymphatic endothelial cells, Lymphatic vessel cells, Endothelial cells, Lymphatic capillary cells, Lymphangiogenic endothelial cells"
"Luminal epithelial cells, Mammary gland epithelial cells, Secretory epithelial cells, Glandular epithelial cells, Breast luminal cells"
"Fibroblasts, Stromal cells, Mesenchymal cells, Myofibroblasts, Extracellular matrix secreting cells"
"B cells, Dendritic cells, Follicular dendritic cells, Mature B cells, Antigen-presenting cells"
"Macrophages, Monocytes, Phagocytes, Antigen-presenting cells, Tissue macrophages"
"Mast cells, Basophils, Eosinophils, Hematopoietic stem cells, Activated immune cells"
"Endothelial cells, Vascular endothelial cells, Capillary endothelial cells, Venous endothelial cells, Arterial endothelial cells"
"T cells, Cytotoxic T cells, Helper T cells, Activated T cells, NK T cells"
"Squamous epithelial cells, Esophageal epithelial cells, Stratified epithelial cells, Mucosal epithelial cells, Keratinocytes"
"Macrophages, Monocytes, Phagocytes, Antigen-presenting cells, Tissue macrophages"
"Smooth muscle cells, Vascular smooth muscle cells, Myocytes, Visceral smooth muscle cells, Pericytes"
"Interstitial cells of Cajal, Gastrointestinal pacemaker cells, Myenteric neurons, GI stromal cells, Smooth muscle cells"
"Fibroblasts, Stromal cells, Mesenchymal cells, Myofibroblasts, Extracellular matrix secreting cells"
"Basal epithelial cells, Keratinocytes, Esophageal basal cells, Squamous epithelial cells, Stratified epithelium basal cells"
"B cells, Dendritic cells, Follicular dendritic cells, Mature B cells, Antigen-presenting cells"
"Adipocytes, Preadipocytes, Mesenchymal stem cells, Fibroblasts, Mature adipocytes"
"Lymphatic endothelial cells, Lymphatic vessel cells, Endothelial cells, Lymphatic capillary cells, Lymphangiogenic endothelial cells"
"Cardiomyocytes, Cardiac muscle cells, Heart muscle cells, Ventricular cardiomyocytes, Atrial cardiomyocytes"
"Endothelial cells, Vascular endothelial cells, Capillary endothelial cells, Venous endothelial cells, Arterial endothelial cells"
"T cells, Cytotoxic T cells, Helper T cells, Activated T cells, NK T cells"
"Smooth muscle cells, Vascular smooth muscle cells, Myocytes, Visceral smooth muscle cells, Pericytes"
"Pericytes, Vascular smooth muscle cells, Smooth muscle cells, Mesenchymal stem cells, Fibroblasts"
"Mast cells, Basophils, Eosinophils, Hematopoietic stem cells, Activated immune cells"
"Lymphatic endothelial cells, Lymphatic vessel cells, Endothelial cells, Lymphatic capillary cells, Lymphangiogenic endothelial cells"
"Fibroblasts, Cardiac fibroblasts, Stromal cells, Mesenchymal cells, Myofibroblasts"
"B cells, Mature B cells, B lymphocytes, Antigen-presenting cells, Plasma B cells"
"Adipocytes, Preadipocytes, Mesenchymal stem cells, Fibroblasts, Mature adipocytes"
"Macrophages, Monocytes, Phagocytes, Antigen-presenting cells, Tissue macrophages"
"Macrophages, Monocytes, Phagocytes, Antigen-presenting cells, Alveolar macrophages"
"Endothelial cells, Vascular endothelial cells, Capillary endothelial cells, Venous endothelial cells, Arterial endothelial cells"
"T cells, Cytotoxic T cells, Helper T cells, Activated T cells, NK T cells"
"Smooth muscle cells, Vascular smooth muscle cells, Myocytes, Visceral smooth muscle cells, Pericytes"
"Pericytes, Vascular smooth muscle cells, Smooth muscle cells, Mesenchymal stem cells, Fibroblasts"
"Lymphatic endothelial cells, Lymphatic vessel cells, Endothelial cells, Lymphatic capillary cells, Lymphangiogenic endothelial cells"
"Mast cells, Basophils, Eosinophils, Hematopoietic stem cells, Activated immune cells"
"Club cells, Bronchiolar epithelial cells, Airway secretory cells, Non-ciliated epithelial cells, Clara cells"
"Adipocytes, Preadipocytes, Mesenchymal stem cells, Fibroblasts, Mature adipocytes"
"Type I alveolar cells, Alveolar epithelial cells type I, Pneumocytes type I, Gas exchange cells, AEC I"
"Type II alveolar cells, Alveolar epithelial cells type II, Pneumocytes type II, Surfactant-producing cells, AEC II"
"Fibroblasts, Lung fibroblasts, Mesenchymal cells, Myofibroblasts, Stromal cells"
"Ciliated epithelial cells, Respiratory ciliated cells, Airway epithelial cells, Multi-ciliated cells, Epithelial cells"
"B cells, Mature B cells, B lymphocytes, Antigen-presenting cells, Plasma B cells"
"Pericytes, Vascular smooth muscle cells, Smooth muscle cells, Mesenchymal stem cells, Fibroblasts"
"Endothelial cells, Vascular endothelial cells, Capillary endothelial cells, Venous endothelial cells, Arterial endothelial cells"
"T cells, Cytotoxic T cells, Helper T cells, Activated T cells, NK T cells"
"Smooth muscle cells, Vascular smooth muscle cells, Myocytes, Visceral smooth muscle cells, Pericytes"
"Mast cells, Basophils, Eosinophils, Hematopoietic stem cells, Activated immune cells"
"Lymphatic endothelial cells, Lymphatic vessel cells, Endothelial cells, Lymphatic capillary cells, Lymphangiogenic endothelial cells"
"Prostate epithelial cells, Secretory epithelial cells, Luminal epithelial cells, Glandular epithelial cells, Prostate luminal cells"
"Fibroblasts, Prostate fibroblasts, Stromal cells, Mesenchymal cells, Myofibroblasts"
"B cells, Mature B cells, B lymphocytes, Antigen-presenting cells, Plasma B cells"
"Adipocytes, Preadipocytes, Mesenchymal stem cells, Fibroblasts, Mature adipocytes"
"Macrophages, Monocytes, Phagocytes, Antigen-presenting cells, Tissue macrophages"
"Skeletal muscle cells, Myofibers, Muscle fibers, Striated muscle cells, Myocytes"
"T cells, Cytotoxic T cells, Helper T cells, Activated T cells, NK T cells"
"Smooth muscle cells, Vascular smooth muscle cells, Myocytes, Visceral smooth muscle cells, Pericytes"
"Satellite cells, Muscle stem cells, Myoblasts, Skeletal muscle progenitor cells, Muscle precursor cells"
"Pericytes, Vascular smooth muscle cells, Smooth muscle cells, Mesenchymal stem cells, Fibroblasts"
"Endothelial cells, Vascular endothelial cells, Capillary endothelial cells, Venous endothelial cells, Arterial endothelial cells"
"Mast cells, Basophils, Eosinophils, Hematopoietic stem cells, Activated immune cells"
