"T cells, NK cells, Hematopoietic progenitor cells"
"Plasmacytoid dendritic cells, Dendritic cells, Monocytes"
"B cells, Plasmablasts, Activated B cells"
"Endothelial cells, Erythrocytes, Epithelial cells"
"Lymphatic endothelial cells, Epithelial cells, Endothelial cells"
"Cytotoxic T cells, Natural killer cells, Activated T cells"
"Mast cells, Basophils, Granulocytes"
"Plasma cells, Plasmablasts, B cells"
"Epithelial cells, Smooth muscle cells, Pericytes"
"Smooth muscle cells, Myofibroblasts, Pericytes"
"Endothelial cells, Angiogenic endothelial cells, Vascular cells"
"Urothelial cells, Epithelial cells, Transitional epithelial cells"
"Fibroblasts, Mesenchymal stromal cells, Myofibroblasts"
"Macrophages, Monocytes, Dendritic cells"
"Pericytes, Smooth muscle cells, Vascular smooth muscle cells"
"Hematopoietic stem cells, Progenitor cells, Early erythroid cells"
"Erythroblasts, Erythroid progenitor cells, Megakaryocyte-erythroid progenitors"
"Hematopoietic progenitor cells, Erythroid progenitors, Early precursors"
"Mast cells, Basophils, Hematopoietic progenitor cells"
"T cells, Helper T cells, Naive T cells"
"Erythroid cells, Macrophages, Monocytes"
"Platelets, Megakaryocytes, Erythrocytes"
"Mast cells, Basophils, Granulocytes"
"Erythrocytes, Granulocytes, Proliferating cells"
"T cells, Naive T cells, Central memory T cells"
"Plasma cells, Fibroblasts, Adipocytes"
"Platelets, Megakaryocytes, Erythrocytes"
"Monocytes, Macrophages, Dendritic cells"
"Plasma cells, Plasmablasts, B cells"
"Erythrocytes, Erythroid precursors, Reticulocytes"
"T cells, Helper T cells, Naive T cells"
"Monocytes, Macrophages, Dendritic cells"
"Neutrophils, Granulocytes, Myeloid cells"
"B cells, Naive B cells, Mature B cells"
"Natural killer cells, Cytotoxic T cells, Innate lymphoid cells"
"B cells, Naive B cells, Memory B cells"
"Natural killer cells, Cytotoxic T cells, Innate lymphoid cells"
"Neuroendocrine cells, Pituitary cells, Endocrine progenitor cells"
"T cells, Activated T cells, Cytotoxic T cells"
"Natural killer cells, Cytotoxic T cells, Innate lymphoid cells"
"T cells, Naive T cells, Central memory T cells"
"Erythroid cells, Erythroblasts, Reticulocytes"
"B cells, Naive B cells, Memory B cells"
"Platelets, Megakaryocytes, Erythrocytes"
"Neutrophils, Monocytes, Macrophages"
"Neutrophils, Granulocytes, Myeloid cells"
"Neutrophils, Granulocytes, Monocytes"
"T cells, Helper T cells, Naive T cells"
"Cytotoxic T cells, Natural killer cells, Activated T cells"
"Megakaryocytes, Platelets, Hematopoietic progenitor cells"
"B cells, Naive B cells, Memory B cells"
"Neutrophil precursors, Promyelocytes, Myelocytes"
"Natural killer cells, Cytotoxic T cells, Innate lymphoid cells"
"Erythroid cells, Erythroblasts, Reticulocytes"
"Hematopoietic progenitor cells, Erythroid progenitors, Early precursors"
"Plasma cells, Plasmablasts, B cells"
"Macrophages, Monocytes, Dendritic cells"
"Monocytes, Macrophages, Dendritic cells"
"T cells, Natural killer cells, Leukocytes"
"Plasma cells, Plasmablasts, B cells"
"Macrophages, Monocytes, Dendritic cells"
"Erythroid cells, Erythrocytes, Erythroblasts"
"Proliferating cells, Cell cycle active cells, Stem/progenitor cells"
"T cells, TCR beta-positive T cells, Adaptive immune cells"
"Mast cells, Basophils, Granulocytes"
"Neurons, Neural progenitor cells, Retinal cells"
"Smooth muscle cells, Muscle cells, Myofibroblasts"
"Adipocytes, Lipid-storing cells, Fat cells"
"Muscle cells, Skeletal muscle cells, Myocytes"
"Retinal ganglion cells, Neurons, Retinal interneurons"
"Smooth muscle cells, Cardiac muscle cells, Vascular smooth muscle cells"
"Melanocytes, Retinal pigment epithelial cells, Melanoma cells"
"Photoreceptor cells, Rod cells, Retinal cells"
"Corneal epithelial cells, Corneal cells, Epithelial cells"
"Ciliary epithelial cells, Non-pigmented ciliary epithelial cells, Ocular surface cells"
"Conjunctival epithelial cells, Glandular epithelial cells, Lacrimal gland cells"
"Monocytes, Dendritic cells, Macrophages"
"Macrophages, Monocytes, Dendritic cells"
"Corneal stromal cells, Keratocytes, Fibroblasts"
"Activated T cells, T cells, Helper T cells"
"Müller glia, Retinal progenitor cells, Astrocytes"
"Endothelial cells, Vascular endothelial cells, Lymphatic endothelial cells"
"Lacrimal gland cells, Tear-secreting cells, Glandular epithelial cells"
"Retinal pigment epithelial cells, Pericytes, Vascular smooth muscle cells"
"B cells, Naive B cells, Memory B cells"
"Retinal pigment epithelial cells, RPE cells, Eye-specific epithelial cells"
"Retinal progenitor cells, Stem cells, Neural progenitor cells"
"Plasma cells, Plasmablasts, B cells"
"Plasma cells, B cells, Plasmablasts"
"Erythroid cells, Megakaryocytes, Hematopoietic progenitor cells"
"Smooth muscle cells, Neurons, Vascular smooth muscle cells"
"Endothelial cells, Melanocytes, Smooth muscle cells"
"Platelets, Megakaryocytes, Erythrocytes"
"Neutrophils, Granulocytes, Monocytes"
"Natural killer cells, Cytotoxic T cells, Innate lymphoid cells"
"Macrophages, Monocytes, Dendritic cells"
"Activated T cells, T cells, Helper T cells"
"Endothelial cells, Vascular endothelial cells, Lymphatic endothelial cells"
"Fibroblasts, Mesenchymal stromal cells, Myofibroblasts"
"Smooth muscle cells, Vascular smooth muscle cells, Pericytes"
"Endothelial cell, Vascular endothelial cell, Capillary endothelial cell"
"Cardiomyocyte, Cardiac muscle cell, Heart muscle cell"
"Epithelial cell, Cardiac epithelial cell, Endocardial cell"
"Pericyte, Smooth muscle cell, Vascular smooth muscle cell"
"Fibroblast, Cardiac fibroblast, Connective tissue cell"
"Macrophage, Tissue macrophage, Monocyte-derived macrophage"
"T cell, Activated T lymphocyte, Helper T cell"
"Natural killer cell, Cytotoxic T cell, NK T cell"
"Monocyte, Macrophage, Myeloid cell"
"T cell, Cytotoxic T cell, NK T cell"
"B cell, B lymphocyte, Plasma cell"
"Proximal tubule epithelial cell, Renal epithelial cell, Kidney epithelial cell"
"Endothelial cell, Vascular endothelial cell, Capillary endothelial cell"
"Endothelial cell, Vascular endothelial cell, Capillary endothelial cell"
"Epithelial cell, Intestinal epithelial cell, Colonic epithelial cell"
"Enterocyte, Intestinal epithelial cell, Colonic epithelial cell"
"Intestinal stem cell, Crypt stem cell, Progenitor cell"
"Epithelial cell, Intestinal epithelial cell, Colonic epithelial cell"
"Enteroendocrine cell, Intestinal hormone-secreting cell, Neuroendocrine cell"
"Macrophage, Monocyte, Myeloid cell"
"Enteroendocrine cell, Neuroendocrine cell, Hormone-secreting cell"
"Epithelial cell, Intestinal epithelial cell, Colonic epithelial cell"
"Mast cell, Basophil, Granulocyte"
"Natural killer cell, Cytotoxic T cell, NK T cell"
"B cell, B lymphocyte, Plasma cell"
"BEST4-positive epithelial cell, Ionocyte, Absorptive epithelial cell"
"Goblet cell, Mucin-secreting cell, Secretory epithelial cell"
"Fibroblast, Mesenchymal cell, Stromal cell"
"Proliferating cell, Dividing cell, Transit amplifying cell"
"Plasma cell, Antibody-secreting cell, B lymphoblast"
"Fibroblast, Mesenchymal cell, Stromal cell"
"Absorptive epithelial cell, Enterocyte, Intestinal epithelial cell"
"T cell, Memory T cell, Helper T lymphocyte"
"Fibroblast, Stellate cell, Mesenchymal cell"
"Erythrocyte precursor, Erythroblast, Red blood cell precursor"
"Hepatocyte, Liver parenchymal cell, Liver cell"
"T cell, Helper T cell, CD4+ T lymphocyte"
"Cholangiocyte, Biliary epithelial cell, Bile duct epithelial cell"
"Hepatocyte, Liver parenchymal cell, Liver cell"
"B cell, B lymphocyte, Plasma cell"
"Natural killer cell, Cytotoxic T lymphocyte, NK T cell"
"Dendritic cell, Antigen-presenting cell, Myeloid dendritic cell"
"Endothelial cell, Liver sinusoidal endothelial cell, Vascular endothelial cell"
"Monocyte, Macrophage, Kupffer cell"
"Antigen-presenting cell, Dendritic cell, Monocyte"
"Smooth muscle cell, Vascular smooth muscle cell, Mesenchymal cell"
"Endothelial cell, Vascular endothelial cell, Capillary endothelial cell"
"Endothelial cell, Vascular endothelial cell, Pulmonary endothelial cell"
"Basal epithelial cell, Airway epithelial cell, Keratinocyte"
"Endothelial cell, Capillary endothelial cell, Vascular endothelial cell"
"Fibroblast, Mesenchymal cell, Stromal cell"
