"T cells, Cytotoxic T cells, Helper T cells"
"Plasmacytoid dendritic cells, Dendritic cells, Monocytes"
"B cells, Memory B cells, Naive B cells"
"Endothelial cells, Erythroid cells, Lymphatic endothelial cells"
"Lymphatic endothelial cells, Endothelial cells, Mucosal epithelial cells"
"NK cells, Cytotoxic T cells, CD8+ T cells"
"Mast cells, Basophils, Eosinophils"
"Plasma cells, Marginal zone B cells, Memory B cells"
"Fibroblasts, Chondrocytes, Smooth muscle cells"
"Smooth muscle cells, Muscle cells, Myofibroblasts"
"Endothelial cells, Angioblasts, Endothelial progenitor cells"
"Urothelial cells, Epithelial cells, Transitional epithelial cells"
"Fibroblasts, Myofibroblasts, Mesenchymal stem cells"
"Macrophages, Monocytes, Dendritic cells"
"Smooth muscle cells, Pericytes, Myofibroblasts"
"Hematopoietic progenitor cells, Erythroid precursor cells, Uncharacterized stem cells"
"Erythroblasts, Proerythroblasts, Erythroid precursor cells"
"Hematopoietic stem cells, Erythroid progenitor cells, Uncharacterized progenitors"
"Hematopoietic progenitor cells, Mast cell precursors, Early stem cells"
"T cells, Naive T cells, Helper T cells"
"Erythroid precursor cells, Macrophages, Hematopoietic stem cells"
"Hematopoietic stem cells, Progenitor cells, Uncharacterized cells"
"Mast cells, Basophils, Myeloid progenitor cells"
"Monocytes, Macrophages, Dendritic cells"
"Naive T cells, T cells, Central memory T cells"
"Plasma cells, B cells, Memory B cells"
"Platelets, Megakaryocytes, Thrombocytes"
"Monocytes, Macrophages, Dendritic cells"
"Plasma cells, B cells, Memory B cells"
"Erythrocytes, Reticulocytes, Erythroid precursor cells"
"T cells, Helper T cells, Naive T cells"
"Monocytes, Macrophages, Dendritic cells"
"Neutrophils, Granulocytes, Polymorphonuclear leukocytes"
"B cells, Naive B cells, Memory B cells"
"NK cells, Cytotoxic T cells, CD8+ T cells"
"B cells, Naive B cells, Memory B cells"
"NK cells, Cytotoxic T cells, CD8+ T cells"
"Hematopoietic stem cells, Progenitor cells, Uncharacterized progenitors"
"T cells, Cytotoxic T cells, NK cells"
"NK cells, Cytotoxic T cells, CD8+ T cells"
"T cells, Naive T cells, Helper T cells"
"Erythrocytes, Reticulocytes, Erythroid precursor cells"
"B cells, Memory B cells, Naive B cells"
"Uncharacterized cells, Hematopoietic progenitor cells, Progenitor cells"
