"T cells, Cytotoxic T cells, NKT cells"
"Plasmacytoid dendritic cells, Dendritic cells, Precursor T cells"
"B cells, Memory B cells, Mature B cells"
"Endothelial cells, Vascular endothelial cells, Capillary endothelial cells"
"Lymphatic endothelial cells, Endothelial cells, Vascular endothelial cells"
"Cytotoxic T cells, NK cells, Cytotoxic lymphocytes"
"Mast cells, Basophils, Unknown cell type"
"Plasma cells, IgA-secreting plasma cells, Mature B cells"
"Fibroblasts, Stromal cells, Pericytes"
"Smooth muscle cells, Vascular smooth muscle cells, Myocytes"
"Endothelial cells, Vascular endothelial cells, Capillary endothelial cells"
"Epithelial cells, Urothelial cells, Transitional epithelial cells"
"Fibroblasts, Stromal cells, Myofibroblasts"
"Macrophages, Monocytes, Dendritic cells"
"Smooth muscle cells, Pericytes, Myocytes"
"Hematopoietic progenitor cells, Monocytes, Megakaryocytes"
"Erythroid progenitors, Erythroblasts, Hematopoietic progenitor cells"
"Erythroid progenitors, Hematopoietic progenitor cells, Early precursor cells"
"Mast cells, Basophils, Hematopoietic progenitors"
"T cells, Helper T cells, Cytotoxic T cells"
"Neutrophils, Granulocytes, Myeloid cells"
"Hematopoietic stem cells, Progenitor cells, Uncertain"
"Mast cells, Basophils, Eosinophils"
"Erythrocytes, Platelets, Metabolic cells"
"T cells, Naive T cells, Helper T cells"
"Endothelial cells, Stromal cells, Fibroblasts"
"Platelets, Megakaryocytes, Thrombocytes"
"Monocytes, Macrophages, Dendritic cells"
"Plasma cells, Antibody-secreting cells, B cells"
"Erythrocytes, Red blood cells, Erythroid cells"
"T cells, Helper T cells, Cytotoxic T cells"
"Monocytes, Macrophages, Dendritic cells"
"Neutrophils, Granulocytes, Myeloid cells"
"B cells, Naive B cells, Mature B cells"
"NK cells, Cytotoxic T cells, NKT cells"
"B cells, Memory B cells, Mature B cells"
"NK cells, Cytotoxic T cells, NKT cells"
"Hematopoietic progenitor cells, Plasmacytoid dendritic cells, Stem cells"
"T cells, Helper T cells, Cytotoxic T cells"
"NK cells, Cytotoxic T cells, NKT cells"
"T cells, Naive T cells, Helper T cells"
