"T cells, Helper T cells, Cytotoxic T cells, NK T cells, Lymphocytes"
"Plasmacytoid dendritic cells, Dendritic cells, Pre-T cells, Lymphoid progenitors, Monocytes"
"B cells, Naive B cells, Memory B cells, Marginal zone B cells, Follicular B cells"
"Endothelial cells, Vascular endothelial cells, Lymphatic endothelial cells, Capillary endothelial cells, Vein endothelial cells"
"Lymphatic endothelial cells, Endothelial cells, Lymphatic vessel cells, Vascular endothelial cells, Capillary endothelial cells"
"Cytotoxic T cells, CD8+ T cells, NK cells, Natural Killer T cells, Activated T cells"
"Mast cells, Basophils, Allergy-related cells, Myeloid cells, Hematopoietic progenitors"
"Plasma cells, Plasmablasts, Antibody-secreting cells, Differentiated B cells, Immunoglobulin-producing cells"
"Fibroblasts, Stromal cells, Mesenchymal cells, Connective tissue cells, Myofibroblasts"
"Smooth muscle cells, Vascular smooth muscle cells, Myocytes, Pericytes, Mesenchymal cells"
"Endothelial cells, Vascular endothelial cells, Lymphatic endothelial cells, Angiogenic endothelial cells, Capillary endothelial cells"
"Urothelial cells, Epithelial cells, Superficial umbrella cells, Intermediate urothelial cells, Basal urothelial cells"
"Fibroblasts, Stromal cells, Mesenchymal cells, Pericytes, Myofibroblasts"
"Macrophages, Monocytes, Myeloid cells, Phagocytic cells, Inflammatory cells"
"Smooth muscle cells, Vascular smooth muscle cells, Myocytes, Pericytes, Mesenchymal cells"
"Hematopoietic progenitor cells, Stem cells, Early progenitor cells, Rare cell types, Unclassified cells"
"Hematopoietic stem cells, Progenitor cells, Early erythroid progenitors, Multipotent stem cells, CD34+ cells"
"Hematopoietic progenitor cells, Erythroid progenitors, Stem cells, Early progenitors, Precursor cells"
"Mast cells, Basophils, Hematopoietic progenitor cells, Allergy-related cells, Myeloid progenitors"
"T cells, T lymphocytes, Naive T cells, Helper T cells, Cytotoxic T cells"
"Neutrophils, Granulocytes, Myeloid cells, Immature neutrophils, Band cells"
"Unclassified cells, Low-quality cells, Cells with high non-coding RNA expression, Possible apoptotic cells, Debris"
"Mast cells, Basophils, Allergy-related cells, Myeloid cells, Hematopoietic progenitors"
"B cells, Dendritic cells, Monocytes, Plasmacytoid dendritic cells, Macrophages"
"Naive T cells, Central memory T cells, T lymphocytes, Helper T cells, T cells"
"Mesenchymal stem cells, Adipocytes, Stromal cells, Fibroblasts, Endothelial cells"
"Platelets, Megakaryocytes, Thrombocytes, Platelet precursors, Hematopoietic cells"
"Monocytes, Macrophages, Myeloid cells, Antigen-presenting cells, Inflammatory cells"
"Plasma cells, Plasmablasts, Antibody-secreting cells, Differentiated B cells, Immunoglobulin-producing cells"
"Erythrocytes, Red blood cells, Erythroid progenitors, Reticulocytes, Normoblasts"
"T cells, T lymphocytes, Helper T cells, Naive T cells, Cytotoxic T cells"
"Monocytes, Macrophages, Myeloid cells, Inflammatory cells, Phagocytes"
"Neutrophils, Granulocytes, Myeloid cells, Polymorphonuclear leukocytes, Inflammatory cells"
"B cells, Naive B cells, Mature B cells, Memory B cells, Marginal zone B cells"
"NK cells, Natural Killer T cells, Cytotoxic T cells, Innate lymphoid cells, Lymphocytes"
"B cells, Naive B cells, Memory B cells, Marginal zone B cells, Follicular B cells"
"NK cells, Cytotoxic T cells, Natural Killer T cells, Innate lymphoid cells, Lymphocytes"
"Hematopoietic stem cells, Progenitor cells, CD34+ cells, Early progenitors, Plasmacytoid dendritic cells"
"Cytotoxic T cells, CD8+ T cells, T lymphocytes, T cells, Activated T cells"
"NK cells, Natural Killer cells, Cytotoxic lymphocytes, Innate lymphoid cells, NK T cells"
"Helper T cells, Naive T cells, T lymphocytes, Central memory T cells, Th2 cells"
"Erythrocytes, Red blood cells, Erythroid progenitors, Reticulocytes, Normoblasts"
"B cells, Naive B cells, Memory B cells, Mature B cells, Marginal zone B cells"
"Unclassified cells, Low-quality cells, Technical artifacts, Noise, Apoptotic cells"
"Neutrophils, Granulocytes, Myeloid cells, Polymorphonuclear leukocytes, Inflammatory cells"
"Neutrophils, Granulocytes, Neutrophil progenitors, Myelocytes, Promyelocytes"
"Neutrophils, Granulocytes, Myeloid cells, Polymorphonuclear leukocytes, Inflammatory cells"
"T cells, T lymphocytes, Naive T cells, Helper T cells, Memory T cells"
"Cytotoxic T cells, CD8+ T cells, T lymphocytes, Cytotoxic lymphocytes, Activated T cells"
"Megakaryocytes, Platelet precursors, Hematopoietic progenitor cells, Thrombocytes, Myeloid progenitors"
"B cells, Naive B cells, Memory B cells, Mature B cells, Follicular B cells"
"Promyelocytes, Myeloblasts, Neutrophil progenitors, Myeloid progenitors, Granulocyte precursors"
"NK cells, Natural Killer cells, Cytotoxic lymphocytes, Innate lymphoid cells, NK T cells"
"Erythrocytes, Red blood cells, Erythroid progenitors, Reticulocytes, Normoblasts"
"Hematopoietic stem cells, Progenitor cells, CD34+ cells, Early erythroid progenitors, Multipotent progenitors"
"Plasma cells, Plasmablasts, Antibody-secreting cells, Differentiated B cells, Immunoglobulin-producing cells"
"Monocytes, Macrophages, Myeloid cells, Antigen-presenting cells, Phagocytes"
"Macrophages, Monocytes, Myeloid cells, Phagocytes, Antigen-presenting cells"
"NK cells, Cytotoxic T cells, Natural Killer T cells, Innate lymphoid cells, Lymphocytes"
"Plasma cells, Plasmablasts, Immunoglobulin-producing cells, Antibody-secreting cells, Differentiated B cells"
"Macrophages, Monocytes, M2 macrophages, Phagocytes, Antigen-presenting cells"
"Erythrocytes, Red blood cells, Erythroid progenitors, Reticulocytes, Normoblasts"
"Proliferating cells, Dividing cells, Cycling cells, Mitotic cells, Stem cells"
"T cells, T cell receptor-expressing cells, Th17 cells, T lymphocytes, Helper T cells"
"Mast cells, Basophils, Allergy-related cells, Myeloid cells, Hematopoietic cells"
"Neurons, Retinal neurons, Photoreceptors, Neural cells, Retinal ganglion cells"
"Smooth muscle cells, Pericytes, Muscle cells, Myocytes, Mesenchymal cells"
"Adipocytes, Fat cells, Lipid storage cells, White adipose tissue cells, Lipocytes"
"Skeletal muscle cells, Muscle fibers, Myoblasts, Myocytes, Satellite cells"
"Neurons, Retinal neurons, Photoreceptors, Neural cells, Retinal ganglion cells"
"Smooth muscle cells, Vascular smooth muscle cells, Myocytes, Pericytes, Mesenchymal cells"
"Melanocytes, Pigment cells, Retinal pigment epithelium cells, Melanoblasts, Neural crest-derived cells"
"Photoreceptor cells, Rod cells, Retinal cells, Cone cells, Retinal neurons"
"Corneal epithelial cells, Epithelial cells, Corneal cells, Ocular surface cells, Keratinocytes"
"Ciliary epithelial cells, Retinal pigment epithelium cells, Ocular secretory cells, Non-pigmented epithelial cells, Eye-specific epithelial cells"
"Conjunctival epithelial cells, Epithelial cells, Mucosal epithelial cells, Non-keratinized epithelium, Goblet cells"
"Monocytes, Myeloid dendritic cells, Macrophages, Phagocytes, Antigen-presenting cells"
"Macrophages, Monocytes, Phagocytes, Myeloid cells, Antigen-presenting cells"
"Keratocytes, Corneal stromal cells, Fibroblasts, Stromal cells, Mesenchymal cells"
"T cells, T lymphocytes, Helper T cells, Naive T cells, Memory T cells"
"Müller glia cells, Retinal glial cells, Astrocytes, Retinal support cells, Neural cells"
"Endothelial cells, Vascular endothelial cells, Capillary endothelial cells, Blood vessel cells, Lymphatic endothelial cells"
"Lacrimal gland cells, Tear-producing cells, Secretory epithelial cells, Salivary gland cells, Exocrine gland cells"
"Fibroblasts, Stromal cells, Mesenchymal cells, Connective tissue cells, Myofibroblasts"
"B cells, Naive B cells, Memory B cells, Mature B cells, Marginal zone B cells"
"Retinal pigment epithelial cells, RPE cells, Ocular pigment cells, Melanocytes, Photoreceptor support cells"
"Basal epithelial cells, Epithelial progenitor cells, Skin keratinocytes, Corneal epithelial stem cells, Stratified epithelial cells"
"Plasma cells, Plasmablasts, Antibody-secreting cells, Differentiated B cells, Immunoglobulin-producing cells"
"B cells, Plasma cells, Memory B cells, Immunoglobulin-producing cells, Plasmablasts"
