# SignalP-6.0	Organism: Other	Timestamp: 20240312222053
# ID	Prediction	OTHER	SP(Sec/SPI)	LIPO(Sec/SPII)	TAT(Tat/SPI)	TATLIPO(Tat/SPII)	PILIN(Sec/SPIII)	CS Position
H1N1	SP	0.000185	0.999235	0.000152	0.000163	0.000135	0.000131	CS pos: 17-18. Pr: 0.9823
EBOVZaire sGP	SP	0.000189	0.999209	0.000166	0.000173	0.000146	0.000144	CS pos: 32-33. Pr: 0.9736
EBOVZaire GP___TM	SP	0.000189	0.999209	0.000166	0.000173	0.000146	0.000144	CS pos: 32-33. Pr: 0.9736
HCV	OTHER	0.833256	0.161614	0.000593	0.002325	0.000938	0.001286	
H5N1	SP	0.000148	0.999366	0.000126	0.000139	0.000115	0.000116	CS pos: 16-17. Pr: 0.9837
RSV	SP	0.000161	0.999336	0.000136	0.000156	0.000119	0.000125	CS pos: 25-26. Pr: 0.9766
RSV_2	SP	0.000152	0.999358	0.000128	0.000148	0.000115	0.000119	CS pos: 25-26. Pr: 0.9813
HER2	OTHER	0.999992	0.000000	0.000000	0.000000	0.000000	0.000000	
HIV_ZM197	OTHER	0.833687	0.166021	0.000098	0.000072	0.000072	0.000060	
HIV_CZA97	SP	0.489980	0.508996	0.000357	0.000259	0.000243	0.000194	CS pos: 26-27. Pr: 0.3396
HIV_ConC	OTHER	0.575303	0.423638	0.000361	0.000231	0.000273	0.000189	
HIV_CNE55	OTHER	0.999986	0.000000	0.000000	0.000000	0.000000	0.000000	
FLU_HA_Michigan	SP	0.000204	0.999177	0.000164	0.000173	0.000141	0.000138	CS pos: 17-18. Pr: 0.9811
COV_HKU1	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
COV_SARS	SP	0.000156	0.999285	0.000137	0.000159	0.000124	0.000127	CS pos: 13-14. Pr: 0.9801
COV_OC43	SP	0.000164	0.999305	0.000135	0.000153	0.000119	0.000123	CS pos: 14-15. Pr: 0.9670
COV_SARS2	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
FLU_HANC99	SP	0.000166	0.999281	0.000143	0.000150	0.000132	0.000126	CS pos: 17-18. Pr: 0.9837
CoV_SARS2D614G	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
CoV_SARS2NTD	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
SYD_2012.LSS	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
CHDC.LSS	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GII.17.LSS	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
BG505.LSS	SP	0.000871	0.997715	0.000440	0.000396	0.000298	0.000276	CS pos: 24-25. Pr: 0.9742
XBB.1.LSS	OTHER	0.833697	0.165706	0.000229	0.000146	0.000128	0.000114	
BQ.1.1.LSS	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
OC43.LSS	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
HKU1.LSS	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
H3_HK68.LSS	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
H3_Perth19.LSS	SP	0.000161	0.999339	0.000137	0.000152	0.000119	0.000118	CS pos: 16-17. Pr: 0.9799
H2_SG57.LSS	SP	0.000149	0.999342	0.000126	0.000147	0.000121	0.000121	CS pos: 15-16. Pr: 0.9832
H5_IN05.LSS	SP	0.000148	0.999370	0.000126	0.000139	0.000115	0.000116	CS pos: 16-17. Pr: 0.9837
H7_Anh13.LSS	SP	0.000157	0.999314	0.000136	0.000151	0.000119	0.000125	CS pos: 18-19. Pr: 0.9845
H10_JD13.LSS	SP	0.000155	0.999310	0.000134	0.000151	0.000122	0.000124	CS pos: 16-17. Pr: 0.9824
RSV_B.LSS	SP	0.000151	0.999353	0.000129	0.000149	0.000115	0.000119	CS pos: 25-26. Pr: 0.9815
RSV_Post.LSS	SP	0.000164	0.999356	0.000133	0.000143	0.000112	0.000118	CS pos: 27-28. Pr: 0.9769
MPV_A.LSS	SP	0.000150	0.999351	0.000125	0.000140	0.000114	0.000113	CS pos: 18-19. Pr: 0.9829
MPV_B.LSS	SP	0.000151	0.999349	0.000126	0.000140	0.000115	0.000113	CS pos: 18-19. Pr: 0.9828
MPV_Post.LSS	SP	0.000150	0.999351	0.000125	0.000140	0.000114	0.000113	CS pos: 18-19. Pr: 0.9829
PIV_3.LSS	SP	0.000147	0.999351	0.000124	0.000143	0.000114	0.000113	CS pos: 19-20. Pr: 0.9840
EBOV	SP	0.000189	0.999199	0.000166	0.000172	0.000146	0.000144	CS pos: 32-33. Pr: 0.9736
BDBV	SP	0.167718	0.831588	0.000249	0.000162	0.000145	0.000142	CS pos: 32-33. Pr: 0.7920
SUDV	SP	0.000230	0.999066	0.000190	0.000189	0.000164	0.000158	CS pos: 32-33. Pr: 0.9721
sGP	SP	0.000189	0.999199	0.000166	0.000172	0.000146	0.000144	CS pos: 32-33. Pr: 0.9736
wt_Spike	SP	0.000188	0.999120	0.000170	0.000199	0.000147	0.000157	CS pos: 13-14. Pr: 0.9755
B.1.351	SP	0.000195	0.999065	0.000179	0.000211	0.000155	0.000165	CS pos: 13-14. Pr: 0.9753
RBD	OTHER	0.999994	0.000000	0.000000	0.000000	0.000000	0.000000	
B.1.617.2	SP	0.000201	0.999037	0.000191	0.000214	0.000165	0.000176	CS pos: 13-14. Pr: 0.9770
SARS-CoV2_Alpha S_ RBD	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
SARS-CoV2_Omicron-BA2 S_ RBD	OTHER	0.999997	0.000000	0.000000	0.000000	0.000000	0.000000	
SARS-CoV2_Omicron-BA2.12.1 S_ RBD	OTHER	0.999997	0.000000	0.000000	0.000000	0.000000	0.000000	
SARS-CoV2_Omicron-BA1 S_ RBD	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Pangolin-GD S_ RBD	SP	0.000167	0.999224	0.000140	0.000163	0.000123	0.000130	CS pos: 13-14. Pr: 0.9765
RaTG13 S_ RBD	SP	0.000185	0.999146	0.000165	0.000191	0.000143	0.000151	CS pos: 13-14. Pr: 0.9767
SARS-CoV2_Omicron-BA2.75 S_ RBD	OTHER	0.999995	0.000000	0.000000	0.000000	0.000000	0.000000	
SARS-CoV2_Omicron-BA5 S_ RBD	OTHER	0.999997	0.000000	0.000000	0.000000	0.000000	0.000000	
SARS-CoV2_Delta S_ RBD	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
SARS-CoV2_Gamma S_ RBD	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
SARS-CoV2_Omicron-BA1.1 S_ RBD	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
SARS-CoV2_Beta S_ RBD	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
SARS-CoV2_Omicron-BA3 S_ RBD	OTHER	0.999987	0.000000	0.000000	0.000000	0.000000	0.000000	
SARS-CoV2_WT S_ NTD	SP	0.000188	0.999120	0.000170	0.000199	0.000147	0.000157	CS pos: 13-14. Pr: 0.9755
SARS-CoV2_Alpha S_ NTD	SP	0.000168	0.999244	0.000145	0.000167	0.000122	0.000129	CS pos: 13-14. Pr: 0.9769
SARS-CoV2_Gamma S_ NTD	SP	0.000199	0.999052	0.000177	0.000214	0.000156	0.000164	CS pos: 13-14. Pr: 0.9761
SARS-CoV2_Omicron-BA1 S_ NTD	SP	0.000166	0.999265	0.000145	0.000164	0.000122	0.000128	CS pos: 13-14. Pr: 0.9774
SARS-CoV2_Delta S_ NTD	SP	0.000201	0.999037	0.000191	0.000214	0.000165	0.000176	CS pos: 13-14. Pr: 0.9770
SARS-CoV2_Beta S_ NTD	SP	0.000188	0.999120	0.000170	0.000199	0.000147	0.000157	CS pos: 13-14. Pr: 0.9755
SARS-CoV2_Omicron-BA4_5 S_ NTD	SP	0.000162	0.999331	0.000135	0.000152	0.000117	0.000120	CS pos: 13-14. Pr: 0.9786
SARS-CoV2_Omicron-BA3 S_ NTD	SP	0.000166	0.999265	0.000145	0.000164	0.000122	0.000128	CS pos: 13-14. Pr: 0.9774
